Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:16:04;-79.20791851;43.17352046;60.5;9.0;0.0;0.0;0.0;0.0;
1.0;19:16:05;-79.20791933;43.17351977;60.29999923706055;9.0;0.0;0.0;0.0;0.0;
2.0;19:16:06;-79.20791968;43.17351979;60.400001525878906;9.0;0.0;0.0;0.0;0.0;
3.0000002;19:16:07;-79.20792002;43.17351994;60.400001525878906;10.0;0.0;0.0;0.0;0.0;
4.0;19:16:08;-79.20793749;43.1735196;60.099998474121094;10.0;1.5;5.3999996;3.3554099;2.91576;
5.0;19:16:09;-79.20796735;43.17352109;60.5;10.0;2.0;7.2;4.47388;3.88768;
6.0000005;19:16:10;-79.20800499;43.17352149;61.70000076293945;10.0;2.25;8.099999;5.033115;4.37364;
7.0000005;19:16:11;-79.20805658;43.17352172;62.099998474121094;10.0;3.25;11.7;7.270055;6.31748;
8.0;19:16:12;-79.20810672;43.17351913;61.900001525878906;10.0;3.25;11.7;7.270055;6.31748;
9.0;19:16:13;-79.20815603;43.17351849;61.5;10.0;3.25;11.7;7.270055;6.31748;
10.0;19:16:14;-79.20820526;43.17351584;61.400001525878906;10.0;3.25;11.7;7.270055;6.31748;
11.000001;19:16:15;-79.20825399;43.17351363;61.70000076293945;10.0;3.25;11.7;7.270055;6.31748;
12.000001;19:16:16;-79.20830202;43.17351067;60.400001525878906;10.0;3.25;11.7;7.270055;6.31748;
13.000001;19:16:17;-79.20834754;43.17350766;60.70000076293945;10.0;3.25;11.7;7.270055;6.31748;
14.000001;19:16:18;-79.20839185;43.17350507;60.900001525878906;10.0;3.25;11.7;7.270055;6.31748;
15.000001;19:16:19;-79.2084302;43.17350591;61.0;10.0;3.0;10.799999;6.7108197;5.83152;
16.0;19:16:20;-79.20845441;43.17350899;60.900001525878906;10.0;2.75;9.9;6.1515846;5.34556;
17.0;19:16:21;-79.20843471;43.17352626;61.29999923706055;10.0;1.75;6.2999997;3.9146447;3.40172;
18.0;19:16:22;-79.20838897;43.1735245;61.29999923706055;10.0;2.0;7.2;4.47388;3.88768;
19.0;19:16:23;-79.20834206;43.17352322;59.900001525878906;9.0;2.5;9.0;5.59235;4.8596;
20.0;19:16:24;-79.20829475;43.17352293;59.70000076293945;9.0;2.75;9.9;6.1515846;5.34556;
21.000002;19:16:25;-79.20824199;43.17352308;60.20000076293945;10.0;3.25;11.7;7.270055;6.31748;
22.000002;19:16:26;-79.20819241;43.17352376;60.70000076293945;10.0;3.25;11.7;7.270055;6.31748;
23.000002;19:16:27;-79.20814555;43.1735246;60.599998474121094;10.0;3.25;11.7;7.270055;6.31748;
24.000002;19:16:28;-79.2080993;43.17352625;60.099998474121094;10.0;3.25;11.7;7.270055;6.31748;
25.000002;19:16:29;-79.20805376;43.17352435;59.400001525878906;9.0;3.25;11.7;7.270055;6.31748;
26.000002;19:16:30;-79.208012;43.17352185;60.20000076293945;9.0;3.25;11.7;7.270055;6.31748;
27.000002;19:16:31;-79.20797091;43.1735196;60.20000076293945;10.0;3.25;11.7;7.270055;6.31748;
28.000002;19:16:32;-79.20793174;43.17351921;60.70000076293945;9.0;3.25;11.7;7.270055;6.31748;
29.000002;19:16:33;-79.20789538;43.17351945;61.20000076293945;9.0;3.0;10.799999;6.7108197;5.83152;
30.000002;19:16:34;-79.20788709;43.17352309;61.29999923706055;9.0;1.0;3.6;2.23694;1.94384;
