unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.2397496E-4;28.449615;-73.22266;-2.1315687;
0.005859375;28.52124;-73.2381;-2.1024787;
0.010894775;28.617188;-73.25072;-2.0789707;
0.015991211;28.71521;-73.264;-2.0558302;
0.020965576;28.793396;-73.27436;-2.0305681;
0.026000975;28.871094;-73.27947;-2.000824;
0.03100586;28.93927;-73.27916;-1.9666806;
0.036132813;29.006653;-73.27234;-1.9273597;
0.041107174;29.06186;-73.26031;-1.88483;
0.046142578;29.127441;-73.24583;-1.838374;
0.05117798;29.197113;-73.22845;-1.7894974;
0.056274414;29.270935;-73.209114;-1.7387388;
0.06124878;29.334381;-73.18883;-1.6891524;
0.06628418;29.406006;-73.166794;-1.6402617;
0.07131958;29.470612;-73.14507;-1.5940294;
0.076416016;29.525238;-73.123405;-1.5502579;
0.08139038;29.556427;-73.103806;-1.5109575;
0.08645629;29.57843;-73.08641;-1.4737724;
0.091430664;29.58789;-73.07075;-1.4412348;
0.09655761;29.579834;-73.056984;-1.4104261;
0.10153198;29.54834;-73.045715;-1.3841367;
0.10656738;29.514343;-73.03576;-1.3610295;
0.11160278;29.46997;-73.02868;-1.3435001;
0.11669921;29.415497;-73.02324;-1.3309222;
0.121673584;29.344452;-73.01896;-1.3235642;
0.12670898;29.277252;-73.01505;-1.3213968;
0.13174438;29.20398;-73.013504;-1.3245343;
0.1368408;29.123718;-73.01418;-1.3326448;
0.14181519;29.033722;-73.015465;-1.3449998;
0.14685059;28.948212;-73.017006;-1.3600081;
0.15188599;28.865479;-73.01888;-1.3770305;
0.1569824;28.778809;-73.02114;-1.3932253;
0.16195677;28.687805;-73.02308;-1.4087267;
0.16699219;28.6044;-73.02415;-1.4223443;
0.17202757;28.524994;-73.02474;-1.4340575;
0.17712402;28.446411;-73.0266;-1.4428899;
0.18209837;28.364532;-73.02908;-1.4496037;
0.18716429;28.294098;-73.03148;-1.4556289;
0.19213867;28.228058;-73.0345;-1.4606533;
0.19726563;28.163239;-73.039185;-1.4647801;
0.20223998;28.095886;-73.04449;-1.4669245;
0.20727539;28.043823;-73.0512;-1.468379;
0.21231078;27.997437;-73.0592;-1.4673635;
0.21740723;27.955719;-73.0688;-1.4628465;
0.22238159;27.915253;-73.078964;-1.4562029;
0.22741699;27.88974;-73.09182;-1.4460473;
0.2324524;27.87323;-73.106384;-1.4330035;
0.23754883;27.863586;-73.12186;-1.4157819;
0.2425232;27.853882;-73.138374;-1.3959129;
0.24755858;27.862305;-73.155426;-1.37158;
0.25256348;27.874664;-73.173645;-1.3423882;
0.25769043;27.896576;-73.19264;-1.3083451;
0.2626648;27.913513;-73.21072;-1.2708037;
0.2677002;27.947052;-73.22882;-1.2287915;
0.27273557;27.983856;-73.246956;-1.18268;
0.27783203;28.024841;-73.26553;-1.1338913;
0.2828064;28.05133;-73.28441;-1.0847287;
0.2878723;28.090668;-73.30333;-1.0335345;
0.29284668;28.12622;-73.32267;-0.9814523;
0.29797363;28.1586;-73.34303;-0.9246557;
0.302948;28.17044;-73.363716;-0.8644231;
0.30798337;28.18335;-73.38598;-0.7965828;
0.31301877;28.187897;-73.410736;-0.72227407;
0.31811523;28.184235;-73.438286;-0.6410326;
0.3230896;28.161926;-73.466156;-0.55716443;
0.32812497;28.148102;-73.496056;-0.46938783;
0.3331604;28.130554;-73.527855;-0.3784601;
