unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
6.4086897E-4;20.93811;-84.077614;2.3392844;
0.0057067866;20.964874;-84.07897;2.3442907;
0.0107421875;20.99884;-84.07669;2.3452692;
0.015838623;21.031311;-84.07385;2.343627;
0.020812988;21.060303;-84.07113;2.3403568;
0.025817871;21.091614;-84.06812;2.3371902;
0.030883787;21.122284;-84.066086;2.333932;
0.035949707;21.15213;-84.064186;2.3315427;
0.04095459;21.174652;-84.06277;2.3300493;
0.04598999;21.203278;-84.06085;2.3266203;
0.05102539;21.222565;-84.06141;2.3204048;
0.056091305;21.234985;-84.064064;2.3104331;
0.06109619;21.241241;-84.06731;2.2982004;
0.06613159;21.244171;-84.07074;2.285341;
0.07116699;21.246521;-84.07337;2.2721012;
0.07626342;21.247528;-84.07402;2.259223;
0.08123779;21.24295;-84.07335;2.2472131;
0.086273186;21.243835;-84.06841;2.2353554;
0.09130859;21.244415;-84.062325;2.2234268;
0.09637451;21.241241;-84.053986;2.2121265;
0.10134888;21.235779;-84.04459;2.2000802;
0.10641479;21.228119;-84.03535;2.1866977;
0.11145019;21.219574;-84.025665;2.1722524;
0.11661995;21.207733;-84.01531;2.1580825;
0.12162483;21.192413;-84.0043;2.144743;
0.12666023;21.180634;-83.99354;2.1313877;
0.13169563;21.173462;-83.98327;2.1179707;
0.13679206;21.16864;-83.974205;2.1042097;
0.14176643;21.167358;-83.96652;2.0896842;
0.14680183;21.172913;-83.95781;2.0746522;
0.15183723;21.178314;-83.94863;2.0611298;
0.15693367;21.185272;-83.93987;2.0486684;
0.16187751;21.197449;-83.930016;2.0370762;
0.16694343;21.216309;-83.91979;2.0260003;
0.17197883;21.241333;-83.9084;2.0151436;
0.17704475;21.271912;-83.89543;2.0042608;
0.18204963;21.305817;-83.88181;1.9930191;
0.18708503;21.344574;-83.8674;1.9813855;
0.19273078;21.384094;-83.85347;1.9688052;
0.19739997;21.416016;-83.84173;1.9586906;
0.20237432;21.442688;-83.83168;1.9484572;
0.20740974;21.466858;-83.82286;1.9391056;
0.21244514;21.485962;-83.814125;1.9309424;
0.21754158;21.50467;-83.80587;1.921812;
0.22251593;21.514069;-83.7976;1.9138281;
0.22755134;21.521973;-83.79038;1.9052721;
0.23258674;21.525452;-83.78389;1.8966041;
0.23768318;21.527893;-83.77699;1.8875858;
0.24265754;21.523682;-83.77095;1.8791656;
0.24769294;21.522491;-83.76528;1.8700656;
0.25269783;21.524841;-83.759544;1.860446;
0.25782478;21.52832;-83.753334;1.8503621;
0.26279914;21.532745;-83.747696;1.8397988;
0.26783454;21.53714;-83.74321;1.8296474;
0.27286994;21.543488;-83.73799;1.8193892;
0.27796638;21.546661;-83.733185;1.809876;
0.28294072;21.549072;-83.728035;1.8005677;
0.28800663;21.559631;-83.72167;1.7904011;
0.29298103;21.57248;-83.7136;1.781432;
0.29810798;21.589508;-83.705475;1.7725384;
0.30308232;21.603302;-83.69959;1.7648542;
0.30811775;21.615723;-83.69543;1.7579542;
0.31315315;21.625763;-83.69359;1.7515393;
0.31824958;21.635681;-83.69369;1.7452321;
0.32322392;21.647522;-83.6945;1.7391505;
0.32825935;21.656586;-83.69689;1.7345029;
0.33329475;21.660858;-83.70032;1.7320087;
0.33839118;21.666199;-83.70389;1.7299417;
0.34336555;21.670166;-83.706924;1.7284845;
0.34840095;21.679565;-83.70928;1.7261117;
0.35343635;21.689453;-83.71294;1.7236464;
0.3585328;21.704529;-83.7162;1.7211591;
0.36350715;21.718231;-83.72164;1.7188734;
0.36854255;21.735413;-83.727974;1.7163938;
0.37357795;21.748108;-83.735664;1.7149194;
0.3786744;21.75946;-83.743614;1.7134863;
0.38364875;21.7724;-83.74989;1.711321;
0.38871467;21.786285;-83.75652;1.7090361;
0.393689;21.80252;-83.76348;1.7065822;
0.398816;21.822784;-83.77014;1.7048312;
0.40379035;21.842407;-83.776764;1.7038045;
0.40882576;21.85962;-83.78337;1.703456;
0.41386113;21.875977;-83.7901;1.7027222;
0.4189576;21.893097;-83.79663;1.7012233;
0.42393196;21.90387;-83.80349;1.700375;
0.42896736;21.916046;-83.81042;1.6996515;
0.43400273;21.927155;-83.81779;1.6993151;
0.4390992;21.94043;-83.824196;1.6990204;
0.44407356;21.950928;-83.83096;1.6987813;
0.44910896;21.965546;-83.8363;1.6992713;
0.45414433;21.977081;-83.840355;1.7008389;
0.4592408;21.985596;-83.84408;1.702841;
0.46421516;21.98825;-83.84784;1.7048688;
0.46925056;21.989197;-83.85313;1.7067649;
0.47428593;21.986755;-83.85805;1.7102927;
0.4793824;21.986206;-83.86354;1.714741;
0.48435676;21.984589;-83.86784;1.7200617;
0.48942268;21.988342;-83.87198;1.7254856;
0.49439704;21.991516;-83.87645;1.7311835;
0.499524;21.995209;-83.88162;1.7375096;
0.50449836;21.998077;-83.88812;1.7430618;
0.50953376;22.006073;-83.89474;1.7478851;
0.51456916;22.011932;-83.90213;1.7520022;
0.519672;22.019043;-83.91008;1.7555753;
0.52464634;22.026459;-83.9174;1.7591995;
0.52968174;22.039063;-83.92499;1.7633251;
0.5347171;22.057068;-83.932556;1.7672818;
0.5398136;22.078674;-83.9401;1.7717669;
0.5447879;22.10019;-83.94725;1.7765487;
0.54982334;22.12613;-83.95482;1.782557;
0.55485874;22.152344;-83.9625;1.789529;
0.5599552;22.179443;-83.97083;1.7964411;
0.56492954;22.200928;-83.979126;1.8030568;
0.5699649;22.227142;-83.98644;1.8098537;
0.5750003;22.253754;-83.992905;1.8168736;
0.5800968;22.282288;-83.99822;1.824247;
0.5850711;22.307251;-84.00241;1.8319614;
0.590137;22.334625;-84.005;1.840794;
0.5951114;22.362152;-84.00604;1.8494984;
0.6002384;22.38562;-84.00735;1.8589563;
0.60521275;22.403229;-84.00867;1.8679215;
0.6102481;22.420837;-84.010124;1.8769165;
0.6152835;22.43869;-84.012665;1.884051;
0.6203799;22.451538;-84.01792;1.8892593;
0.62535435;22.45343;-84.02535;1.892666;
0.63038975;22.45166;-84.034386;1.894794;
0.63542515;22.44397;-84.04484;1.8957063;
0.6405216;22.436218;-84.05472;1.8951553;
0.6454959;22.426758;-84.06366;1.8932735;
0.6505313;22.41977;-84.07146;1.8902092;
0.6555667;22.41272;-84.07765;1.8859466;
0.6606631;22.402496;-84.083046;1.8809391;
0.66563755;22.386871;-84.08659;1.875923;
0.67067295;22.372467;-84.08822;1.8710856;
0.67570835;22.353088;-84.08984;1.8663479;
0.6808048;22.329498;-84.08995;1.8619726;
0.6857791;22.302277;-84.08981;1.8577638;
0.690845;22.273651;-84.09052;1.854516;
0.69581944;22.246552;-84.09087;1.8509582;
0.70094633;22.219086;-84.09043;1.8471467;
0.70592076;22.18811;-84.08886;1.8437666;
0.71095616;22.158752;-84.08694;1.8407761;
0.71599156;22.128448;-84.08476;1.8384858;
0.721088;22.098785;-84.081535;1.836417;
0.7260623;22.064606;-84.07853;1.834987;
0.7310977;22.031982;-84.07582;1.8338757;
0.7361331;21.999786;-84.07432;1.8316565;
0.74122953;21.968994;-84.07298;1.8287411;
0.74620396;21.941864;-84.072044;1.8253174;
0.75123936;21.922028;-84.07113;1.821693;
0.75627476;21.910065;-84.07041;1.8165865;
0.7613712;21.897797;-84.07208;1.812213;
0.7663455;21.889648;-84.07364;1.8086143;
0.7713809;21.889465;-84.075294;1.8061969;
0.7764163;21.889954;-84.07793;1.805951;
0.78151274;21.895844;-84.080025;1.8067948;
0.78648716;21.904083;-84.08168;1.8081462;
0.7915531;21.922546;-84.08412;1.8097342;
0.7972903;21.94336;-84.087814;1.81294;
0.8016544;21.960907;-84.09094;1.8150448;
0.8066592;21.978119;-84.09544;1.8160459;
0.8116946;21.99591;-84.100266;1.8166558;
0.81673;22.013977;-84.10512;1.8166199;
0.82182646;22.030762;-84.110306;1.8159108;
0.8268009;22.042175;-84.11646;1.8147653;
0.8318363;22.056519;-84.12285;1.8135055;
0.8368717;22.07129;-84.12827;1.8113768;
0.8419681;22.084137;-84.134384;1.8081145;
0.8469424;22.091888;-84.13863;1.8041195;
0.8519778;22.100342;-84.142075;1.7993017;
0.8570132;22.104645;-84.14446;1.7934797;
0.86210966;22.104462;-84.144966;1.7867895;
0.8670841;22.093872;-84.143684;1.7802063;
0.8721195;22.082672;-84.1413;1.7727066;
0.8771548;22.066193;-84.137146;1.7647482;
0.8822513;22.0448;-84.130844;1.7568053;
0.8872256;22.012085;-84.12453;1.7494748;
0.8920474;21.978394;-84.11663;1.7425935;
0.8978153;21.930115;-84.10752;1.733992;
0.9023319;21.883453;-84.099945;1.7281548;
0.9073368;21.821075;-84.09226;1.7221586;
0.9123721;21.76123;-84.08433;1.7163041;
0.9174075;21.705475;-84.07653;1.7093112;
0.92250395;21.652344;-84.06934;1.7016537;
0.9274783;21.599487;-84.06386;1.694449;
0.9325138;21.552643;-84.0597;1.6884264;
0.9375492;21.510406;-84.05675;1.6832955;
0.94264555;21.475922;-84.05421;1.6786739;
0.9476199;21.44632;-84.05273;1.6752675;
0.9526553;21.427124;-84.05131;1.673338;
0.9576907;21.417725;-84.05041;1.6716238;
0.96278715;21.415771;-84.0496;1.6711257;
0.9677615;21.416199;-84.04986;1.6708483;
