unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
8.8500895E-4;-0.018204;0.033844;0.038040;
0.005859375;-0.016068;0.006073;0.030563;
0.010894774;-0.013931;-0.015289;0.022018;
0.015930174;-0.006454;-0.035583;0.018814;
0.021026611;-0.000046;-0.054810;0.022018;
0.026000975;0.006363;-0.075104;0.024155;
0.031066893;0.013840;-0.092194;0.030563;
0.03604126;0.189099;-0.950767;0.245529;
0.04116821;0.254318;-0.943651;0.211769;
0.046142574;0.035202;-0.091125;0.020950;
0.051177975;0.040543;-0.072968;0.016678;
0.05621338;0.048019;-0.049469;0.012405;
0.061309814;0.052292;-0.027039;0.012405;
0.06628418;0.055496;-0.009949;0.012405;
0.07131958;0.058701;0.003937;0.012405;
0.07635497;0.057632;0.010345;0.013474;
0.081451416;0.059769;0.019958;0.017746;
0.08642578;0.055496;0.029572;0.019882;
0.09146118;0.050156;0.042389;0.019882;
0.09649658;0.044815;0.049866;0.023087;
0.10159301;0.037338;0.050934;0.020950;
0.10656738;0.030930;0.049866;0.020950;
0.11160278;0.023453;0.045593;0.026291;
0.11663818;0.022385;0.041321;0.025223;
0.12173461;0.022385;0.037048;0.027359;
0.12670898;0.028793;0.037048;0.027359;
0.1317749;0.035202;0.034912;0.029495;
0.13674927;0.036270;0.028503;0.029495;
0.14187622;0.041611;0.014618;0.027359;
0.14685059;0.039474;0.003937;0.026291;
0.15188599;0.040543;-0.009949;0.025223;
0.15689085;0.037338;-0.018494;0.028427;
0.16201782;0.034134;-0.027039;0.032700;
0.16699219;0.034134;-0.029175;0.039108;
0.17202757;0.036270;-0.032379;0.043381;
0.17706299;0.037338;-0.030243;0.050858;
0.18215942;0.033066;-0.028107;0.056198;
0.18713379;0.031998;-0.021698;0.060471;
0.19216917;0.030930;-0.018494;0.064743;
0.19720459;0.031998;-0.011017;0.067947;
0.20230103;0.029861;-0.006744;0.071152;
0.20727539;0.029861;-0.000336;0.078629;
0.21231078;0.031998;0.008209;0.082901;
0.21734619;0.031998;0.016754;0.087173;
0.22244261;0.033066;0.029572;0.087173;
0.22741699;0.034134;0.033844;0.082901;
0.23248291;0.035202;0.034912;0.079697;
0.23745728;0.034134;0.027435;0.077560;
0.24258421;0.037338;0.014618;0.075424;
0.24755858;0.044815;0.002869;0.070084;
0.252594;0.052292;-0.006744;0.070084;
0.2576294;0.057632;-0.007812;0.069016;
0.26272583;0.064041;-0.011017;0.066879;
0.2677002;0.068314;-0.018494;0.067947;
0.27273557;0.681964;-0.339309;0.647916;
0.27774048;0.641417;-0.465455;0.609865;
0.2828674;0.579921;-0.557695;0.593858;
0.2878418;0.558745;-0.577306;0.595417;
0.29287717;0.518992;-0.595828;0.612891;
