Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:15:23;-79.20789044;43.17354693;61.70000076293945;9.0;0.0;0.0;0.0;0.0;
1.0;19:15:24;-79.20789197;43.17354562;61.599998474121094;9.0;0.0;0.0;0.0;0.0;
2.0;19:15:25;-79.20789321;43.17354371;61.5;9.0;0.0;0.0;0.0;0.0;
3.0000002;19:15:26;-79.20789583;43.173542929999996;61.599998474121094;10.0;0.0;0.0;0.0;0.0;
4.0;19:15:27;-79.20791194;43.1735485;61.79999923706055;9.0;1.5;5.3999996;3.3554099;2.91576;
5.0;19:15:28;-79.20794413;43.17355157;63.400001525878906;9.0;2.0;7.2;4.47388;3.88768;
6.0000005;19:15:29;-79.20798247;43.17355086;63.70000076293945;10.0;2.25;8.099999;5.033115;4.37364;
7.0000005;19:15:30;-79.20803289;43.17354807;63.0;10.0;3.25;11.7;7.270055;6.31748;
8.0;19:15:31;-79.20808173;43.1735447;63.5;10.0;3.25;11.7;7.270055;6.31748;
9.0;19:15:32;-79.20813197;43.17354177;63.599998474121094;10.0;3.25;11.7;7.270055;6.31748;
10.0;19:15:33;-79.20818275;43.17353815;63.099998474121094;9.0;3.25;11.7;7.270055;6.31748;
11.000001;19:15:34;-79.20823177;43.17353643;63.29999923706055;10.0;3.25;11.7;7.270055;6.31748;
12.000001;19:15:35;-79.20828023;43.17353478;62.5;9.0;3.25;11.7;7.270055;6.31748;
13.000001;19:15:36;-79.20832981;43.17353383;63.599998474121094;10.0;3.25;11.7;7.270055;6.31748;
14.000001;19:15:37;-79.20837594;43.17353107;63.5;9.0;3.25;11.7;7.270055;6.31748;
15.000001;19:15:38;-79.20841748;43.17353202;64.19999694824219;10.0;3.0;10.799999;6.7108197;5.83152;
16.0;19:15:39;-79.20844094;43.17353635;64.4000015258789;10.0;2.0;7.2;4.47388;3.88768;
17.0;19:15:40;-79.20845754;43.17354595;64.5;10.0;1.75;6.2999997;3.9146447;3.40172;
18.0;19:15:41;-79.20846779;43.17355496;64.5;10.0;1.5;5.3999996;3.3554099;2.91576;
19.0;19:15:42;-79.20846103;43.17356382;64.4000015258789;10.0;1.5;5.3999996;3.3554099;2.91576;
20.0;19:15:43;-79.20841008;43.17355998;63.20000076293945;9.0;1.75;6.2999997;3.9146447;3.40172;
21.000002;19:15:44;-79.20835687;43.17355044;61.0;9.0;2.0;7.2;4.47388;3.88768;
22.000002;19:15:45;-79.2083023;43.17354076;61.099998474121094;10.0;2.25;8.099999;5.033115;4.37364;
23.000002;19:15:46;-79.20824108;43.17353389;61.099998474121094;9.0;3.0;10.799999;6.7108197;5.83152;
24.000002;19:15:47;-79.20818486;43.17353007;59.29999923706055;9.0;3.25;11.7;7.270055;6.31748;
25.000002;19:15:48;-79.20812819;43.17352876;59.0;10.0;3.25;11.7;7.270055;6.31748;
26.000002;19:15:49;-79.20807265;43.17352853;59.29999923706055;9.0;3.25;11.7;7.270055;6.31748;
27.000002;19:15:50;-79.20801894;43.17352739;59.70000076293945;10.0;3.25;11.7;7.270055;6.31748;
28.000002;19:15:51;-79.20797073;43.17352763;60.0;9.0;3.25;11.7;7.270055;6.31748;
29.000002;19:15:52;-79.20792824;43.17352815;60.400001525878906;10.0;3.0;10.799999;6.7108197;5.83152;
30.000002;19:15:53;-79.2078933;43.17352748;60.099998474121094;10.0;2.75;9.9;6.1515846;5.34556;
