unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;0.35372925;10.006256;2.2533722;
0.0050354;0.25613403;9.858673;2.2759857;
0.010070801;0.24899292;9.7099;2.444992;
0.0151062;0.24780273;9.621826;2.6092377;
0.020111084;0.30255127;9.484955;2.6401825;
0.025177002;0.4727478;9.443298;2.810379;
0.0302124;0.5810547;9.448059;2.8841705;
0.035247803;0.7262573;9.484955;2.952011;
0.040283203;0.8428955;9.474243;2.8972626;
0.045318604;0.93692017;9.423065;2.7960968;
0.050354004;1.019043;9.511139;2.8389435;
0.0553894;0.99523926;9.481384;2.7032623;
0.0604248;1.019043;9.436157;2.5390167;
0.065460205;1.0368958;9.480194;2.515213;
0.070495605;1.032135;9.45639;2.62471;
0.075531006;1.0440369;9.503998;2.4711761;
0.08053589;1.0404663;9.51947;2.515213;
0.08560181;1.0119019;9.58493;2.5318756;
0.09063721;0.94525146;9.575409;2.5199738;
0.09567261;0.9000244;9.663483;2.5782928;
0.10067748;0.8702698;9.626587;2.5949554;
0.10574341;0.8607483;9.633728;2.5497284;
0.1107788;0.87384033;9.627777;2.6592255;
0.1158142;0.8512268;9.652771;2.598526;
0.1208496;0.83813477;9.64563;2.643753;
0.12588501;0.8869324;9.609924;2.6128082;
0.13092041;0.88217163;9.628967;2.6425629;
0.13595581;0.884552;9.614685;2.778244;
0.14099121;0.8286133;9.540894;2.7377777;
0.1460266;0.83218384;9.533752;2.6651764;
0.15106201;0.7964783;9.586121;2.7532501;
0.1560974;0.83099365;9.613495;2.759201;
0.16113281;0.75601196;9.608734;2.7282562;
0.1661682;0.8190918;9.565887;2.791336;
0.17120361;0.6881714;9.638489;2.8056183;
0.176239;0.67388916;9.626587;2.7603912;
0.1812439;0.6691284;9.650391;2.7818146;
0.1863098;0.62509155;9.684906;2.7413483;
0.19134521;0.55249023;9.738464;2.7770538;
0.1963806;0.4965515;9.739655;2.719925;
0.20141602;0.5227356;9.702759;2.6413727;
0.20645142;0.46084595;9.7099;2.708023;
0.21148682;0.45489502;9.684906;2.6854095;
0.21652222;0.46798706;9.620636;2.6330414;
0.2215576;0.5489197;9.565887;2.7437286;
0.22659302;0.5132141;9.563507;2.721115;
0.2316284;0.5858154;9.562317;2.7258759;
0.23666382;0.63342285;9.614685;2.7115936;
0.2416992;0.6893616;9.563507;2.7020721;
0.24691172;0.7512512;9.607544;2.8127594;
0.25194713;0.7917175;9.608734;2.7437286;
0.25698254;0.8095703;9.614685;2.7484894;
0.26201794;0.7607727;9.598022;2.7282562;
0.26705334;0.7714844;9.623016;2.7163544;
0.27208874;0.79885864;9.587311;2.7699127;
0.2771241;0.82980347;9.64444;2.836563;
0.28212902;0.788147;9.719421;2.8853607;
0.28719494;0.79885864;9.739655;2.8591766;
0.29223034;0.8286133;9.819397;2.8401337;
0.2972657;0.8357544;9.820587;2.8591766;
0.30230114;0.7441101;9.7586975;2.8639374;
0.30733654;0.8036194;9.77417;2.829422;
0.31237194;0.8119507;9.731323;2.8091888;
0.3174073;0.8250427;9.719421;2.7794342;
0.32244274;0.85717773;9.655151;2.7853851;
0.32747814;0.86550903;9.658722;2.700882;
0.33251354;0.884552;9.650391;2.6270905;
0.3375489;0.75720215;9.607544;2.6544647;
0.34258434;0.74172974;9.655151;2.5961456;
0.34761974;0.72506714;9.678955;2.62471;
0.3526551;0.64294434;9.594452;2.5830536;
0.35769054;0.6203308;9.575409;2.611618;
0.36269543;0.4906006;9.564697;2.719925;
0.36776134;0.44418335;9.559937;2.7663422;
0.3727967;0.42752075;9.545654;2.848465;
0.37783214;0.37039185;9.448059;2.8686981;
0.38283703;0.3894348;9.436157;2.9496307;
0.38790295;0.43704224;9.4635315;2.919876;
0.39293832;0.48583984;9.424255;2.8663177;
