unit -> SI (m/s^2) 
Timestamp;x-axis;y-axis;z-axis
8.2397397E-4;-0.17288584;0.33692455;-0.25786376;
0.0059204097;-0.2702796;0.1895523;-0.2368319;
0.010894774;-0.27802527;0.04158497;-0.070852995;
0.015930176;-0.2807737;-0.04523754;0.08915782;
0.020935057;-0.22863662;-0.18044376;0.11530638;
0.026062012;-0.062351644;-0.22027016;0.2802899;
0.031036375;0.041261792;-0.21378899;0.34926963;
0.036071774;0.18107772;-0.17536926;0.41281867;
0.041107174;0.29209435;-0.18475723;0.35472107;
0.04620361;0.38053125;-0.23475266;0.25121117;
0.051177975;0.45753008;-0.14589119;0.29246688;
0.05621338;0.4292165;-0.17497063;0.15591407;
0.06124878;0.44916266;-0.2195673;-0.0086324215;
0.066345215;0.4640119;-0.1750536;-0.03258252;
0.07131958;0.45715445;-0.19837284;0.07650256;
0.07638549;0.46739286;-0.15035152;-0.07732034;
0.08135986;0.46259266;-0.1344986;-0.033717632;
0.08648682;0.43327135;-0.068777084;-0.017570496;
0.09146118;0.3663773;-0.07802677;-0.030047417;
0.09649658;0.321347;0.010186195;0.027467728;
0.101501465;0.29215425;-0.026481628;0.04312563;
0.10662841;0.28339833;-0.019067764;-0.0032863617;
0.11160278;0.29734522;-0.024703026;0.104692936;
0.11663818;0.27582884;5.9890747E-4;0.04240179;
0.121673584;0.26402885;-0.006170273;0.08573604;
0.12677002;0.3142954;-0.041391373;0.05268979;
0.13174438;0.3111683;-0.021863937;0.08014107;
0.13677979;0.31550723;-0.035603523;0.21309853;
0.14181519;0.26199698;-0.10873699;0.16992426;
0.1469116;0.26818556;-0.11520767;0.09469485;
0.15188599;0.2351895;-0.062283516;0.18009305;
0.15692139;0.27263814;-0.03443718;0.18344688;
0.16195677;0.20081031;-0.03878498;0.15019226;
0.16705321;0.2669117;-0.081189156;0.21102595;
0.17202757;0.13898754;-0.008308411;0.22325563;
0.1770935;0.12755156;-0.01996231;0.17628765;
0.18206787;0.12534016;0.004011154;0.19614983;
0.18719481;0.08369869;0.038614273;0.15432501;
0.19216917;0.013201356;0.0921402;0.18882036;
0.19720459;-0.0409106;0.09328461;0.13070154;
0.20223998;-0.013310432;0.056373596;0.051487207;
0.20733643;-0.074077785;0.06346798;0.11751175;
0.21231078;-0.07940227;0.038467407;0.0944252;
0.21734619;-0.06625742;-0.025691986;0.041745663;
0.22238159;0.014031351;-0.08021355;0.15195918;
0.22747803;-0.022800803;-0.082351685;0.12898064;
0.23245238;0.04808557;-0.083278656;0.13339281;
0.23748778;0.093471706;-0.030741692;0.118901014;
0.2427003;0.14672679;-0.081685066;0.1093421;
0.24779674;0.20553601;-0.03750229;0.2199297;
0.2527711;0.24277395;-0.036198616;0.15104413;
0.2578065;0.25715047;-0.030132294;0.15594673;
0.2628419;0.20476645;-0.046614647;0.13579679;
0.26793835;0.21159971;-0.02144432;0.123921394;
0.2729127;0.23489773;-0.05690384;0.17742085;
0.27797863;0.2614193;3.681183E-4;0.24399948;
0.282953;0.2152546;0.075380325;0.29264235;
0.28807992;0.22113472;0.09561539;0.2664075;
0.29305428;0.24606603;0.17517757;0.24753022;
0.2980897;0.24837613;0.17612934;0.2669158;
0.3031251;0.15212166;0.114053726;0.27219558;
