Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:16:41;-79.20789876;43.17354352;62.0;9.0;0.0;0.0;0.0;0.0;
1.0;19:16:42;-79.2079014;43.17354413;61.900001525878906;9.0;0.0;0.0;0.0;0.0;
2.0;19:16:43;-79.2079041;43.17354455;62.099998474121094;9.0;0.0;0.0;0.0;0.0;
3.0000002;19:16:44;-79.20792225;43.17354726;62.0;9.0;1.5;5.3999996;3.3554099;2.91576;
4.0;19:16:45;-79.20795404;43.17354503;62.29999923706055;9.0;2.0;7.2;4.47388;3.88768;
5.0;19:16:46;-79.20799037;43.17354362;62.79999923706055;9.0;2.25;8.099999;5.033115;4.37364;
6.0000005;19:16:47;-79.2080363;43.17354064;63.20000076293945;9.0;3.0;10.799999;6.7108197;5.83152;
7.0000005;19:16:48;-79.20808567;43.17354101;64.0999984741211;10.0;3.25;11.7;7.270055;6.31748;
8.0;19:16:49;-79.2081335;43.17354306;65.30000305175781;10.0;3.25;11.7;7.270055;6.31748;
9.0;19:16:50;-79.20818085;43.17354479;66.5;10.0;3.25;11.7;7.270055;6.31748;
10.0;19:16:51;-79.20822682;43.17354373;66.19999694824219;9.0;3.25;11.7;7.270055;6.31748;
11.000001;19:16:52;-79.20827236;43.17354149;67.0999984741211;9.0;3.25;11.7;7.270055;6.31748;
12.000001;19:16:53;-79.20831707;43.17353753;66.69999694824219;9.0;3.25;11.7;7.270055;6.31748;
13.000001;19:16:54;-79.20836071;43.17353558;66.9000015258789;9.0;3.25;11.7;7.270055;6.31748;
14.000001;19:16:55;-79.20839999;43.1735362;66.5;9.0;3.0;10.799999;6.7108197;5.83152;
15.000001;19:16:56;-79.2084341;43.17353781;67.0999984741211;9.0;2.75;9.9;6.1515846;5.34556;
16.0;19:16:57;-79.20843532;43.17353995;66.69999694824219;10.0;0.75;2.6999998;1.6777049;1.45788;
17.0;19:16:58;-79.20840396;43.17354636;66.5;9.0;1.75;6.2999997;3.9146447;3.40172;
18.0;19:16:59;-79.20836802;43.17354731;66.4000015258789;9.0;2.0;7.2;4.47388;3.88768;
19.0;19:17:00;-79.20832636;43.17354779;66.0999984741211;9.0;2.5;9.0;5.59235;4.8596;
20.0;19:17:01;-79.20827696;43.17354846;65.5999984741211;9.0;3.25;11.7;7.270055;6.31748;
21.000002;19:17:02;-79.20822732;43.17355048;65.4000015258789;9.0;3.25;11.7;7.270055;6.31748;
22.000002;19:17:03;-79.20818027;43.17355364;65.0999984741211;9.0;3.25;11.7;7.270055;6.31748;
23.000002;19:17:04;-79.20813602;43.17355656;64.9000015258789;9.0;3.0;10.799999;6.7108197;5.83152;
24.000002;19:17:05;-79.20809279;43.17356141;65.4000015258789;9.0;3.25;11.7;7.270055;6.31748;
25.000002;19:17:06;-79.20804975;43.17356743;65.0;10.0;3.25;11.7;7.270055;6.31748;
26.000002;19:17:07;-79.20800616;43.17357233;64.5999984741211;9.0;3.25;11.7;7.270055;6.31748;
27.000002;19:17:08;-79.20796186;43.17357544;64.30000305175781;9.0;3.25;11.7;7.270055;6.31748;
28.000002;19:17:09;-79.20791927;43.17357656;65.0999984741211;9.0;3.25;11.7;7.270055;6.31748;
29.000002;19:17:10;-79.20788049;43.17357519;64.5999984741211;9.0;3.0;10.799999;6.7108197;5.83152;
30.000002;19:17:11;-79.20784904;43.17356962;63.599998474121094;9.0;2.75;9.9;6.1515846;5.34556;
