unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;-0.18066406;9.703949;2.3366852;
0.005065918;-0.23898315;9.792023;2.373581;
0.010101317;-0.16281128;9.864624;2.425949;
0.015136719;-0.052124023;9.852722;2.534256;
0.02017212;-0.024749756;9.83963;2.6854095;
0.02520752;0.087127686;9.824158;2.7853851;
0.03024292;0.09188843;9.743225;2.823471;
0.03527832;0.037139893;9.620636;2.8448944;
0.04031372;-0.018798828;9.539703;2.8639374;
0.045349117;0.03475952;9.555176;2.9877167;
0.050384518;0.06451416;9.559937;2.9412994;
0.05541992;0.09307861;9.549225;2.957962;
0.06045532;0.19067383;9.58136;2.937729;
0.06549072;0.26208496;9.575409;3.0722198;
0.070526116;0.30969238;9.571838;3.0615082;
0.075561516;0.32754517;9.596832;3.0162811;
0.080566406;0.3251648;9.548035;3.0567474;
0.08563232;0.37991333;9.564697;2.9686737;
0.090667725;0.33111572;9.620636;2.919876;
0.095703125;0.28707886;9.605164;2.8722687;
0.100738525;0.32040405;9.659912;2.906784;
0.105773926;0.31088257;9.700378;2.727066;
0.110809326;0.25375366;9.653961;2.7437286;
0.11584473;0.2501831;9.664673;2.7377777;
0.12088013;0.23233032;9.6944275;2.8639374;
0.12591553;0.12640381;9.6432495;2.8603668;
0.13095093;0.1430664;9.637299;2.8532257;
0.13598633;0.12283325;9.573029;3.0127106;
0.14099121;0.084747314;9.51828;2.9532013;
0.14605713;0.0859375;9.471863;2.9984283;
0.15109253;0.0014343262;9.496857;2.9805756;
0.15612793;0.02166748;9.506378;3.0329437;
0.16116333;-0.033081055;9.532562;3.066269;
0.16619873;-0.050933838;9.563507;3.0888824;
0.17123412;-0.07354736;9.539703;3.092453;
0.17626953;-0.123535156;9.545654;3.0900726;
0.18127441;-0.03427124;9.569458;3.054367;
0.18634033;-0.056884766;9.598022;3.0686493;
0.19137572;-0.05569458;9.6492;3.0400848;
0.19641113;0.02166748;9.676575;3.0103302;
0.20144652;0.02999878;9.64444;2.9805756;
0.20648193;0.0061950684;9.6432495;3.015091;
0.21151732;0.046661377;9.592072;2.9924774;
0.21655273;0.06808472;9.575409;3.0365143;
0.22158812;0.060943604;9.565887;3.0127106;
0.22662354;0.07998657;9.542084;3.0757904;
0.23165892;0.08236694;9.563507;3.067459;
0.23669434;0.11331177;9.524231;3.0317535;
0.24172972;0.095458984;9.558746;3.1472015;
0.24676512;0.15377808;9.574219;3.1031647;
0.25180054;0.15615845;9.513519;3.0936432;
0.25683594;0.13949585;9.575409;3.0781708;
0.26187134;0.13949585;9.534943;3.13768;
0.26690674;0.2097168;9.575409;3.1210175;
0.27194214;0.14425659;9.543274;3.099594;
0.27697754;0.2013855;9.545654;3.1162567;
0.28198242;0.21685791;9.568268;3.0400848;
0.28704834;0.22994995;9.589691;2.996048;
0.29208374;0.1763916;9.589691;3.0579376;
0.29711914;0.24542236;9.569458;3.0591278;
0.3021545;0.28112793;9.574219;3.0519867;
0.30718994;0.20376587;9.558746;3.0174713;
0.31222534;0.24780273;9.553986;3.0650787;
0.3172607;0.23590088;9.587311;3.0162811;
0.3222961;0.116882324;9.6111145;3.0198517;
0.32733154;0.12640381;9.682526;3.0329437;
0.33236694;0.074035645;9.634918;3.0686493;
0.3374023;0.119262695;9.513519;3.0424652;
0.34243774;0.0776062;9.471863;3.086502;
0.34747314;0.12402344;9.417114;3.060318;
0.35250854;0.12283325;9.358795;3.1031647;
0.35754392;0.16687012;9.363556;3.1519623;
0.36257935;0.1763916;9.38974;3.1293488;
0.36761475;0.14544678;9.464722;3.0722198;
0.37265015;0.18710327;9.490906;2.9877167;
0.37768552;0.12640381;9.5468445;3.001999;
0.38269043;0.10974121;9.577789;2.9746246;
0.38775635;0.07165527;9.483765;3.0329437;
0.39279172;0.018096924;9.420685;3.0043793;
0.39782712;-0.0152282715;9.407593;3.0567474;
