unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
8.2397397E-4;0.794121;-0.107455;-0.598184;
0.0059509277;0.652065;-0.669740;-0.355331;
0.010925293;0.268450;-0.963246;0.009639;
0.015960693;0.040337;-0.983132;0.178394;
0.020996094;-0.076072;-0.972829;0.218672;
0.026092527;-0.152931;-0.969871;0.189639;
0.031066893;-0.199827;-0.969513;0.141823;
0.036102295;-0.229710;-0.969223;0.088548;
0.041137695;-0.252361;-0.966207;0.052509;
0.04623413;-0.256723;-0.965803;0.036312;
0.051208496;-0.267423;-0.962584;0.043785;
0.056243893;-0.264947;-0.962727;0.054403;
0.061279293;-0.254272;-0.964652;0.069228;
0.06637573;-0.245767;-0.964992;0.091598;
0.0713501;-0.240547;-0.966767;0.086592;
0.076416016;-0.243747;-0.966455;0.080943;
0.08139038;-0.251008;-0.965819;0.064722;
0.086517334;-0.295627;-0.954696;0.034066;
0.09149169;-0.037430;-0.092194;-0.000412;
0.09652709;-0.033157;-0.043060;-0.004684;
0.10156249;-0.032089;0.002869;-0.008957;
0.106658936;-0.033157;0.041321;-0.011093;
0.1116333;-0.035294;0.074432;-0.015366;
0.1166687;-0.358171;0.921052;-0.152894;
0.1217041;-0.326489;0.936170;-0.130346;
0.12680054;-0.316086;0.938352;-0.139949;
0.1317749;-0.329576;0.935261;-0.129098;
0.1368103;-0.319997;0.939977;-0.118514;
0.14181519;-0.318459;0.941738;-0.108227;
0.14694214;-0.337764;0.934665;-0.110981;
0.1519165;-0.337436;0.935003;-0.109114;
0.1569519;-0.340193;0.931850;-0.126194;
0.1619873;-0.340314;0.930750;-0.133759;
0.16708374;-0.349994;0.924991;-0.147975;
0.1720581;-0.353726;0.922007;-0.157418;
0.17712401;-0.389965;0.904896;-0.170556;
0.18209837;-0.396791;0.897272;-0.193548;
0.18722534;-0.441669;0.870981;-0.215224;
0.1921997;-0.491674;0.822394;-0.286225;
0.19723509;-0.047043;0.062683;-0.030319;
0.20227051;-0.047043;0.039185;-0.033524;
0.20736694;-0.047043;0.016754;-0.036728;
0.21234131;-0.048111;-0.007812;-0.035660;
0.2173767;-0.052383;-0.028107;-0.036728;
0.22241211;-0.054520;-0.045197;-0.035660;
0.22750854;-0.056656;-0.060150;-0.036728;
0.23248291;-0.058792;-0.070831;-0.032455;
0.2375183;-0.587272;-0.754790;-0.292239;
0.24255371;-0.556616;-0.777816;-0.291858;
0.24765013;-0.557898;-0.785500;-0.267841;
0.2526245;-0.550566;-0.792116;-0.263495;
0.25765988;-0.055588;-0.077240;-0.024979;
0.2626953;-0.055588;-0.072968;-0.023911;
0.26779175;-0.050247;-0.067627;-0.021774;
0.2727661;-0.050247;-0.061218;-0.019638;
0.27783203;-0.045975;-0.052673;-0.018570;
0.2828064;-0.042770;-0.041992;-0.015366;
0.28793335;-0.042770;-0.034515;-0.015366;
0.2929077;-0.041702;-0.025970;-0.012161;
0.2979431;-0.041702;-0.018494;-0.011093;
0.30297852;-0.039566;-0.011017;-0.010025;
0.30807492;-0.037430;0.001801;-0.008957;
0.31304932;-0.033157;0.014618;-0.011093;
0.3180847;-0.033157;0.027435;-0.006821;
0.32312012;-0.028885;0.041321;-0.006821;
0.32821652;-0.028885;0.052002;-0.004684;
0.3331909;-0.025681;0.062683;-0.002548;
0.3382263;-0.023544;0.064819;-0.001480;
0.34326172;-0.021408;0.064819;0.000656;
0.34835812;-0.017136;0.060547;-0.000412;
0.3533325;-0.011795;0.058411;-0.003616;
0.35836792;-0.007523;0.058411;-0.005753;
0.36340332;0.001022;0.056274;-0.013229;
0.36849973;0.008499;0.054138;-0.017502;
0.3734741;0.013840;0.048798;-0.021774;
0.37854;0.015976;0.042389;-0.024979;
0.38351437;0.012772;0.031708;-0.027115;
0.38864133;0.010635;0.022095;-0.027115;
0.3936157;0.009567;0.015686;-0.028183;
0.39865112;0.006363;0.002869;-0.026047;
0.40368652;0.005295;-0.009949;-0.019638;
0.40878293;0.008499;-0.013153;-0.015366;
0.4137573;0.009567;-0.017426;-0.007889;
0.41879272;0.010635;-0.017426;-0.002548;
0.42382813;0.014908;-0.023834;-0.000412;
0.42892453;0.018112;-0.027039;0.000656;
0.4338989;0.018112;-0.030243;-0.002548;
0.43893433;0.020248;-0.032379;-0.003616;
0.44396973;0.021317;-0.030243;-0.006821;
0.44906616;0.022385;-0.027039;-0.012161;
0.4540405;0.023453;-0.020630;-0.016434;
0.45907593;0.024521;-0.014221;-0.018570;
0.46411133;0.027725;-0.008881;-0.019638;
0.46920776;0.027725;-0.002472;-0.018570;
0.47418213;0.029861;0.002869;-0.017502;
0.47924802;0.033066;0.008209;-0.016434;
0.48422238;0.034134;0.009277;-0.016434;
0.48934937;0.036270;0.011414;-0.013229;
0.49432373;0.039474;0.013550;-0.012161;
0.49935913;0.042679;0.015686;-0.012161;
0.50439453;0.045883;0.015686;-0.008957;
0.50949097;0.044815;0.022095;-0.006821;
0.51446533;0.044815;0.021027;-0.005753;
0.51950073;0.043747;0.022095;-0.003616;
0.52453613;0.045883;0.021027;-0.004684;
0.52963257;0.046951;0.018890;-0.004684;
0.53460693;0.049088;0.014618;-0.005753;
0.5396423;0.051224;0.013550;-0.007889;
0.54467773;0.057632;0.012482;-0.005753;
0.5497741;0.060837;0.014618;-0.004684;
0.55474854;0.065109;0.019958;-0.002548;
0.55978394;0.069382;0.027435;-0.005753;
0.56481934;0.074722;0.039185;-0.005753;
0.5699158;0.080063;0.054138;-0.006821;
0.5748901;0.763961;0.642141;-0.063392;
0.579956;0.716773;0.696662;-0.029976;
0.5849304;0.683673;0.729772;0.004943;
0.5900573;0.658392;0.751552;0.041091;
0.59503174;0.645085;0.759939;0.079741;
0.60006714;0.645053;0.756127;0.110358;
0.60510254;0.652565;0.740777;0.159398;
0.610199;0.660054;0.720601;0.212278;
0.6151733;0.668305;0.698942;0.254654;
0.62020874;0.658614;0.682215;0.317507;
0.62524414;0.663774;0.648034;0.373437;
0.6303406;0.664766;0.613430;0.426369;
0.63531494;0.648106;0.582104;0.491034;
0.64035034;0.624801;0.558335;0.545789;
0.6453857;0.606571;0.528727;0.593734;
0.6504822;0.588622;0.501486;0.634063;
0.6554565;0.572314;0.483847;0.662079;
0.66049194;0.562324;0.453418;0.691522;
0.66552734;0.553409;0.423937;0.716949;
0.6706238;0.560224;0.391633;0.729913;
0.67559814;0.559941;0.351568;0.750244;
0.68066406;0.569243;0.300908;0.765125;
0.68563837;0.575047;0.251468;0.778514;
0.6907654;0.581228;0.200283;0.788708;
0.69573975;0.587231;0.150166;0.795367;
0.70077515;0.586804;0.109626;0.802274;
0.70578;0.592390;0.071025;0.802514;
0.710907;0.595105;0.047788;0.802226;
0.71588135;0.599555;0.038326;0.799416;
0.7209167;0.607057;0.036889;0.793802;
0.7259521;0.610491;0.039290;0.791048;
0.7310486;0.615871;0.041446;0.786756;
0.73602295;0.617496;0.046588;0.785193;
0.74105835;0.613455;0.056149;0.787731;
0.74606323;0.609986;0.059748;0.790156;
0.7511902;0.604355;0.075825;0.793099;
0.75616455;0.601410;0.084492;0.794461;
0.7611999;0.593772;0.089518;0.799638;
0.7662353;0.585426;0.094685;0.805178;
0.7713317;0.575563;0.098337;0.811823;
0.77630615;0.566282;0.097053;0.818477;
0.7813721;0.553162;0.093846;0.827771;
0.78634644;0.541751;0.090146;0.835691;
0.7914734;0.532501;0.085935;0.842056;
0.7964477;0.524598;0.085508;0.847045;
0.8014831;0.517940;0.091277;0.850533;
0.8065185;0.513438;0.096977;0.852630;
0.81161493;0.508564;0.102165;0.854942;
0.81658936;0.505339;0.109545;0.855939;
0.82162476;0.502079;0.119153;0.856574;
0.82666016;0.501457;0.130001;0.855360;
0.8317566;0.503913;0.140048;0.852325;
0.8367309;0.504415;0.150836;0.850185;
0.8417663;0.509139;0.157275;0.846193;
0.8468017;0.512114;0.165266;0.842868;
0.85189813;0.516837;0.165648;0.839905;
0.85687256;0.523046;0.166540;0.835875;
0.86190796;0.528517;0.165451;0.832644;
0.86694336;0.531569;0.162076;0.831364;
0.8720398;0.534684;0.156993;0.830341;
0.8770141;0.537363;0.152251;0.829494;
0.88208;0.537661;0.142511;0.831030;
0.88705444;0.539213;0.128653;0.832285;
0.89218134;0.539415;0.112553;0.834484;
0.89715576;0.541711;0.099010;0.834713;
0.90219116;0.544082;0.085953;0.834618;
0.90722656;0.547467;0.075826;0.833385;
0.912323;0.552292;0.063491;0.831229;
0.9172973;0.557020;0.053249;0.828790;
0.9223327;0.562189;0.039916;0.826045;
0.92736816;0.566261;0.027874;0.823755;
0.93246454;0.571016;0.016316;0.820777;
0.93743896;0.575232;0.005327;0.817973;
0.94247437;0.581428;-0.005882;0.813577;
0.9475097;0.585278;-0.015679;0.810681;
0.9526062;0.587277;-0.025650;0.808979;
0.9575805;0.588038;-0.035048;0.808074;
0.9626159;0.584906;-0.041327;0.810048;
0.96765137;0.579953;-0.045988;0.813351;
0.97274774;0.572461;-0.052391;0.818256;
0.97772217;0.561288;-0.056317;0.825702;
0.9828186;0.548727;-0.062691;0.833648;
0.9877624;0.533921;-0.067345;0.842848;
0.9928894;0.517257;-0.075422;0.852500;
0.9978637;0.506165;-0.084643;0.858273;
1.0028992;0.496677;-0.095187;0.862700;
1.007965;0.485598;-0.113388;0.866797;
1.013031;0.474207;-0.135915;0.869859;
1.0180054;0.459029;-0.167814;0.872428;
1.0230408;0.441249;-0.204844;0.873692;
1.0280762;0.421854;-0.250351;0.871415;
1.0331726;0.398390;-0.302605;0.865861;
1.038147;0.370495;-0.365807;0.853767;
1.0431824;0.335098;-0.448203;0.828748;
1.0482178;0.301490;-0.526206;0.795117;
1.0533142;0.271111;-0.605049;0.748608;
1.0582886;0.244597;-0.675844;0.695275;
1.063324;0.220422;-0.737488;0.638377;
1.0683289;0.199948;-0.788720;0.581328;
