unit -> angles in degrees			
"Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West"	"Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis"	"Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis"	
Timestamp	Azimuth	Pitch	Roll
8.24E-04	23.594055	-73.41348	0.39689776
0.005950928	23.619354	-73.452225	0.377147
0.010925293	23.647522	-73.47712	0.37913463
0.015960693	23.70047	-73.48932	0.40068266
0.020996094	23.76651	-73.490204	0.4348584
0.026092527	23.83966	-73.48199	0.47541222
0.031066893	23.906586	-73.46747	0.51432526
0.036102295	23.991425	-73.44849	0.54956543
0.041137695	24.079498	-73.42689	0.5800953
0.04623413	24.168	-73.40308	0.60870767
0.051208496	24.240295	-73.38002	0.63601726
0.056243893	24.32309	-73.35641	0.6643993
0.061279293	24.401306	-73.33391	0.6945448
0.06637573	24.477295	-73.31149	0.7262837
0.0713501	24.532837	-73.29152	0.7566123
0.076416016	24.593597	-73.27367	0.7843872
0.08139038	24.644714	-73.25781	0.80721503
0.086517334	24.682678	-73.24429	0.8255807
0.09149169	24.69571	-73.23312	0.8374136
0.09652709	24.709473	-73.223434	0.84366643
0.10156249	24.709625	-73.21417	0.8450881
0.106658936	24.69571	-73.2064	0.8419698
0.1116333	24.662842	-73.19798	0.8346129
0.1166687	24.63388	-73.188675	0.82399
0.1217041	24.60019	-73.17699	0.81077135
0.12680054	24.563477	-73.16342	0.7936694
0.1317749	24.510864	-73.14855	0.77524924
0.1368103	24.468994	-73.13048	0.7553153
0.14181519	24.424774	-73.11212	0.7343807
0.14694214	24.37854	-73.091736	0.7125232
0.1519165	24.32428	-73.07129	0.69010913
0.1569519	24.280304	-73.05004	0.66715723
0.1619873	24.239288	-73.0288	0.6433371
0.16708374	24.2005	-73.00774	0.6194317
0.1720581	24.155914	-72.98788	0.59666365
0.17712401	24.126373	-72.96813	0.57414335
0.18209837	24.098175	-72.94995	0.5542435
0.18722534	24.074982	-72.93254	0.5353785
0.1921997	24.047241	-72.91687	0.5185175
0.19723509	24.03238	-72.902374	0.5034392
0.20227051	24.023132	-72.8886	0.48977834
0.20736694	24.021667	-72.87443	0.4768313
0.21234131	24.014893	-72.860565	0.4662629
0.2173767	24.024506	-72.845406	0.45769754
0.22241211	24.039154	-72.829575	0.45066905
0.22750854	24.058716	-72.81235	0.44513732
0.23248291	24.070374	-72.7951	0.44128752
0.2375183	24.093506	-72.77728	0.4393554
0.24255371	24.120453	-72.7584	0.43795344
0.24765013	24.145935	-72.7398	0.43756923
0.2526245	24.159271	-72.72201	0.43773657
0.25765988	24.182617	-72.705124	0.43796456
0.2626953	24.205688	-72.68776	0.43827274
0.26779175	24.22467	-72.67126	0.43927938
0.2727661	24.232147	-72.656	0.43975666
0.27783203	24.247253	-72.640976	0.44057545
0.2828064	24.257446	-72.62801	0.44131312
0.28793335	24.26419	-72.6156	0.4418126
0.2929077	24.259888	-72.60315	0.44158548
0.2979431	24.262085	-72.59064	0.44190055
0.30297852	24.260773	-72.57852	0.44220194
0.30807492	24.258759	-72.567154	0.44116372
0.31304932	24.241089	-72.55651	0.4393605
0.3180847	24.230652	-72.54689	0.43658993
0.32312012	24.220306	-72.5379	0.43212542
0.32821652	24.205872	-72.52951	0.42691553
0.3331909	24.179535	-72.52131	0.42102176
0.3382263	24.161224	-72.51367	0.41538414
0.34326172	24.144684	-72.506134	0.40971154
0.34835812	24.126678	-72.49956	0.40475526
0.3533325	24.099548	-72.49396	0.3996231
0.35836792	24.083374	-72.48927	0.39420238
0.36340332	24.067078	-72.48672	0.38765547
0.36849973	24.051575	-72.487236	0.37928063
0.3734741	24.023376	-72.4904	0.37069747
0.37854	24.010498	-72.49475	0.36084726
0.38351437	24.000336	-72.49921	0.35105088
0.38864133	23.995392	-72.50222	0.341199
0.3936157	23.983215	-72.504776	0.33169034
0.39865112	23.986786	-72.50624	0.32275036
0.40368652	23.993317	-72.50692	0.31623253
0.40878293	24.002167	-72.50786	0.3117305
0.4137573	24.001038	-72.509514	0.3090095
0.41879272	24.010284	-72.512436	0.3079875
0.42382813	24.021088	-72.51547	0.30828977
0.42892453	24.03003	-72.52086	0.3098052
0.4338989	24.02887	-72.52595	0.31161612
0.43893433	24.035828	-72.531746	0.31391707
0.44396973	24.04364	-72.538	0.31544703
0.44906616	24.05008	-72.54416	0.31608653
0.4540405	24.044128	-72.550705	0.31526092
0.45907593	24.047241	-72.557846	0.3127542
0.46411133	24.05069	-72.5654	0.3088763
0.46920776	24.053375	-72.572495	0.30466628
0.47418213	24.046143	-72.57953	0.29991242
0.47924802	24.047272	-72.5878	0.2947897
0.48422238	24.047363	-72.5963	0.28975496
0.48934937	24.044739	-72.60591	0.28529817
0.49432373	24.032227	-72.61586	0.2811727
0.49935913	24.029297	-72.62659	0.27704465
0.50439453	24.027283	-72.63787	0.2730592
0.50949097	24.02362	-72.65016	0.26937
0.51446533	24.010956	-72.66154	0.2655254
0.51950073	24.00769	-72.673065	0.26229468
0.52453613	24.003235	-72.68474	0.25954467
0.52963257	24.003326	-72.695854	0.25612357
0.53460693	23.99173	-72.70759	0.25329328
0.5396423	23.992554	-72.72054	0.24973556
0.54467773	23.99173	-72.73419	0.24704446
0.5497741	23.989777	-72.74866	0.24529077
0.55474854	23.978363	-72.76321	0.24343978
0.55978394	23.972748	-72.78002	0.24125154
0.56481934	23.964844	-72.79832	0.23769723
0.5699158	23.956512	-72.81809	0.23200594
0.5748901	23.937286	-72.83774	0.22432022
0.579956	23.924225	-72.85904	0.21556555
0.5849304	23.909058	-72.88093	0.2064489
0.5900573	23.891449	-72.9044	0.19695316
0.59503174	23.86148	-72.92897	0.18790825
0.60006714	23.839478	-72.95563	0.17964794
0.60510254	23.818176	-72.98517	0.17186575
0.610199	23.796295	-73.01618	0.16669698
0.6151733	23.762604	-73.04909	0.16414504
0.62020874	23.736633	-73.08471	0.16515933
0.62524414	23.710663	-73.121124	0.17043482
0.6303406	23.684753	-73.16022	0.17996213
0.63531494	23.649445	-73.19952	0.19411777
0.64035034	23.62436	-73.23976	0.21412095
0.6453857	23.598297	-73.281105	0.2397634
0.6504822	23.571442	-73.32483	0.27143958
0.6554565	23.5354	-73.36796	0.3078193
0.66049194	23.505981	-73.414696	0.35058898
0.66552734	23.474182	-73.46337	0.4002071
0.6706238	23.440796	-73.51603	0.45644844
0.67559814	23.398926	-73.570816	0.51675606
