unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;1.378479;9.867004;0.590683;
0.005035401;1.2237549;9.913422;0.558548;
0.010070801;1.1820984;9.883667;0.68470764;
0.0151062;1.1463928;9.949127;0.75849915;
0.020141602;0.9666748;10.102661;0.8608551;
0.025177002;1.2451782;10.130035;0.834671;
0.030212402;1.3570557;10.037201;0.86680603;
0.035247803;1.4367981;9.943176;0.9120331;
0.040283203;1.4546509;9.847961;0.83229065;
0.045318604;1.4796448;9.756317;0.9584503;
0.050354004;1.4832153;9.759888;1.0167694;
0.055358887;1.4998779;9.681335;1.0822296;
0.0604248;1.4725037;9.686096;1.078659;
0.065460205;1.5117798;9.690857;1.1429291;
0.070495605;1.5724792;9.682526;1.1107941;
0.07550049;1.5355835;9.640869;1.1345978;
0.080566406;1.4736938;9.627777;1.1226959;
0.08560181;1.5165405;9.661102;1.0608063;
0.09063721;1.493927;9.661102;1.0774689;
0.09567261;1.4284668;9.64682;1.0274811;
0.10070801;1.3927612;9.693237;0.99772644;
0.10574341;1.3499146;9.718231;0.9429779;
0.1107788;1.3856201;9.688477;0.92988586;
0.1158142;1.3070679;9.663483;0.89656067;
0.1208496;1.3439636;9.665863;0.9334564;
0.12588501;1.3499146;9.699188;0.92155457;
0.13092041;1.333252;9.719421;0.93821716;
0.13595581;1.308258;9.77179;0.9941559;
0.14099121;1.308258;9.781311;0.97273254;
0.1460266;1.3094482;9.852722;1.0060577;
0.15106201;1.3261108;9.858673;0.99772644;
0.1560974;1.2677917;9.859863;1.0477142;
0.16113281;1.3189697;9.846771;1.0988922;
0.1661682;1.2915955;9.882477;1.1369781;
0.17120361;1.327301;9.883667;1.0679474;
0.1762085;1.2737427;9.864624;1.1274567;
0.18127441;1.2546997;9.863434;1.0941315;
0.1863098;1.2546997;9.847961;1.046524;
0.19134521;1.211853;9.793213;1.1024628;
0.1963501;1.2463684;9.813446;1.1000824;
0.20141602;1.243988;9.769409;1.0060577;
0.20645142;1.2666016;9.697998;1.0822296;
0.21148682;1.2427979;9.731323;1.071518;
0.21652222;1.2987366;9.657532;1.0965118;
0.2215576;1.3153992;9.640869;1.1500702;
0.22659302;1.2594604;9.552795;1.08461;
0.2316284;1.314209;9.574219;1.1750641;
0.23666382;1.3296814;9.574219;1.1107941;
0.2416992;1.365387;9.531372;1.1655426;
0.24673462;1.3284912;9.64444;1.1786346;
0.25177002;1.333252;9.717041;1.1536407;
0.25680542;1.3737183;9.822968;1.2083893;
0.26184082;1.3427734;9.867004;1.1822052;
0.26687622;1.3403931;9.911041;1.1453094;
0.27191162;1.3094482;9.914612;1.1560211;
0.2769165;1.4058533;9.955078;1.2024384;
0.28198242;1.3630066;9.9646;1.1405487;
0.28701782;1.3511047;10.037201;1.2083893;
0.2920532;1.4118042;10.070526;1.1786346;
0.2970886;1.3856201;9.983643;1.1322174;
0.30212402;1.3308716;10.070526;1.2405243;
0.30715942;1.3475342;10.002686;1.1048431;
0.3121948;1.2737427;9.977692;1.1560211;
0.3171997;1.2487488;9.936035;1.1750641;
0.32226563;1.2558899;9.922943;1.1964874;
0.32730103;1.2606506;9.908661;1.1798248;
0.3323364;1.2868347;9.911041;1.1833954;
0.33737183;1.2249451;9.9895935;1.2655182;
0.34240723;1.3118286;9.984833;1.2286224;
0.34744263;1.333252;9.936035;1.1536407;
0.352478;1.3403931;9.878906;1.0703278;
0.35751343;1.3487244;9.895569;1.014389;
0.36254883;1.3046875;9.824158;1.0738983;
0.3675842;1.2868347;9.745605;1.0750885;
0.3726196;1.211853;9.617065;0.98939514;
0.3776245;1.1713867;9.615875;0.98820496;
0.38269043;1.19281;9.539703;1.2012482;
0.3877258;1.198761;9.536133;1.2262421;
0.3927612;1.1892395;9.550415;1.296463;
0.39779663;1.1511536;9.553986;1.3047943;
0.40283203;1.1701965;9.521851;1.2905121;
0.4078674;1.2035217;9.596832;1.3012238;
0.41290283;1.1701965;9.599213;1.2179108;
0.4179077;1.211853;9.608734;1.2310028;
0.42297363;1.179718;9.669434;1.2286224;
0.428009;1.230896;9.64682;1.1952972;
0.43304443;1.179718;9.737274;1.0988922;
0.43807983;1.1999512;9.761078;1.097702;
0.4431152;1.2094727;9.807495;1.1238861;
0.4481506;1.2166138;9.833679;1.0584259;
0.45318604;1.2535095;9.908661;1.001297;
0.45822144;1.2677917;9.961029;1.0500946;
0.4632568;1.2487488;10.005066;0.9941559;
0.4682922;1.2618408;9.994354;0.9703522;
0.47332764;1.3237305;10.014587;0.95726013;
0.4783325;1.2785034;10.016968;1.0060577;
0.4833984;1.2856445;10.000305;1.0417633;
0.4884338;1.2701721;9.949127;1.0667572;
0.49346924;1.2642212;9.951508;1.0858002;
0.49850464;1.3153992;9.90509;1.0691376;
0.50354004;1.416565;9.83844;1.0869904;
0.5085754;1.4225159;9.852722;1.0798492;
0.51361084;1.4903564;9.831299;1.1512604;
0.51864624;1.5843811;9.749176;1.1191254;
0.52368164;1.5082092;9.794403;1.1845856;
0.52871704;1.564148;9.746796;1.2726593;
0.53375244;1.6058044;9.781311;1.2107697;
0.53878784;1.5546265;9.813446;1.2809906;
0.54382324;1.545105;9.875336;1.251236;
0.5488586;1.5665283;9.8741455;1.2583771;
0.553894;1.5748596;9.921753;1.1524506;
0.55892944;1.5700989;9.9646;1.2655182;
0.56396484;1.5986633;9.999115;1.2464752;
0.56900024;1.6141357;9.9039;1.2488556;
0.57403564;1.6319885;9.919373;1.2298126;
0.57904047;1.6236572;9.857483;1.1238861;
0.5841064;1.6200867;9.896759;1.1250763;
0.5891418;1.5427246;9.845581;1.0869904;
0.5941772;1.5820007;9.751556;1.0155792;
0.59921265;1.5534363;9.784882;1.1000824;
0.60424805;1.5367737;9.781311;1.0215302;
0.60928345;1.5153503;9.8098755;1.0643768;
0.61431885;1.5534363;9.746796;0.9929657;
0.61935425;1.4677429;9.638489;1.0762787;
0.6243896;1.4403687;9.557556;1.1119843;
0.629425;1.4570313;9.567078;1.0441437;
0.63446045;1.4177551;9.489716;1.0750885;
0.63949585;1.4177551;9.557556;1.1417389;
0.64453125;1.3939514;9.569458;1.0869904;
0.64956665;1.4225159;9.569458;1.1238861;
0.65460205;1.3999023;9.620636;1.1334076;
0.6596069;1.3606262;9.556366;1.0929413;
0.6646728;1.4201355;9.539703;1.1369781;
0.6697082;1.3903809;9.576599;1.1512604;
0.67474365;1.3844299;9.486145;1.1881561;
0.67974854;1.3689575;9.5159;1.2357635;
0.68481445;1.3999023;9.487335;1.2631378;
0.68984985;1.3439636;9.51947;1.3262177;
0.69488525;1.4177551;9.609924;1.2928925;
0.6999206;1.4260864;9.618256;1.3071747;
0.704956;1.4522705;9.659912;1.3512115;
0.7099914;1.4141846;9.720612;1.167923;
0.71502686;1.3451538;9.797974;1.1964874;
0.72006226;1.3225403;9.800354;1.181015;
0.72509766;1.2689819;9.847961;1.14888;
0.73013306;1.2677917;9.9039;1.1905365;
0.7351684;1.1690063;9.958649;1.1441193;
0.7402038;1.198761;10.011017;1.245285;
0.7452392;1.1487732;10.102661;1.2440948;
0.75027466;1.1571045;10.151459;1.4285736;
0.75531006;1.160675;10.197876;1.5118866;
0.7605836;1.1511536;10.240723;1.5190277;
0.765619;1.2059021;10.291901;1.546402;
0.77065444;1.2856445;10.282379;1.4464264;
0.77568984;1.2987366;10.295471;1.4547577;
0.7806947;1.3034973;10.184784;1.565445;
0.78576064;1.2201843;10.012207;1.6475677;
0.790796;1.2142334;9.870575;1.7035065;
0.7958314;1.2213745;9.845581;1.8427582;
0.80083627;1.179718;9.732513;1.7951508;
0.8059022;1.2023315;9.821777;1.8570404;
0.81093764;1.1809082;9.83725;1.828476;
0.81597304;1.1309204;9.876526;1.8118134;
0.82100844;1.0690308;9.928894;1.7094574;
0.82604384;1.0107117;10.005066;1.713028;
0.8310792;0.9523926;10.127655;1.707077;
0.8361146;0.86550903;10.155029;1.6523285;
0.84115;0.8167114;10.164551;1.565445;
0.84618545;0.85479736;10.249054;1.4535675;
0.85122085;0.8250427;10.28714;1.3464508;
0.85625625;0.92263794;10.319275;1.1917267;
0.86129165;0.9345398;10.3038025;1.1262665;
0.866327;0.95358276;10.232391;1.0619965;
0.8713624;0.9571533;10.1371765;0.9941559;
0.8763978;1.0249939;10.063385;1.1131744;
0.88140273;0.967865;9.975311;1.1322174;
0.88646865;0.95596313;9.914612;1.0667572;
0.89150405;0.92263794;9.852722;1.1976776;
0.89653945;0.8607483;9.888428;1.1774445;
0.9015443;0.88217163;9.9062805;1.2417145;
0.9066102;0.97262573;9.919373;1.264328;
0.9116456;0.98928833;9.889618;1.2798004;
0.916681;1.0571289;9.876526;1.2655182;
0.9217164;1.083313;9.934845;1.2262421;
0.92675185;1.1249695;9.991974;1.1798248;
0.93178725;1.147583;10.057434;1.181015;
0.93682265;1.2344666;10.130035;1.0643768;
0.941858;1.2749329;10.16098;1.0393829;
0.9468934;1.2558899;10.085999;0.92393494;
0.9519288;1.3880005;10.050293;1.0084381;
0.9569642;1.4439392;9.896759;1.0429535;
0.96199965;1.5629578;9.869385;1.1643524;
0.96703506;1.6486511;9.778931;1.1119843;
0.97207046;1.6236572;9.744415;1.1286469;
0.97710586;1.6653137;9.688477;1.1322174;
0.9821107;1.6950684;9.732513;1.0905609;
0.9871766;1.6486511;9.744415;1.0798492;
0.992212;1.7212524;9.787262;1.0239105;
0.9972474;1.802185;9.826538;0.8929901;
1.0022829;1.8355103;9.851532;0.92274475;
1.0073183;1.9450073;9.883667;0.7132721;
1.0123537;1.9723816;9.880096;0.61924744;
1.017389;1.9521484;9.844391;0.54545593;
1.0224245;2.0485535;9.764648;0.4811859;
1.0274599;2.0354614;9.563507;0.33836365;
1.0324953;2.0366516;9.314758;0.24552917;
1.0375305;2.0533142;9.0672;0.22053528;
1.0425661;2.1651917;8.732758;0.114608765;
1.0476015;2.1306763;8.350708;0.08842468;
1.0526369;2.1116333;8.076965;0.11817932;
1.0576723;2.1461487;7.7782288;0.17054749;
1.0627077;2.1175842;7.516388;0.23005676;
1.0677431;2.1723328;7.3473816;0.20387268;
1.0727783;2.2342224;7.2569275;0.061050415;
1.0778139;2.1854248;7.2117004;0.04319763;
1.0828186;2.2389832;7.195038;-0.013931274;
1.0878847;2.1759033;7.297394;-0.14842224;
1.0929201;2.1378174;7.491394;-0.16389465;
1.0979555;2.071167;7.650879;-0.30433655;
1.1029909;1.974762;7.9365234;-0.36384583;
1.1080263;1.9021606;8.353088;-0.36265564;
1.1130615;1.9164429;8.786316;-0.48286438;
1.118097;1.9497681;9.563507;-0.6721039;
1.1231323;1.9081116;9.928894;-0.7101898;
1.1281677;1.8926392;10.247864;-0.7673187;
1.1332031;1.8819275;10.381165;-0.91371155;
1.1382387;1.9200134;10.493042;-0.9196625;
1.1432434;1.8367004;10.554932;-0.98750305;
1.1483095;1.8057556;10.493042;-1.0303497;
1.1533449;1.679596;10.394257;-0.9982147;
1.1583803;1.5665283;10.214539;-1.0303497;
1.163385;1.5248718;10.056244;-0.8922882;
1.1684511;1.4498901;9.930084;-0.7280426;
1.1734865;1.3189697;9.742035;-0.71733093;
1.1785219;1.2546997;9.570648;-0.6114044;
1.1835268;1.2392273;9.396881;-0.39360046;
1.1885926;1.1618652;9.225494;-0.27339172;
1.193628;1.2106628;9.021973;-0.09843445;
1.1986634;1.2927856;8.87915;0.022964478;
1.2036684;1.243988;8.725616;0.17411804;
1.2087342;1.4272766;8.68634;0.17530823;
1.2137697;1.4915466;8.756561;0.13484192;
1.2188051;1.6355591;8.650635;0.084854126;
1.2238405;1.6950684;8.656586;0.0789032;
1.2288759;1.7022095;8.642303;0.09437561;
1.2339113;1.6665039;8.628021;0.24909973;
1.2389467;1.5700989;8.611359;0.21339417;
1.2439821;1.493927;8.610168;0.29551697;
1.2490175;1.4248962;8.550659;0.3169403;
1.2540529;1.4189453;8.569702;0.2669525;
1.2590883;1.3832397;8.599457;0.1693573;
1.2640932;1.4844055;8.576843;0.074142456;
1.269159;1.6034241;8.536377;-0.06867981;
1.2741944;1.6831665;8.5078125;-0.24601746;
1.2792298;1.8283691;8.445923;-0.30552673;
1.2842652;2.0092773;8.293579;-0.33885193;
1.2893007;2.2306519;8.263824;-0.30433655;
1.2943361;2.4651184;8.279297;-0.34480286;
1.2993715;2.7293396;8.368561;-0.24839783;
1.3044069;3.0292664;8.547089;-0.3578949;
1.3094116;3.289917;8.787506;-0.43049622;
1.3144777;3.636261;9.112427;-0.47810364;
1.3195131;3.9659424;9.653961;-0.4150238;
1.324518;4.27182;10.243103;-0.27815247;
1.3295839;4.52771;10.982208;-0.31385803;
1.3346193;4.753845;11.76297;-0.24006653;
1.3396546;5.137085;12.46994;-0.3424225;
1.34469;5.266815;12.990051;-0.5292816;
1.3497254;5.285858;13.182861;-0.9018097;
1.3547608;5.226349;13.095978;-1.2005463;
1.3597962;4.9740295;12.6901245;-1.5861664;
1.3648317;4.6407776;12.178345;-1.846817;
1.3698671;4.387268;11.621338;-2.0122528;
1.3749025;4.0754395;11.192871;-2.1015167;
1.3799379;3.8683472;10.681091;-2.0693817;
1.3849427;3.617218;10.409729;-2.0467682;
1.3900087;3.4708252;10.15979;-2.1562653;
1.3950441;3.3518066;10.052673;-2.3288422;
1.4000795;3.2101746;9.919373;-2.3490753;
1.4051149;3.24469;9.83606;-2.3490753;
1.4101503;3.314911;9.927704;-2.2241058;
1.4151856;3.430359;10.025299;-2.1265106;
1.420221;3.418457;10.063385;-2.0336761;
1.425226;3.5767517;10.114563;-1.8587189;
1.4302918;3.82312;10.251434;-1.9063263;
1.4353272;4.1135254;10.339508;-1.7563629;
1.4403626;4.3658447;10.2716675;-1.7099457;
1.4453981;4.641968;10.283569;-1.7039948;
1.4504335;4.8204956;9.96698;-1.6361542;
1.4554689;4.822876;9.665863;-1.500473;
1.4605043;4.7181396;9.39093;-1.3612213;
1.465509;4.6395874;9.185028;-1.2386322;
1.4705751;4.483673;8.832733;-1.16008;
1.4756105;4.3896484;8.691101;-0.9410858;
1.4806459;4.1647034;8.639923;-0.69114685;
1.4856508;4.219452;8.674438;-0.531662;
1.4907166;4.359894;8.929138;-0.5245209;
1.495752;4.392029;9.056488;-0.7518463;
1.5007874;4.5110474;9.346893;-0.9018097;
1.5058228;4.732422;9.559937;-1.1434174;
1.5108582;4.834778;9.663483;-1.4421539;
1.5158936;4.918091;9.565887;-1.5849762;
1.5209291;5.3465576;9.677765;-1.7028046;
1.5259645;5.6095886;9.508759;-1.7337494;
1.5309999;5.924988;9.427826;-1.6813812;
1.5360353;6.279663;9.225494;-1.6325836;
1.5410707;6.6676636;9.0660095;-1.532608;
1.5461061;7.0782776;8.762512;-1.5088043;
1.5511415;7.3984375;8.499481;-1.3778839;
1.5561769;7.6983643;8.42569;-1.3278961;
1.561194;7.8673706;8.461395;-1.4183502;
1.5662293;7.973297;8.228119;-1.5504608;
1.5712647;8.239899;8.062683;-1.551651;
1.5763003;8.993286;7.7972717;-1.596878;
1.5813357;10.008514;7.406891;-1.6468658;
1.5863404;11.19751;6.8332214;-1.320755;
1.5914065;12.036591;5.790619;-0.65782166;
1.5964419;12.121094;4.418335;-0.13294983;
1.6014771;11.65097;2.9127502;0.061050415;
1.6065125;10.783325;1.486908;-0.0032196045;
1.611548;9.822845;0.046783447;-0.15318298;
1.6165833;9.317017;-1.1898193;-0.5399933;
1.6216187;9.125397;-2.290741;-0.61854553;
1.6266541;9.1111145;-3.176239;-0.7601776;
1.6316895;9.324158;-3.8213196;-0.90538025;
1.636725;9.738342;-4.118866;-1.0589142;
1.6417603;10.17038;-3.9403381;-1.4766693;
1.6467957;10.690491;-3.297638;-1.8456268;
1.6518312;11.167755;-2.09198;-2.0943756;
1.6568667;11.716431;-0.49832153;-2.327652;
1.6619021;12.366272;1.3428955;-2.7489777;
1.6669375;12.968506;3.6530457;-3.866562;
1.6719729;13.604065;6.497589;-5.8077545;
1.6770082;14.247955;9.727753;-6.248123;
1.6820436;16.191528;13.499451;-3.629715;
1.6870486;18.080353;16.557037;-0.57569885;
1.6921144;18.083923;17.907898;3.349533;
1.6971498;17.043701;17.429443;2.490219;
1.7021852;17.42099;15.691772;2.040329;
1.7072206;19.47763;13.632751;3.4792633;
1.712256;22.835144;12.098602;6.266678;
1.7172914;26.320007;11.1440735;7.69014;
1.7223268;28.683716;10.554932;7.223587;
1.7273622;29.463287;10.708466;7.1569366;
1.7323977;28.638489;11.680847;7.5937347;
1.7374331;26.900818;12.869843;7.4175873;
1.7424685;24.684692;14.186188;6.7534637;
1.7475039;22.071045;15.603699;5.5144806;
1.7525392;19.60022;16.998596;4.0136566;
1.7575746;17.255554;18.17807;2.3438263;
1.76261;14.819244;18.868378;0.8465729;
1.767615;12.243683;19.130219;-0.30552673;
1.7726808;9.552673;18.766022;-1.0184479;
1.7777162;7.0568542;17.912659;-1.2231598;
1.7827516;4.988312;16.552277;-1.339798;
