unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.004211426;0.20614624;9.797974;1.3762054;
0.009246826;0.21923828;9.714661;1.3821564;
0.014282227;0.17520142;9.784882;1.3535919;
0.019287108;0.18591309;9.834869;1.366684;
0.024353027;0.12997437;9.849152;1.3488312;
0.029388428;0.1513977;9.8420105;1.2917023;
0.034423828;0.15734863;9.875336;1.2405243;
0.03945923;0.17044067;9.827728;1.2393341;
0.044494625;0.15377808;9.744415;1.1714935;
0.049530026;0.20614624;9.765839;1.1512604;
0.05456543;0.16567993;9.755127;1.1429291;
0.05960083;0.16210938;9.7908325;1.1000824;
0.06463623;0.19900513;9.795593;1.1500702;
0.06967163;0.1430664;9.800354;1.1929169;
0.07470703;0.24423218;9.833679;1.2107697;
0.07974243;0.13116455;9.794403;1.2417145;
0.08477783;0.20257568;9.799164;1.3512115;
0.08981323;0.0776062;9.793213;1.3762054;
0.09484863;0.12878418;9.765839;1.4333344;
0.099884026;0.14544678;9.77298;1.3892975;
0.104919426;0.18353271;9.742035;1.4142914;
0.10995483;0.16091919;9.782501;1.4059601;
0.11499023;0.17401123;9.805115;1.4035797;
0.12002563;0.159729;9.861053;1.4107208;
0.12506104;0.11331177;9.83725;1.3714447;
0.13009644;0.08950806;9.913422;1.4035797;
0.13513184;0.065704346;9.818207;1.3143158;
0.14016722;0.057373047;9.882477;1.3262177;
0.14520264;0.025238037;9.863434;1.3881073;
0.15023802;0.039520264;9.875336;1.4523773;
0.15527344;0.065704346;9.897949;1.4011993;
0.16027832;0.028808594;9.9253235;1.3631134;
0.16534424;-0.06640625;9.974121;1.379776;
0.17037962;-0.035461426;9.930084;1.3404999;
0.17541504;-0.019989014;9.90152;1.3274078;
0.18045042;0.005004883;9.887238;1.3595428;
0.18548584;0.058563232;9.805115;1.3571625;
0.19052124;0.0014343262;9.833679;1.3107452;
0.19555664;-0.0152282715;9.83963;1.1952972;
0.20059204;-0.10568237;9.90033;1.2298126;
0.2056397;-0.054504395;9.938416;1.2214813;
0.21067512;-0.11758423;10.013397;1.2750397;
0.2157105;-0.14257813;10.053864;1.2500458;
0.22071539;-0.1532898;10.056244;1.2476654;
0.2257813;-0.08782959;9.955078;1.2476654;
0.2308167;-0.099731445;9.875336;1.3619232;
0.2358521;0.005004883;9.889618;1.2750397;
0.24088751;-0.014038086;9.825348;1.3892975;
0.24592291;-0.010467529;9.825348;1.4000092;
0.25095832;0.038330078;9.808685;1.3571625;
0.2559937;0.07165527;9.795593;1.3071747;
0.26102912;0.065704346;9.797974;1.2726593;
0.2660645;0.1109314;9.832489;1.2179108;
0.27109993;0.10379028;9.805115;1.2036285;
0.27613533;0.106170654;9.757507;1.1238861;
0.28117073;0.106170654;9.742035;1.2048187;
0.2862061;0.09069824;9.737274;1.2571869;
0.29124153;0.07998657;9.727753;1.2905121;
0.29627693;0.07165527;9.70752;1.2202911;
0.3013123;0.03475952;9.752747;1.1441193;
0.3063477;0.04071045;9.783691;1.0691376;
0.31138313;0.058563232;9.831299;1.232193;
0.31641853;0.03237915;9.90152;1.251236;
0.32142338;0.063323975;9.930084;1.219101;
0.3264893;0.057373047;9.943176;1.1726837;
0.33152473;0.10140991;9.920563;1.1441193;
0.33656013;0.18591309;10.050293;1.0441437;
0.3415955;0.20257568;9.96579;1.2095795;
0.3466309;0.10021973;10.051483;1.1833954;
0.35166633;0.19543457;9.986023;1.2262421;
0.35670173;0.15258789;10.003876;1.1857758;
0.3617371;0.116882324;9.940796;1.2107697;
0.36677253;0.09902954;9.940796;1.2393341;
0.37180793;0.1109314;9.926514;1.1631622;
0.3768433;0.09664917;9.8420105;1.2429047;
0.38184822;0.09664917;9.857483;1.2036285;
0.38691413;0.159729;9.807495;1.2357635;
0.39194953;0.18234253;9.8741455;1.2619476;
0.3969849;0.23828125;9.828918;1.2119598;
0.40198982;0.28588867;9.814636;1.2762299;
0.40705574;0.22399902;9.828918;1.2869415;
