unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;1.7141113;9.997925;1.7439728;
0.0050354;1.6557922;9.955078;1.822525;
0.010070801;1.5224915;9.937225;1.9141693;
0.0151062;1.5296326;9.912231;1.8308563;
0.0201416;1.4475098;9.864624;1.8939362;
0.025177002;1.4582214;9.913422;1.7880096;
0.0302124;1.5939026;9.864624;1.8629913;
0.035247803;1.6188965;9.797974;1.9129791;
0.040283203;1.7343445;9.862244;2.0367584;
0.045318604;1.8414612;9.7908325;2.1153107;
0.050323486;1.8878784;9.756317;2.1843414;
0.0553894;1.891449;9.70871;2.2307587;
0.0604248;1.923584;9.697998;2.2831268;
0.065460205;1.904541;9.621826;2.329544;
0.07046509;1.974762;9.555176;2.2295685;
0.075531006;1.9164429;9.593262;2.149826;
0.080566406;2.0092773;9.620636;2.206955;
0.08560181;1.9807129;9.555176;2.1153107;
0.09063721;1.9795227;9.559937;2.0355682;
0.09567261;2.0437927;9.5278015;2.0319977;
0.10070801;1.9473877;9.58017;2.014145;
0.10574341;1.904541;9.571838;2.014145;
0.1107788;1.8474121;9.58374;2.04628;
0.1158142;1.7819519;9.530182;2.0177155;
0.1208496;1.7212524;9.548035;2.0058136;
0.12588501;1.6593628;9.561127;2.0331879;
0.13092041;1.6260376;9.620636;2.021286;
0.13595581;1.622467;9.612305;2.0569916;
0.14099121;1.64151;9.58017;2.053421;
0.1460266;1.5986633;9.58374;2.1069794;
0.15103148;1.6129456;9.51828;2.149826;
0.1560974;1.5736694;9.570648;2.1724396;
0.16113281;1.6296082;9.58255;2.2498016;
0.1661682;1.6319885;9.601593;2.2319489;
0.17120361;1.6653137;9.505188;2.2664642;
0.176239;1.6557922;9.420685;2.2212372;
0.18127441;1.6819763;9.427826;2.2700348;
0.1863098;1.6748352;9.417114;2.201004;
0.19134521;1.6629333;9.367126;2.2926483;
0.1963806;1.6260376;9.381409;2.2081451;
0.20141602;1.6248474;9.356415;2.252182;
0.20645142;1.7045898;9.343323;2.2355194;
0.21148682;1.5974731;9.357605;2.2486115;
0.21652222;1.6748352;9.312378;2.2664642;
0.2215576;1.6665039;9.32309;2.2855072;
0.22659302;1.7212524;9.219543;2.297409;
0.2315979;1.7867126;9.218353;2.3592987;
0.23666382;1.7771912;9.179077;2.3521576;
0.2416992;1.7260132;9.239777;2.3961945;
0.24673462;1.756958;9.279053;2.4140472;
0.2517395;1.7712402;9.398071;2.3795319;
0.25680542;1.6724548;9.509949;2.450943;
0.26184082;1.7593384;9.609924;2.4676056;
0.26687622;1.7402954;9.71228;2.2486115;
0.27191162;1.7212524;9.705139;2.341446;
0.276947;1.7831421;9.631348;2.2628937;
0.28198242;1.7629089;9.569458;2.3045502;
0.28701782;1.77005;9.52066;2.2164764;
0.2920532;1.7712402;9.508759;2.245041;
0.2970886;1.7986145;9.45639;2.23909;
0.30212402;1.7283936;9.45639;2.161728;
0.30715942;1.6593628;9.4313965;2.2509918;
0.3121948;1.628418;9.473053;2.2617035;
0.3172302;1.5570068;9.590881;2.278366;
0.32226563;1.5403442;9.631348;2.2688446;
0.32730103;1.4213257;9.753937;2.3247833;
0.3323059;1.4558411;9.784882;2.3450165;
0.33737183;1.4201355;9.859863;2.341446;
0.34240723;1.4689331;9.909851;2.3152618;
0.34744263;1.5879517;9.875336;2.3509674;
0.3524475;1.6272278;9.8741455;2.386673;
0.35751343;1.6343689;9.871765;2.2985992;
0.36254883;1.7153015;9.817017;2.278366;
0.3675842;1.692688;9.764648;2.2736053;
0.3726196;1.7676697;9.728943;2.3366852;
0.37765503;1.7914734;9.718231;2.2855072;
0.38269043;1.7867126;9.690857;2.2426605;
0.3877258;1.9033508;9.632538;2.360489;
0.3927612;1.8735962;9.651581;2.3307343;
0.39779663;1.8367004;9.656342;2.3116913;
0.40283203;1.77005;9.607544;2.284317;
0.4078674;1.840271;9.6111145;2.3152618;
0.41290283;1.8355103;9.743225;2.3343048;
0.41793823;1.8628845;9.753937;2.36763;
0.42297363;1.9247742;9.70871;2.297409;
0.428009;1.936676;9.786072;2.2855072;
0.43304443;2.006897;9.806305;2.2819366;
0.43807983;2.0414124;9.767029;2.2533722;
0.4431152;2.0283203;9.687286;2.1855316;
0.4481506;2.135437;9.625397;2.277176;
0.45315552;2.1878052;9.505188;2.2224274;
0.45822144;2.2199402;9.45163;2.2367096;
0.4632568;2.1747131;9.376648;2.2212372;
0.4682922;2.1818542;9.309998;2.2224274;
0.47332764;2.231842;9.340942;2.1867218;
0.47836304;2.2151794;9.339752;2.2295685;
0.4833984;2.2366028;9.295715;2.2736053;
0.4884338;2.1449585;9.288574;2.220047;
0.49343872;2.0997314;9.356415;2.278366;
0.49850464;2.0568848;9.358795;2.1700592;
0.50354004;2.0616455;9.400452;2.265274;
0.5085754;2.0283203;9.382599;2.233139;
0.51361084;1.9473877;9.4313965;2.2569427;
0.51864624;1.8890686;9.429016;2.214096;
0.52368164;1.8843079;9.381409;2.2700348;
0.52871704;1.8616943;9.464722;2.309311;
0.53375244;1.8890686;9.418304;2.2664642;
0.53878784;1.917633;9.457581;2.2795563;
0.54382324;1.8843079;9.408783;2.341446;
0.5488586;1.923584;9.444489;2.3438263;
0.5538635;1.9033508;9.433777;2.3200226;
0.55892944;1.9378662;9.58374;2.3081207;
0.56396484;1.9140625;9.609924;2.310501;
0.56900024;1.9664307;9.658722;2.2997894;
0.57403564;1.9057312;9.668243;2.297409;
0.57907104;1.9033508;9.631348;2.2498016;
0.5841064;1.9009705;9.630157;2.214096;
0.5891418;1.9342957;9.548035;2.2057648;
0.5941772;1.8783569;9.502808;2.1545868;
0.59921265;1.8676453;9.444489;2.225998;
0.60424805;1.8902588;9.419495;2.2021942;
0.60928345;1.8355103;9.346893;2.1391144;
0.61431885;1.8795471;9.321899;2.1605377;
0.61935425;1.8188477;9.357605;2.1641083;
0.6243896;1.8605042;9.254059;2.212906;
0.629425;1.8735962;9.289764;2.2736053;
0.63446045;1.8259888;9.355225;2.3009796;
0.63949585;1.9021606;9.352844;2.2962189;
0.64453125;1.9009705;9.379028;2.3438263;
0.64956665;1.917633;9.377838;2.258133;
0.6545715;1.9354858;9.238586;2.258133;
0.6596374;1.9450073;9.114807;2.2640839;
0.6646728;1.917633;8.986267;2.2938385;
0.6697082;1.8640747;8.825592;2.3473969;
0.67474365;1.8843079;8.756561;2.3247833;
0.67977905;1.8807373;8.642303;2.3497772;
0.68481445;1.8343201;8.656586;2.4021454;
0.68984985;1.7914734;8.707764;2.4283295;
0.69488525;1.8438416;8.819641;2.4354706;
0.6999206;1.808136;8.962463;2.4438019;
0.704956;1.8664551;9.13266;2.3652496;
0.7099914;1.7831421;9.268341;2.4140472;
0.71502686;1.6676941;9.4123535;2.4140472;
0.72006226;1.6058044;9.615875;2.392624;
0.72509766;1.4879761;9.70752;2.361679;
0.73013306;1.4201355;9.705139;2.4319;
0.7351684;1.4010925;9.788452;2.3331146;
0.7402038;1.3487244;9.8741455;2.329544;
0.7452392;1.3225403;9.913422;2.2688446;
0.75027466;1.249939;10.034821;2.245041;
0.7556642;1.2285156;10.164551;2.1403046;
0.76073015;1.3177795;10.164551;2.1391144;
0.76576555;1.3427734;10.143127;2.085556;
0.77080095;1.3689575;10.018158;2.193863;
0.77583635;1.4784546;9.855103;2.2224274;
0.78087175;1.416565;9.738464;2.2533722;
0.78590715;1.4308472;9.5468445;2.2914581;
0.79094255;1.5355835;9.502808;2.4854584;
0.79597795;1.564148;9.446869;2.444992;
0.80101335;1.6676941;9.419495;2.5878143;
0.80604875;1.7414856;9.434967;2.6163788;
0.81108415;1.7319641;9.483765;2.5437775;
0.81611955;1.7498169;9.52066;2.604477;
0.821155;1.7224426;9.542084;2.6259003;
0.82619035;1.628418;9.621826;2.5187836;
0.83122575;1.5915222;9.58493;2.5164032;
0.83626115;1.6034241;9.58017;2.4390411;
0.84129655;1.6129456;9.627777;2.3247833;
0.84633195;1.6188965;9.587311;2.3307343;
0.85136735;1.6438904;9.593262;2.2402802;
0.85637224;1.6510315;9.632538;2.1593475;
0.86143816;1.64151;9.606354;2.0653229;
0.86647356;1.6462708;9.5789795;2.0760345;
0.87150896;1.6748352;9.595642;2.0093842;
0.87651384;1.7748108;9.653961;2.0379486;
0.88157976;1.8128967;9.674194;2.0510406;
0.88661516;1.7867126;9.680145;2.0653229;
0.89165056;1.8831177;9.802734;2.1188812;
0.89665544;1.8700256;9.871765;2.0189056;
0.90172136;1.859314;9.808685;2.1260223;
0.90675676;1.7557678;9.855103;2.1605377;
0.91179216;1.6724548;9.807495;2.1807709;
0.91682756;1.622467;9.77655;2.2176666;
0.92186296;1.5379639;9.747986;2.2819366;
0.92689836;1.5201111;9.77179;2.2474213;
0.93193376;1.4558411;9.765839;2.2831268;
0.93696916;1.5367737;9.744415;2.23909;
0.94200456;1.474884;9.605164;2.1260223;
0.94703996;1.5058289;9.395691;2.0105743;
0.95207536;1.5748596;9.32666;1.9641571;
0.95708025;1.5058289;9.073151;1.8796539;
0.96214616;1.5236816;8.927948;1.7570648;
0.96718156;1.5320129;8.772034;1.66185;
0.9722169;1.5046387;8.641113;1.5832977;
0.97725236;1.4832153;8.528046;1.591629;
0.98228776;1.4867859;8.409027;1.59758;
0.98732316;1.4284668;8.419739;1.5487823;
0.99235857;1.3868103;8.312622;1.5797272;
0.99739397;1.3284912;8.205505;1.5237885;
1.0024294;1.211853;8.162659;1.6499481;
1.0074648;1.1844788;8.038879;1.6071014;
1.0125002;1.083313;7.906769;1.6570892;
1.0175356;1.0571289;7.8091736;1.5999603;
1.022571;0.89645386;7.7044373;1.6059113;
1.0276064;0.884552;7.6746826;1.6035309;
1.0326418;0.83099365;7.677063;1.5154572;
1.0376772;0.7524414;7.7496643;1.4297638;
1.0427126;0.6477051;7.971039;1.347641;
1.047748;0.65960693;8.195984;1.3274078;
1.0527834;0.63223267;8.48996;1.1774445;
1.0577883;0.60009766;8.825592;1.0941315;
1.0628542;0.55963135;9.206451;0.982254;
1.0678896;0.5048828;9.671814;0.78230286;
1.072925;0.54415894;10.268097;0.673996;
1.0779604;0.6524658;10.851288;0.4585724;
1.0829958;0.6477051;11.454712;0.24790955;
1.0880312;0.6477051;12.092651;-0.093673706;
1.0930666;0.6477051;12.677032;-0.26863098;
1.0980713;0.6298523;13.180481;-0.45906067;
1.1031374;0.53463745;13.535156;-0.5495148;
1.1081728;0.5203552;13.726776;-0.51737976;
1.1132082;0.36325073;13.789856;-0.4471588;
1.1182436;0.2846985;13.739868;-0.35075378;
1.123279;0.3739624;13.467316;-0.21269226;
1.1283144;0.38705444;13.223328;-0.021072388;
1.1333498;0.47631836;12.899597;0.16340637;
1.1383852;0.7929077;12.192627;0.59425354;
1.1434205;0.86550903;11.856995;0.71803284;
1.148456;1.0309448;11.539215;0.7692108;
1.1534914;1.1321106;11.191681;0.96321106;
1.1584963;1.2546997;10.850098;1.02034;
1.1635622;1.2785034;10.391876;1.1584015;
1.1685976;1.2070923;9.939606;1.2583771;
1.173633;1.2166138;9.469482;1.3047943;
1.1786379;1.1749573;8.935089;1.444046;
1.1837038;1.0345154;8.550659;1.4809418;
1.1887392;0.88931274;8.111481;1.4428558;
1.1937746;0.7702942;7.799652;1.4726105;
1.19881;0.70721436;7.4425964;1.5999603;
1.2038454;0.55963135;7.177185;1.4642792;
1.2088808;0.44180298;6.9629517;1.4488068;
