unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
8.2397397E-4;0.249467;-0.911964;0.325712;
0.005859375;0.045793;-0.957634;0.284325;
0.010894774;-0.105464;-0.967977;0.227812;
0.015991211;-0.221226;-0.959204;0.176028;
0.020965576;-0.283375;-0.950341;0.128648;
0.026000975;-0.325931;-0.941471;0.086029;
0.031036375;-0.349592;-0.933826;0.075859;
0.036132813;-0.369469;-0.926905;0.065880;
0.041107174;-0.377014;-0.924330;0.058943;
0.046173096;-0.375486;-0.924776;0.061636;
0.051147457;-0.371403;-0.926621;0.058585;
0.056274414;-0.359240;-0.930587;0.070386;
0.06124878;-0.347111;-0.934848;0.074655;
0.06628418;-0.335971;-0.937287;0.092826;
0.07128906;-0.330279;-0.936414;0.118508;
0.076416016;-0.339522;-0.927762;0.154863;
0.08139038;-0.359087;-0.912475;0.196075;
0.08642578;-0.407572;-0.880482;0.242149;
0.09146118;-0.487638;-0.824731;0.286404;
0.09655761;-0.623573;-0.709476;0.328329;
0.10153198;-0.063065;-0.036652;0.026291;
0.10656738;-0.065201;-0.001404;0.018814;
0.11160278;-0.065201;0.029572;0.009201;
0.11669921;-0.068405;0.059479;0.001724;
0.121673584;-0.645914;0.761534;-0.053483;
0.12670898;-0.569397;0.817455;-0.086910;
0.13174438;-0.529322;0.839591;-0.122086;
0.1368408;-0.498494;0.857764;-0.125477;
0.14181519;-0.504932;0.851997;-0.138364;
0.1468811;-0.514014;0.845650;-0.143755;
0.15185547;-0.534873;0.831721;-0.148833;
0.1569824;-0.544176;0.823612;-0.159798;
0.16195677;-0.559939;0.809278;-0.177586;
0.16699219;-0.588944;0.780008;-0.211500;
0.17202757;-0.583019;0.774352;-0.245901;
0.17712401;-0.602651;0.741199;-0.295695;
0.18209837;-0.622916;0.718195;-0.310117;
0.18713379;-0.655666;0.673028;-0.342251;
0.19216917;-0.065201;0.056274;-0.031387;
0.19726563;-0.065201;0.040253;-0.026047;
0.20223998;-0.069473;0.025299;-0.019638;
0.20727539;-0.074814;0.008209;-0.010025;
0.21231078;-0.080154;-0.007812;-0.000412;
0.21740723;-0.084427;-0.025970;0.000656;
0.22238159;-0.090836;-0.039856;0.003860;
0.22741699;-0.877182;-0.476814;0.056578;
0.23242186;-0.842401;-0.538819;0.005878;
0.23754883;-0.821746;-0.569409;-0.022523;
0.2425232;-0.823610;-0.564753;-0.052159;
0.2475891;-0.814130;-0.572782;-0.095464;
0.25256348;-0.075882;-0.049469;-0.011093;
0.25769043;-0.058792;-0.013153;-0.003616;
0.2626648;-0.049179;0.007141;0.002792;
0.2677002;-0.043839;0.022095;0.008133;
0.27273557;-0.042770;0.032776;0.011337;
0.27783203;-0.043839;0.039185;0.017746;
0.2828064;-0.044907;0.041321;0.022018;
0.2878418;-0.041702;0.043457;0.019882;
0.29287717;-0.041702;0.041321;0.019882;
