unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.2397397E-4;15.696106;-79.213356;9.187662;
0.005859375;15.747406;-79.23114;9.216129;
0.010894774;15.807861;-79.23799;9.241806;
0.015991211;15.873993;-79.23727;9.266589;
0.020965576;15.947449;-79.229195;9.289221;
0.026000975;16.031677;-79.21661;9.311623;
0.031036375;16.123016;-79.19822;9.336058;
0.036132813;16.22528;-79.17436;9.362891;
0.041107174;16.329407;-79.146454;9.391301;
0.046173096;16.440826;-79.11545;9.422582;
0.051147457;16.552277;-79.08406;9.4545;
0.056274414;16.666473;-79.0528;9.487716;
0.06124878;16.7695;-79.02467;9.520006;
0.06628418;16.869507;-78.998825;9.551748;
0.07128906;16.95523;-78.97697;9.583268;
0.076416016;17.030853;-78.95785;9.61353;
0.08139038;17.085297;-78.94012;9.641986;
0.08642578;17.12918;-78.92356;9.668015;
0.09146118;17.158905;-78.90767;9.690602;
0.09655761;17.174622;-78.89106;9.710034;
0.10153198;17.178986;-78.874054;9.723973;
0.10656738;17.177612;-78.85505;9.733545;
0.11160278;17.169159;-78.83395;9.738276;
0.11669921;17.153717;-78.81094;9.73835;
0.121673584;17.131348;-78.786865;9.734317;
0.12670898;17.106506;-78.76065;9.726549;
0.13174438;17.077454;-78.73293;9.715638;
0.1368408;17.04419;-78.70311;9.702497;
0.14181519;17.006592;-78.672485;9.688578;
0.1468811;16.970764;-78.63967;9.673196;
0.15185547;16.935425;-78.606064;9.658038;
0.1569824;16.901276;-78.57116;9.641851;
0.16195677;16.868286;-78.53759;9.626761;
0.16699219;16.839233;-78.50508;9.611534;
0.17202757;16.812256;-78.473885;9.596626;
0.17712401;16.787903;-78.44496;9.581493;
0.18209837;16.766968;-78.41822;9.567512;
0.18713379;16.748596;-78.393295;9.554106;
0.19216917;16.73404;-78.36826;9.541574;
0.19726563;16.72342;-78.344604;9.530593;
0.20223998;16.717834;-78.3211;9.522434;
0.20727539;16.713318;-78.29681;9.51815;
0.21231078;16.716125;-78.27161;9.516523;
0.21740723;16.721344;-78.245285;9.518207;
0.22238159;16.731476;-78.218605;9.521293;
0.22741699;16.743042;-78.19069;9.526549;
0.23242186;16.756134;-78.16242;9.532525;
0.23754883;16.771942;-78.13397;9.537764;
0.2425232;16.789795;-78.106544;9.541485;
0.2475891;16.806915;-78.07965;9.544287;
0.25256348;16.821716;-78.05564;9.545909;
0.25769043;16.83371;-78.03333;9.545915;
0.2626648;16.835052;-78.01406;9.546841;
0.2677002;16.830017;-77.99817;9.548102;
0.27273557;16.822296;-77.981674;9.549601;
0.27783203;16.809052;-77.96517;9.552674;
0.2828064;16.795074;-77.947975;9.556818;
0.2878418;16.779388;-77.93155;9.561334;
0.29287717;16.763885;-77.91532;9.565559;
0.29797363;16.74762;-77.899124;9.569908;
0.302948;16.733154;-77.884674;9.572836;
0.30798337;16.72049;-77.87028;9.574799;
0.31301877;16.707092;-77.85682;9.576646;
0.31811523;16.69458;-77.84385;9.57876;
0.3230896;16.682587;-77.831894;9.582834;
0.32812497;16.675995;-77.82021;9.588109;
0.33312988;16.669952;-77.80943;9.595403;
0.33825684;16.66629;-77.799995;9.603908;
0.3432312;16.663727;-77.79324;9.61377;
0.34829712;16.661652;-77.78889;9.626197;
0.35327148;16.662445;-77.7865;9.639308;
0.3583984;16.666046;-77.78683;9.652769;
0.3633728;16.670044;-77.78933;9.666037;
0.36840817;16.678925;-77.79349;9.679129;
0.3734436;16.690063;-77.79778;9.693147;
0.37854;16.70398;-77.80372;9.707703;
0.38351437;16.719818;-77.810616;9.722263;
0.38854977;16.73706;-77.81722;9.738459;
0.3935852;16.757385;-77.82484;9.754963;
0.3986816;16.78061;-77.83287;9.771935;
0.40365598;16.805603;-77.84134;9.788844;
0.40869138;16.830414;-77.850204;9.808108;
0.4137268;16.856354;-77.8592;9.828709;
0.4188232;16.882233;-77.86834;9.851476;
0.42379758;16.903809;-77.87803;9.876172;
0.428833;16.926422;-77.88839;9.902449;
0.4338684;16.947357;-77.89929;9.930268;
0.4389648;16.96762;-77.911354;9.959261;
0.44393918;16.985321;-77.92381;9.987387;
0.4490051;17.001617;-77.93554;10.016651;
0.45397946;17.014038;-77.94752;10.04585;
0.45910642;17.024872;-77.959885;10.075505;
0.46408078;17.032318;-77.97162;10.10318;
0.4691162;17.03894;-77.982445;10.130422;
0.4741516;17.040436;-77.99302;10.157276;
0.47924802;17.03894;-78.0023;10.183005;
0.48422238;17.031128;-78.00958;10.207263;
0.4892578;17.022522;-78.01648;10.230053;
0.49426267;17.011658;-78.02211;10.251067;
0.49938962;16.997375;-78.02844;10.270992;
0.504364;16.979645;-78.03378;10.289398;
0.5093994;16.96109;-78.040016;10.306752;
0.5144348;16.94223;-78.04633;10.322752;
0.51953125;16.922577;-78.05309;10.3385935;
0.52450556;16.900024;-78.05924;10.353965;
0.529541;16.878662;-78.06542;10.369077;
0.5345764;16.855682;-78.07198;10.384749;
0.5396728;16.831787;-78.078415;10.400742;
