unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;1.8652649;9.783691;0.7870636;
0.005004882;1.7724304;9.718231;0.8513336;
0.0100708;1.7855225;9.668243;0.9441681;
0.0151062;1.8224182;9.686096;0.969162;
0.0201416;1.8247986;9.665863;1.0584259;
0.025146483;1.9438171;9.699188;1.1476898;
0.0302124;1.9771423;9.683716;1.161972;
0.0352478;2.0485535;9.671814;1.2524261;
0.040283203;2.1140137;9.715851;1.2238617;
0.045288086;2.0830688;9.688477;1.2476654;
0.050354004;2.1199646;9.674194;1.3047943;
0.0553894;2.1699524;9.70752;1.200058;
0.060394287;2.0937805;9.659912;1.181015;
0.065460205;2.1056824;9.655151;1.0929413;
0.070495605;2.0616455;9.696808;1.1060333;
0.075531006;1.9259644;9.701569;0.9905853;
0.080566406;1.9057312;9.731323;1.0405731;
0.08560181;1.8557434;9.806305;0.97154236;
0.09063721;1.8224182;9.845581;0.99772644;
0.09567261;1.776001;9.83844;1.0381927;
0.10070801;1.6891174;9.9062805;1.1084137;
0.10571288;1.7605286;9.883667;1.1405487;
0.1107788;1.6938782;9.861053;1.1714935;
0.1158142;1.7867126;9.887238;1.2524261;
0.1208496;1.7736206;9.813446;1.1976776;
0.12588501;1.8247986;9.819397;1.2476654;
0.13092041;1.8200378;9.71347;1.2607574;
0.13595581;1.859314;9.681335;1.315506;
0.14099121;1.8688354;9.663483;1.2440948;
0.1460266;1.8771667;9.5789795;1.2690887;
0.15106201;1.8426514;9.637299;1.264328;
0.1560974;1.8581238;9.593262;1.2083893;
0.16113281;1.8093262;9.577789;1.264328;
0.1661682;1.802185;9.540894;1.1893463;
0.17120361;1.7617188;9.576599;1.1714935;
0.176239;1.8045654;9.562317;1.2417145;
0.18127441;1.8069458;9.588501;1.2607574;
0.1863098;1.7640991;9.671814;1.2429047;
0.19134521;1.7712402;9.728943;1.264328;
0.1963806;1.789093;9.90033;1.3012238;
0.20141602;1.8033752;9.926514;1.194107;
0.20642088;1.9081116;9.96936;1.2262421;
0.21148682;1.9212036;9.975311;1.1774445;
0.2165222;1.8521729;9.90271;1.2143402;
0.2215576;1.8878784;9.859863;1.2262421;
0.22659302;1.9057312;9.781311;1.1655426;
0.2316284;1.9164429;9.739655;1.2155304;
0.23666382;1.9438171;9.715851;1.2714691;
0.2416992;1.9652405;9.663483;1.3083649;
0.24673462;1.9842834;9.722992;1.283371;
0.25177002;1.9914246;9.739655;1.2286224;
0.25680542;1.9307251;9.787262;1.1453094;
0.26184082;1.9819031;9.808685;1.1286469;
0.26687622;1.8688354;9.813446;1.0953217;
0.27191162;1.8652649;9.765839;1.0834198;
0.276947;1.8117065;9.734894;1.1238861;
0.28198242;1.8414612;9.77417;1.1286469;
0.28698727;1.756958;9.750366;1.1476898;
0.2920532;1.77005;9.739655;1.186966;
0.2970886;1.7533875;9.743225;1.264328;
0.30212402;1.8200378;9.700378;1.3428802;
0.30712888;1.8343201;9.761078;1.2786102;
0.3121948;1.9081116;9.680145;1.309555;
0.3172302;1.917633;9.717041;1.2655182;
0.32226563;1.987854;9.6432495;1.2917023;
0.32730103;1.9700012;9.631348;1.1345978;
0.3323364;2.0104675;9.577789;1.2476654;
0.33737183;2.0414124;9.521851;1.1917267;
0.34240723;1.9616699;9.4552;1.1286469;
0.34744263;1.9592896;9.38855;1.2083893;
0.352478;1.9676208;9.438538;1.1726837;
0.35751343;1.9592896;9.482574;1.1441193;
0.36254883;1.9140625;9.511139;1.1429291;
0.3675842;1.9592896;9.458771;1.2286224;
0.3726196;1.9604797;9.530182;1.1393585;
0.37765503;1.9414368;9.5278015;1.1310272;
0.38269043;2.0021362;9.429016;1.1988678;
0.3877258;1.9938049;9.532562;1.2274323;
0.3927612;2.0318909;9.51709;1.1726837;
0.39779663;2.0830688;9.621826;1.1524506;
0.40283203;2.0949707;9.627777;1.1369781;
0.4078369;2.1068726;9.734894;1.0631866;
0.41290283;2.1901855;9.752747;1.1798248;
0.41793823;2.141388;9.818207;1.1988678;
0.42297363;2.167572;9.865814;1.08461;
0.428009;2.1818542;9.934845;1.1345978;
0.43304443;2.1640015;9.920563;1.0822296;
0.43807983;2.1378174;9.920563;1.161972;
0.4431152;2.1723328;9.936035;1.0917511;
0.4481506;2.199707;9.961029;1.1072235;
0.45318604;2.0925903;9.817017;1.1262665;
0.45822144;2.084259;9.781311;1.2179108;
0.4632568;2.1056824;9.77536;1.251236;
0.4682922;2.058075;9.7099;1.1845856;
