unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.5449195E-4;19.588165;-85.375175;10.360378;
0.005828857;19.64682;-85.36635;10.366274;
0.01095581;19.707275;-85.353806;10.369393;
0.015930174;19.760223;-85.33966;10.372038;
0.020965576;19.816193;-85.32319;10.37583;
0.025970459;19.866882;-85.30559;10.382614;
0.03109741;19.914703;-85.28772;10.392125;
0.036071774;19.95047;-85.27043;10.40393;
0.041107174;19.980316;-85.25523;10.417253;
0.04611206;20.001068;-85.2419;10.430202;
0.05123901;20.010223;-85.229935;10.443109;
0.056243893;20.00113;-85.221275;10.454651;
0.061218258;19.988403;-85.21424;10.463774;
0.06628418;19.965302;-85.20867;10.471454;
0.071380615;19.93631;-85.202896;10.476643;
0.07635497;19.90213;-85.196945;10.478858;
0.08139038;19.869629;-85.18858;10.479496;
0.08642578;19.83722;-85.17904;10.478061;
0.09152222;19.806091;-85.16724;10.474982;
0.09649658;19.775879;-85.15343;10.471211;
0.10156249;19.753845;-85.137314;10.466601;
0.10653686;19.73294;-85.12011;10.462819;
0.11166381;19.715973;-85.10139;10.458254;
0.11663818;19.697662;-85.08221;10.454556;
0.121673584;19.685242;-85.0635;10.450662;
0.12670898;19.674683;-85.044586;10.447329;
0.13180542;19.667023;-85.02576;10.444378;
0.13677979;19.658997;-85.00758;10.44232;
0.14181519;19.655212;-84.99138;10.440757;
0.14685059;19.653778;-84.97615;10.440116;
0.15194702;19.656647;-84.96163;10.440235;
0.15692139;19.65863;-84.94833;10.441797;
0.16195677;19.668427;-84.9352;10.44441;
0.16699219;19.68039;-84.92377;10.448512;
0.17208862;19.696564;-84.91282;10.454183;
0.17706299;19.710114;-84.90127;10.461967;
0.18209837;19.729065;-84.88913;10.471171;
0.18713379;19.750732;-84.877;10.481306;
0.19223022;19.772125;-84.864174;10.493172;
0.19720459;19.787811;-84.85098;10.506685;
0.20227051;19.80429;-84.838806;10.522854;
0.20724487;19.816315;-84.82687;10.540372;
0.21237181;19.826324;-84.81567;10.557588;
0.21734619;19.833588;-84.80498;10.572332;
0.22238158;19.844757;-84.795135;10.586623;
0.22741699;19.855103;-84.787315;10.601115;
0.23251341;19.864807;-84.779724;10.615532;
0.23748778;19.86737;-84.77267;10.629007;
0.2425232;19.872223;-84.76655;10.642204;
0.24755858;19.872192;-84.76208;10.655065;
0.25265503;19.86856;-84.759766;10.66782;
0.2576294;19.860168;-84.75873;10.679409;
0.2626648;19.855988;-84.757545;10.692069;
0.2677002;19.856842;-84.756096;10.704732;
0.27279663;19.859741;-84.75373;10.719035;
0.277771;19.861633;-84.75013;10.734222;
0.2828064;19.86969;-84.74606;10.751645;
0.28781125;19.881744;-84.74174;10.769824;
0.29293823;19.894318;-84.73767;10.790179;
0.2979126;19.902008;-84.73385;10.811167;
0.30297852;19.912903;-84.730286;10.834205;
0.30795288;19.922058;-84.728714;10.85749;
0.31307983;19.927612;-84.72766;10.882947;
0.3180542;19.926025;-84.72783;10.908;
0.3230896;19.927826;-84.7288;10.933951;
0.32812497;19.929077;-84.732124;10.959155;
0.33322144;19.931427;-84.73493;10.9844055;
0.3381958;19.928497;-84.73814;11.009157;
0.3432312;19.934631;-84.74172;11.033091;
0.34826657;19.943207;-84.74388;11.056461;
0.35336304;19.95279;-84.7461;11.080003;
0.3583374;19.95819;-84.74795;11.103212;
0.3633728;19.971954;-84.74983;11.126294;
0.36840817;19.985962;-84.75147;11.150232;
0.37350464;20.000458;-84.754875;11.174847;
0.378479;20.010956;-84.75894;11.198578;
0.38351437;20.02478;-84.76308;11.223737;
0.38854977;20.039154;-84.76812;11.249442;
0.39364624;20.05133;-84.77504;11.276365;
0.3986206;20.05658;-84.78267;11.303628;
0.40371704;20.065796;-84.79082;11.332273;
0.4086609;20.072876;-84.79946;11.360157;
0.41378784;20.07779;-84.80756;11.389263;
0.4187622;20.078247;-84.81516;11.415774;
0.42379758;20.082367;-84.82366;11.441148;
0.42883298;20.087067;-84.83172;11.464622;
0.4339294;20.092316;-84.84079;11.485719;
0.4389038;20.094208;-84.84938;11.504277;
0.44393918;20.100647;-84.85904;11.521815;
0.4490051;20.106995;-84.868866;11.537638;
0.45407102;20.115997;-84.87847;11.551286;
0.45904538;20.119629;-84.8871;11.563522;
0.46408078;20.128601;-84.8955;11.575462;
0.4691162;20.137451;-84.904366;11.587165;
0.47421262;20.142334;-84.912895;11.600398;
0.47918698;20.141754;-84.922035;11.6130295;
0.48422238;20.145416;-84.92998;11.626755;
0.4892578;20.147766;-84.938034;11.641137;
0.49435422;20.146301;-84.94633;11.657168;
0.49932858;20.139557;-84.95461;11.673382;
0.50439453;20.135376;-84.96269;11.691212;
0.5093689;20.126984;-84.97207;11.709591;
0.51449585;20.118134;-84.98216;11.727559;
0.5194702;20.102753;-84.9935;11.743793;
0.52450556;20.090881;-85.005806;11.759244;
0.529541;20.080414;-85.01826;11.77329;
0.53463745;20.072632;-85.03174;11.786268;
