unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;-0.23065186;9.778931;0.48475647;
0.0050354;-0.010467529;9.653961;0.68470764;
0.0100708;0.16687012;9.505188;0.79896545;
0.0151062;0.18948364;9.538513;0.9275055;
0.0201416;0.16329956;9.6622925;0.8870392;
0.025177;0.065704346;9.971741;1.0155792;
0.0302124;0.08950806;10.043152;1.1833954;
0.0352478;-0.018798828;10.024109;1.2417145;
0.040283203;-0.89834595;9.84082;1.5333099;
0.045318604;-0.32705688;9.951508;1.2667084;
0.050354004;-0.13067627;9.988403;1.1762543;
0.0553894;0.07879639;9.939606;1.0167694;
0.0604248;-0.027130127;9.861053;1.0381927;
0.065460205;-0.10687256;9.801544;0.96440125;
0.070495605;-0.21398926;9.763458;0.88941956;
0.075531006;-0.3092041;9.752747;0.8798981;
0.080566406;-0.31515503;9.753937;0.8751373;
0.08560181;-0.27349854;9.765839;0.92155457;
0.09063721;-0.21636963;9.702759;1.0274811;
0.09564208;-0.08544922;9.693237;1.033432;
0.10070801;-0.05331421;9.697998;1.1143646;
0.10574341;0.022857666;9.657532;1.116745;
0.1107788;0.01928711;9.688477;1.0370026;
0.1158142;0.0038146973;9.744415;1.0858002;
0.1208496;0.039520264;9.869385;1.1024628;
0.12588501;0.097839355;9.970551;1.0072479;
0.13092041;0.16925049;10.002686;1.0489044;
0.13595581;0.2013855;10.078857;0.9108429;
0.14099121;0.22280884;10.065765;0.9679718;
0.1460266;0.2501831;10.064575;0.94892883;
0.15106201;0.20852661;10.153839;0.96559143;
0.1560974;0.22161865;10.066956;0.92393494;
0.16113281;0.17877197;10.020538;1.0358124;
0.1661682;0.17877197;10.003876;1.0429535;
0.17120361;0.18115234;9.937225;0.9905853;
0.176239;0.25732422;9.832489;1.0358124;
0.18127441;0.25732422;9.797974;1.0643768;
0.1863098;0.22756958;9.730133;1.1072235;
0.19134521;0.25613403;9.664673;1.1072235;
0.1963501;0.19424438;9.627777;1.1607819;
0.20141602;0.13711548;9.593262;1.1393585;
0.20645142;0.12283325;9.657532;1.1893463;
0.21148682;0.12878418;9.658722;1.1417389;
0.2165222;0.025238037;9.684906;1.1631622;
0.2215576;0.041900635;9.714661;1.1000824;
0.22659302;0.07879639;9.768219;1.1131744;
0.2316284;-0.0128479;9.783691;1.0405731;
0.23666382;-0.028320313;9.806305;1.0239105;
0.2416992;-0.024749756;9.908661;1.097702;
0.24673462;-0.05807495;9.870575;1.033432;
0.25177002;-0.005706787;9.845581;1.078659;
0.2567749;-0.07116699;9.895569;1.0965118;
0.26184082;-0.09378052;9.831299;1.0489044;
0.26687622;-0.039031982;9.7908325;1.097702;
0.27191162;-0.049743652;9.747986;1.1572113;
0.27695933;-0.03427124;9.676575;1.0703278;
0.28202525;-0.089019775;9.628967;1.1310272;
0.28706062;-0.07116699;9.696808;1.1179352;
0.29209602;-0.060455322;9.58255;1.135788;
0.29710093;-0.13543701;9.681335;1.0584259;
0.30216685;-0.16400146;9.695618;1.0810394;
0.30720222;-0.14138794;9.745605;1.0108185;
0.31223762;-0.07711792;9.894379;1.0322418;
