unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.8500895E-4;0.23284912;-84.748314;-0.3100859;
0.005859375;0.24105835;-84.710976;-0.2974618;
0.010894774;0.24081421;-84.67186;-0.2869708;
0.015930174;0.2348938;-84.63348;-0.2792127;
0.021026611;0.2225647;-84.59741;-0.27217883;
0.026000975;0.205719;-84.564095;-0.26466528;
0.031036375;0.18011475;-84.53262;-0.25390342;
0.036071774;0.15145874;-84.50511;-0.24099864;
0.04116821;0.14657593;-84.480644;-0.23305762;
0.046142574;0.12008667;-84.468285;-0.21194811;
0.051177975;0.0871582;-84.46516;-0.18046817;
0.056213375;0.05050659;-84.46841;-0.14687622;
0.061309814;0.023406982;-84.47436;-0.119463116;
0.06628418;0.007385254;-84.482124;-0.10117598;
0.07131958;0.0039978027;-84.490944;-0.0902461;
0.07635497;0.013824463;-84.49921;-0.084077716;
0.081451416;0.033569336;-84.50695;-0.07881808;
0.08642578;0.061065674;-84.51407;-0.0719658;
0.09149169;0.09738159;-84.52101;-0.062369905;
0.096466064;0.13769531;-84.52924;-0.050136905;
0.10159301;0.18582153;-84.53854;-0.03649517;
0.10656738;0.23461914;-84.54958;-0.022702197;
0.11160278;0.2871399;-84.56356;-0.0096650785;
0.11663818;0.34048462;-84.57803;0.0024374437;
0.12173461;0.39089966;-84.59311;0.014294266;
0.12670898;0.43310547;-84.60861;0.025274703;
0.13174438;0.47052002;-84.62301;0.035556916;
0.13677979;0.50164795;-84.637375;0.043931942;
0.14187622;0.5274658;-84.64946;0.050214995;
0.14685059;0.5455017;-84.659454;0.054498035;
0.15188599;0.56051636;-84.66729;0.056611285;
0.15692139;0.56884766;-84.67298;0.05749382;
0.16201782;0.57281494;-84.67575;0.057386328;
0.16699219;0.5693054;-84.67666;0.057498787;
0.17202757;0.5600281;-84.67587;0.057768285;
0.17706299;0.5420227;-84.672554;0.05850333;
0.18215942;0.51846313;-84.66673;0.058865327;
0.18713379;0.4909668;-84.658424;0.05831802;
0.1921997;0.46099854;-84.64839;0.05697858;
0.19717407;0.43237305;-84.63677;0.054089785;
0.20230103;0.40444946;-84.624435;0.04936025;
0.20727539;0.37631226;-84.61246;0.044054218;
0.21231078;0.34988403;-84.60238;0.038511544;
0.21734619;0.3286438;-84.59353;0.031834833;
0.22244261;0.30874634;-84.58618;0.025138259;
0.22741699;0.28945923;-84.57966;0.018928656;
0.23245238;0.27789307;-84.574425;0.011639097;
0.23748778;0.27008057;-84.57014;0.0042115985;
0.24258421;0.2649536;-84.56614;-0.0031312949;
0.24755858;0.26330566;-84.56341;-0.010215855;
0.252594;0.26193237;-84.560356;-0.016079467;
0.25759888;0.26461792;-84.55749;-0.021119453;
0.26272583;0.26913452;-84.555;-0.024641123;
0.2677002;0.27148438;-84.552345;-0.026011497;
0.27273557;0.2746582;-84.549706;-0.02610237;
0.27778327;0.2763977;-84.54829;-0.024597647;
0.28291023;0.27801514;-84.54656;-0.022040289;
0.2878846;0.2765503;-84.54502;-0.018242342;
0.2929505;0.2734375;-84.54306;-0.013181105;
0.29792488;0.27093506;-84.54176;-0.007926262;
