unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;-0.26516724;9.703949;0.91322327;
0.005035401;-0.31158447;9.786072;0.71565247;
0.010070801;-0.35681152;9.808685;0.78349304;
0.015075684;-0.334198;9.825348;0.72636414;
0.020141602;-0.24136353;9.805115;0.719223;
0.025177002;-0.23184204;9.814636;0.6394806;
0.030212402;-0.24017334;9.801544;0.71684265;
0.035247803;-0.21398926;9.84082;0.73350525;
0.040283203;-0.20089722;9.83606;0.8751373;
0.045318604;-0.11401367;9.882477;0.78349304;
0.050354004;-0.065216064;9.896759;0.8108673;
0.055358887;0.052612305;9.9062805;0.7799225;
0.0604248;0.1347351;9.997925;0.83229065;
0.065460205;0.18353271;9.941986;0.77397156;
0.070495605;0.15615845;9.878906;0.7394562;
0.075531006;0.19781494;9.858673;0.8787079;
0.080566406;0.17996216;9.850342;0.77397156;
0.08560181;0.1847229;9.863434;0.83348083;
0.09063721;0.13949585;9.845581;0.84062195;
0.09564208;0.12521362;9.959839;0.96321106;
0.10070801;0.024047852;9.986023;0.885849;
0.10574341;0.007385254;10.057434;0.8775177;
0.1107788;-0.078308105;10.143127;0.917984;
0.11578369;-0.13543701;10.109802;0.9667816;
0.1208496;-0.18304443;10.195496;0.8275299;
0.12588501;-0.18423462;10.234772;0.9584503;
0.13092041;-0.1770935;10.22406;0.92155457;
0.1359253;-0.22232056;10.230011;0.9620209;
0.14099121;-0.25445557;10.209778;1.0370026;
0.1460266;-0.25564575;10.259766;1.0381927;
0.15106201;-0.30444336;10.265717;0.9763031;
0.1560974;-0.34609985;10.207397;0.9774933;
0.16113281;-0.33181763;10.191925;1.0060577;
0.1661682;-0.35562134;10.147888;0.9786835;
0.17120361;-0.34609985;10.058624;0.9429779;
0.176239;-0.3330078;10.018158;1.0536652;
0.18127441;-0.34490967;9.9253235;0.917984;
0.1863098;-0.32943726;9.856293;1.0346222;
0.19134521;-0.29135132;9.7586975;0.9679718;
0.1963806;-0.32824707;9.664673;0.94773865;
0.20141602;-0.24612427;9.608734;0.94773865;
0.20645142;-0.18661499;9.493286;0.9334564;
0.21148682;-0.1449585;9.526611;0.917984;
0.21649168;-0.0021362305;9.501617;0.87275696;
0.2215576;-0.009277344;9.531372;0.9120331;
0.22659302;0.060943604;9.536133;0.84776306;
0.2316284;0.027618408;9.542084;0.92274475;
0.23666382;0.008575439;9.576599;0.83229065;
0.2416992;0.028808594;9.621826;0.834671;
