unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.8501E-4;14.773926;-85.56845;0.63455933;
0.005859375;14.756683;-85.570526;0.6279063;
0.010925293;14.754486;-85.57256;0.6217332;
0.015899658;14.758972;-85.57459;0.6168689;
0.021026611;14.767822;-85.57587;0.6133499;
0.026000975;14.779114;-85.5772;0.60993636;
0.031036375;14.803894;-85.57804;0.6073688;
0.036071774;14.835999;-85.57959;0.6062948;
0.04116821;14.874786;-85.58093;0.6061138;
0.046142574;14.904449;-85.58422;0.6071964;
0.05117798;14.937408;-85.58835;0.6090283;
0.05618286;14.962433;-85.59317;0.6120132;
0.061309814;14.977539;-85.59775;0.6149162;
0.06628418;14.974915;-85.60242;0.6162525;
0.07131958;14.969177;-85.60639;0.6155455;
0.07635498;14.953552;-85.608;0.6132586;
0.081451416;14.928131;-85.6096;0.60865605;
0.08642578;14.890228;-85.61006;0.60229975;
0.09146118;14.853149;-85.61025;0.5930861;
0.096466064;14.812866;-85.60929;0.5817355;
0.10159301;14.770203;-85.60924;0.567262;
0.10656738;14.720642;-85.609436;0.5510157;
0.1116333;14.678375;-85.60979;0.5317498;
0.11660766;14.639893;-85.609955;0.5106573;
0.12173461;14.601624;-85.6116;0.48788548;
0.12670898;14.5625305;-85.61262;0.46593717;
0.13174438;14.531799;-85.61497;0.44398853;
0.13674927;14.507385;-85.61712;0.422089;
0.14187622;14.489105;-85.61884;0.4000069;
0.14685059;14.471527;-85.62143;0.37944496;
0.15188599;14.467194;-85.62531;0.35965112;
0.15692139;14.470154;-85.62934;0.34148714;
0.16201782;14.477386;-85.63318;0.32602844;
0.16699219;14.482941;-85.636505;0.31354907;
0.17202757;14.497742;-85.639435;0.3038185;
0.17706299;14.515961;-85.640495;0.29722556;
0.18215942;14.536591;-85.64178;0.29370967;
0.18713379;14.554352;-85.64015;0.293337;
0.19216917;14.579498;-85.63729;0.29650068;
0.19720459;14.607697;-85.633026;0.30285028;
0.20230103;14.635345;-85.62685;0.31416082;
0.20727539;14.65686;-85.619316;0.32922375;
0.21234131;14.686279;-85.61083;0.347237;
0.21731567;14.713226;-85.60138;0.3666347;
0.22244261;14.745056;-85.59013;0.38587576;
