unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;0.08117676;9.700378;1.3976288;
0.005035401;0.0942688;9.847961;1.430954;
0.010070801;0.10140991;9.868195;1.3488312;
0.0151062;0.08117676;9.911041;1.3047943;
0.020141602;-0.029510498;9.872955;1.3202667;
0.025177002;0.0014343262;9.788452;1.309555;
0.030181883;-0.09020996;9.857483;1.315506;
0.035247803;-0.17828369;9.811066;1.3404999;
0.040283203;-0.30444336;9.821777;1.4785614;
0.045318604;-0.35205078;9.826538;1.4845123;
0.050354004;-0.35324097;9.861053;1.3869171;
0.0553894;-0.40679932;9.852722;1.4000092;
0.0604248;-0.366333;9.878906;1.4785614;
0.065460205;-0.31991577;9.792023;1.514267;
0.07046509;-0.26397705;9.808685;1.5428314;
0.075531006;-0.17352295;9.830109;1.5047455;
0.080566406;-0.11639404;9.90509;1.4964142;
0.08560181;-0.07949829;9.849152;1.6475677;
0.09063721;-0.08068848;9.899139;1.5416412;
0.09567261;-0.06283569;9.851532;1.5690155;
0.10070801;-0.056884766;9.856293;1.5678253;
0.10574341;-0.060455322;9.909851;1.6416168;
0.11074828;-0.05569458;9.8741455;1.72612;
0.1158142;-0.13543701;9.913422;1.5856781;
0.1208496;-0.16400146;9.944366;1.6332855;
0.12588501;-0.12710571;9.912231;1.5951996;
0.13092041;-0.24850464;9.847961;1.5809174;
0.13595581;-0.2104187;9.849152;1.5452118;
0.14099121;-0.17114258;9.826538;1.578537;
0.1460266;-0.19732666;9.814636;1.5190277;
0.15106201;-0.14257813;9.784882;1.4868927;
0.1560974;-0.24136353;9.807495;1.5106964;
0.16113281;-0.25683594;9.724182;1.5130768;
0.1661682;-0.37704468;9.689667;1.425003;
0.17120361;-0.39013672;9.783691;1.5130768;
0.176239;-0.37704468;9.797974;1.5821075;
0.18127441;-0.30563354;9.817017;1.5928192;
0.1863098;-0.2104187;9.863434;1.6642303;
0.19134521;-0.13305664;9.884857;1.610672;
0.1963806;-0.008087158;9.8420105;1.5356903;
0.20141602;0.04071045;9.793213;1.4392853;
0.20645142;0.06689453;9.769409;1.4749908;
0.2114563;0.035949707;9.834869;1.4868927;
0.21652222;0.059753418;9.894379;1.5487823;
0.2215576;0.09307861;9.859863;1.4476166;
0.22659302;-0.011657715;9.90271;1.5321198;
0.2316284;-0.065216064;9.814636;1.4452362;
0.23666382;-0.075927734;9.850342;1.4928436;
0.2416992;-0.12234497;9.887238;1.4226227;
0.24673462;-0.14138794;9.800354;1.4345245;
0.2517395;-0.103302;9.883667;1.4880829;
0.25680542;0.009765625;9.886047;1.5642548;
0.26184082;-0.003326416;9.887238;1.4785614;
0.26687622;0.026428223;9.924133;1.4904633;
0.27191162;-0.024749756;9.851532;1.495224;
0.276947;-0.06402588;9.8098755;1.4928436;
0.28198242;-0.086639404;9.820587;1.482132;
0.28701782;-0.15924072;9.867004;1.5095062;
0.2920227;-0.29730225;9.859863;1.5095062;
0.2970886;-0.3829956;9.734894;1.5285492;
0.30212402;-0.33657837;9.77179;1.5392609;
0.30715942;-0.31515503;9.762268;1.430954;
0.3121643;-0.36157227;9.743225;1.4880829;
0.31723022;-0.33062744;9.747986;1.5499725;
0.32226563;-0.17828369;9.70752;1.6035309;
0.32730103;-0.04498291;9.811066;1.5821075;
0.3323059;0.031188965;9.821777;1.5547333;
0.33737183;0.17758179;9.855103;1.5249786;
0.34240723;0.14544678;9.83844;1.5606842;
0.34744263;0.18353271;9.963409;1.4904633;
0.352478;0.09307861;9.956268;1.4571381;
0.35751343;0.087127686;9.953888;1.4464264;
0.36254883;-0.04498291;9.886047;1.3631134;
0.3675842;0.009765625;9.870575;1.4618988;
0.3726196;-0.061645508;9.852722;1.4857025;
0.37765503;-0.121154785;9.822968;1.514267;
0.38269043;-0.09378052;9.8741455;1.5321198;
0.3877258;-0.06283569;9.937225;1.5892487;
0.3927612;-0.025939941;9.899139;1.5892487;
0.39779663;-0.0045166016;9.869385;1.4999847;
0.40283203;0.07998657;9.831299;1.5345001;
0.4078674;0.13830566;9.90271;1.5690155;
0.4128723;0.20019531;9.767029;1.5321198;
0.41793823;0.14544678;9.815826;1.4595184;
0.42297363;0.037139893;9.77417;1.4166718;
0.428009;-0.059265137;9.77536;1.5106964;
0.43304443;-0.08187866;9.795593;1.4488068;
0.43807983;-0.08544922;9.865814;1.4190521;
0.4431152;-0.13781738;9.808685;1.4535675;
0.4481506;-0.18066406;9.896759;1.3107452;
0.45318604;-0.1699524;9.793213;1.2905121;
0.45822144;-0.22113037;9.9253235;1.4154816;
0.4632568;-0.20089722;9.867004;1.3202667;
0.4682922;-0.12948608;9.875336;1.4131012;
0.47332764;-0.10449219;9.931274;1.3547821;
0.47836304;-0.08544922;9.914612;1.4047699;
0.4833984;-0.110443115;9.915802;1.4345245;
0.4884338;-0.056884766;9.843201;1.4845123;
0.49343872;-0.029510498;9.83606;1.4357147;
0.49850464;-0.1199646;9.875336;1.482132;
0.50354004;-0.08306885;9.821777;1.540451;
0.5085754;-0.059265137;9.795593;1.5035553;
0.5135803;-0.1366272;9.830109;1.5452118;
0.51864624;-0.14138794;9.739655;1.4595184;
0.52368164;-0.1282959;9.8420105;1.463089;
0.52871704;-0.12472534;9.865814;1.4392853;
0.5337219;-0.03665161;9.867004;1.4964142;
0.53878784;0.0014343262;9.924133;1.4011993;
0.54382324;0.039520264;9.858673;1.3583527;
0.5488586;-0.0021362305;9.814636;1.4547577;
0.553894;0.038330078;9.814636;1.4928436;
0.55892944;-0.0211792;9.832489;1.4166718;
0.56396484;-0.08782959;9.7908325;1.4523773;
0.56900024;-0.07235718;9.77536;1.514267;
0.57403564;-0.037841797;9.846771;1.4535675;
0.57907104;-0.028320313;9.831299;1.4357147;
0.5841064;-0.043792725;9.83963;1.4131012;
0.5891418;-0.060455322;9.864624;1.4273834;
0.5941772;-0.09616089;9.846771;1.3726349;
0.59921265;-0.14019775;9.803925;1.5130768;
0.60424805;-0.1199646;9.807495;1.4892731;
0.60928345;-0.07711792;9.827728;1.514267;
0.61428833;-0.005706787;9.824158;1.4452362;
0.61935425;0.024047852;9.868195;1.3940582;
0.6243896;0.025238037;9.875336;1.4535675;
0.629425;0.016906738;9.827728;1.4797516;
0.63446045;-0.028320313;9.915802;1.5106964;
0.63949585;-0.048553467;9.894379;1.4809418;
0.64453125;-0.11639404;9.876526;1.4285736;
0.64956665;-0.15567017;9.851532;1.3821564;
0.65460205;-0.21160889;9.799164;1.4226227;
0.6596374;-0.23303223;9.767029;1.4523773;
0.6646728;-0.1116333;9.762268;1.4000092;
0.6697082;-0.16400146;9.808685;1.4190521;
0.67474365;-0.13781738;9.862244;1.3869171;
0.67977905;-0.11282349;9.815826;1.3559723;
0.68481445;-0.07235718;9.847961;1.4142914;
0.68984985;-0.035461426;9.856293;1.3619232;
0.69488525;-0.08544922;9.844391;1.4107208;
0.6999206;0.054992676;9.849152;1.3464508;
0.704956;0.025238037;9.871765;1.4214325;
0.7099914;-0.016418457;9.883667;1.3428802;
0.71499634;-0.016418457;9.916992;1.3881073;
0.72006226;-0.11639404;9.863434;1.4142914;
0.72509766;-0.22232056;9.855103;1.3238373;
0.73013306;-0.33657837;9.817017;1.4023895;
0.7351684;-0.366333;9.780121;1.3857269;
0.7402038;-0.35681152;9.817017;1.3452606;
0.7452392;-0.38537598;9.856293;1.4523773;
0.75027466;-0.40679932;9.847961;1.3773956;
0.75527954;-0.3175354;9.846771;1.4726105;
0.7603882;-0.18066406;9.934845;1.5261688;
0.7654236;0.01928711;10.259766;1.3500214;
0.770459;-0.77337646;9.751556;1.315506;
0.77546394;-0.71743774;9.609924;1.4999847;
0.78052986;-0.46987915;9.793213;1.5261688;
0.7855652;-0.21160889;9.955078;1.7273102;
0.7906006;-0.19137573;9.983643;1.6499481;
0.7956055;-0.06878662;9.956268;1.5356903;
0.8006714;0.057373047;9.999115;1.5690155;
0.8057068;0.275177;10.15979;1.2762299;
0.81074226;0.17044067;10.397827;0.9917755;
0.81574714;-0.31396484;9.96579;1.0096283;
0.82081306;-0.417511;9.792023;1.1607819;
0.8258484;-0.46154785;9.565887;1.3833466;
0.8308838;-0.26397705;9.571838;1.5261688;
0.8359192;-0.19851685;9.64444;1.4964142;
0.8409546;-0.103302;9.638489;1.5702057;
0.84599;-0.0068969727;9.701569;1.5309296;
0.85102546;0.047851563;9.797974;1.4964142;
0.8560303;0.07165527;9.834869;1.463089;
0.8610962;0.038330078;9.853912;1.3702545;
0.8661316;0.059753418;9.876526;1.3809662;
0.871167;0.039520264;9.83844;1.4618988;
0.8762024;0.10736084;9.828918;1.360733;
0.8812378;0.1109314;9.90271;1.3559723;
0.88627326;0.095458984;9.83963;1.4095306;
0.89130867;0.03475952;9.849152;1.4369049;
0.89634407;0.016906738;9.821777;1.3904877;
0.9013794;-0.07235718;9.757507;1.3833466;
0.9064148;-0.067596436;9.814636;1.4321442;
0.9114502;-0.03665161;9.832489;1.309555;
0.91715705;-0.046173096;9.817017;1.3904877;
0.92149055;-0.09378052;9.814636;1.3690643;
0.92655647;-0.067596436;9.759888;1.3762054;
0.93159187;-0.027130127;9.795593;1.3785858;
0.9366272;-0.039031982;9.814636;1.430954;
0.9416626;-0.097351074;9.806305;1.425003;
0.946698;-0.086639404;9.751556;1.4059601;
0.9517334;-0.050933838;9.834869;1.379776;
0.9567688;-0.110443115;9.880096;1.5106964;
0.9618042;-0.17233276;9.90033;1.4488068;
0.9668397;-0.13543701;9.90033;1.508316;
0.9718751;-0.15805054;9.934845;1.4785614;
0.9769104;-0.118774414;9.895569;1.3964386;
0.9819458;-0.17828369;9.952698;1.392868;
0.9869812;-0.099731445;9.952698;1.4226227;
0.9920166;-0.17590332;9.9574585;1.4345245;
0.997052;-0.14138794;10.026489;1.4428558;
1.0020875;-0.121154785;9.974121;1.4416656;
1.0071229;-0.099731445;9.8741455;1.4202423;
1.0121583;-0.075927734;9.930084;1.4261932;
1.0171937;-0.11401367;9.850342;1.4738007;
1.0221986;-0.07235718;9.846771;1.5523529;
1.0272338;-0.050933838;9.827728;1.4857025;
1.0322692;-0.07354736;9.859863;1.4654694;
1.0373352;-0.018798828;9.855103;1.4571381;
1.0423402;-0.060455322;9.77536;1.444046;
1.0474061;-0.019989014;9.803925;1.4511871;
1.052411;-0.07116699;9.825348;1.4797516;
1.0574464;-0.121154785;9.852722;1.3785858;
1.0625123;-0.13424683;9.853912;1.4404755;
1.0675476;-0.18780518;9.812256;1.3785858;
1.072583;-0.14614868;9.77298;1.3524017;
1.0776184;-0.15447998;9.83963;1.4166718;
1.0826538;-0.2104187;9.818207;1.392868;
1.0876588;-0.1687622;9.814636;1.4023895;
1.0927246;-0.18780518;9.788452;1.4035797;
1.0977601;-0.19613647;9.765839;1.411911;
1.1027648;-0.22113037;9.787262;1.430954;
1.1078309;-0.17114258;9.77536;1.3940582;
1.1128663;-0.15924072;9.746796;1.3714447;
1.1179017;-0.19851685;9.795593;1.3309784;
1.1229064;-0.16281128;9.737274;1.3369293;
1.1279418;-0.09854126;9.755127;1.3404999;
1.1329774;-0.103302;9.7586975;1.3333588;
1.1380128;-0.121154785;9.728943;1.3881073;
1.1430482;-0.08068848;9.805115;1.3512115;
1.1480836;-0.10211182;9.77298;1.3309784;
1.1531494;-0.07711792;9.799164;1.2940826;
1.1581848;-0.033081055;9.843201;1.3297882;
1.1632202;-0.0068969727;9.815826;1.334549;
1.1682252;0.013336182;9.856293;1.3714447;
1.173291;0.020477295;9.872955;1.3393097;
1.1783265;-0.027130127;9.872955;1.3714447;
1.1833313;-0.054504395;9.869385;1.3404999;
1.1883667;0.022857666;9.953888;1.4095306;
1.1934327;0.04071045;9.937225;1.3631134;
1.1984681;0.020477295;9.926514;1.3940582;
1.2034729;0.0026245117;10.008636;1.3381195;
1.2085389;0.038330078;10.064575;1.4345245;
1.2135743;0.035949707;10.014587;1.3416901;
1.2185792;0.015716553;10.020538;1.4071503;
1.2236146;0.01928711;9.997925;1.3773956;
1.2286804;0.037139893;10.003876;1.430954;
1.2337158;0.0026245117;9.931274;1.4000092;
1.2387512;-0.050933838;9.894379;1.4095306;
1.2437866;-0.07949829;9.889618;1.4535675;
1.248822;-0.017608643;9.844391;1.4595184;
1.2538575;-0.049743652;9.83844;1.4833221;
1.2588929;-0.09378052;9.800354;1.4428558;
1.2639283;-0.1199646;9.753937;1.4095306;
1.2739685;-0.13305664;9.759888;1.4369049;
1.2790345;-0.19018555;9.783691;1.3833466;
1.2840699;-0.18304443;9.847961;1.4047699;
1.2891053;-0.2020874;9.802734;1.3297882;
1.2941406;-0.17947388;9.7908325;1.4726105;
1.299176;-0.18899536;9.747986;1.4059601;
1.304181;-0.21279907;9.71109;1.3904877;
1.3092468;-0.24969482;9.786072;1.3619232;
1.3142822;-0.18899536;9.827728;1.4142914;
1.3193176;-0.16400146;9.742035;1.3738251;
1.3243226;-0.14852905;9.756317;1.430954;
1.3293885;-0.11401367;9.77655;1.4214325;
1.3344239;-0.12472534;9.834869;1.4107208;
1.3394593;-0.14138794;9.792023;1.3857269;
1.3444641;-0.07949829;9.812256;1.4380951;
1.3495301;-0.086639404;9.875336;1.4095306;
1.3545655;-0.02355957;9.796783;1.3714447;
1.3596009;0.0038146973;9.834869;1.3738251;
1.3646363;-0.05807495;9.83963;1.4214325;
1.3696716;-0.024749756;9.805115;1.3297882;
1.374707;-0.011657715;9.827728;1.4214325;
1.3797424;-0.039031982;9.800354;1.4131012;
1.3847474;-0.048553467;9.843201;1.4214325;
1.3898132;-0.054504395;9.831299;1.3595428;
1.3948486;-0.039031982;9.952698;1.3524017;
1.399884;-0.027130127;9.862244;1.3845367;
1.4048889;-0.033081055;9.825348;1.3964386;
1.4099549;0.03475952;9.824158;1.4095306;
