unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.004211426;0.16925049;9.577789;0.7549286;
0.009246826;0.106170654;9.594452;0.86561584;
0.014282227;0.010955811;9.567078;0.7477875;
0.019317627;-0.0211792;9.533752;0.75135803;
0.02432251;-0.09140015;9.513519;0.7037506;
0.029388428;-0.028320313;9.464722;0.7275543;
0.034423828;-0.065216064;9.494476;0.706131;
0.03945923;-0.02355957;9.439728;0.6156769;
0.04446411;-0.03665161;9.38736;0.7144623;
0.049530026;-0.05331421;9.3802185;0.67637634;
0.05456543;-0.08782959;9.357605;0.57640076;
0.05960083;-0.121154785;9.271912;0.61924744;
0.06463623;-0.11282349;9.210022;0.5668793;
0.06967163;-0.09020996;9.167175;0.590683;
0.07470703;-0.09020996;9.129089;0.56806946;
0.07974243;-0.0045166016;9.202881;0.5561676;
0.08477783;0.09307861;9.210022;0.5252228;
0.08981323;0.16567993;9.215973;0.57640076;
0.09484863;0.3085022;9.256439;0.5406952;
0.099884026;0.4489441;9.294525;0.57640076;
0.104919426;0.46798706;9.351654;0.6121063;
0.10995483;0.44180298;9.51947;0.5240326;
0.11499023;0.46798706;9.700378;0.5490265;
0.12002563;0.4156189;9.730133;0.5656891;
0.12503052;0.33587646;9.912231;0.5966339;
0.13009644;0.25494385;10.09552;0.5240326;
0.13513184;0.18829346;10.227631;0.6371002;
0.14016722;0.19186401;10.396637;0.63591003;
0.14520264;0.21685791;10.510895;0.7120819;
0.15023802;0.21447754;10.589447;0.7763519;
0.15527344;0.22399902;10.73703;0.8299103;
0.16030882;0.19186401;10.883423;0.9013214;
0.16534424;0.15853882;10.822723;0.9858246;
0.17037962;0.057373047;10.832245;1.1024628;
0.17541504;-0.024749756;10.795349;1.1476898;
0.18045042;-0.052124023;10.717987;1.1405487;
0.18545532;-0.11758423;10.666809;1.2179108;
0.19052124;-0.17828369;10.576355;1.1881561;
0.19555664;-0.108062744;10.485901;1.2298126;
0.20059204;-0.15567017;10.410919;1.1369781;
0.20562744;-0.11282349;10.328796;1.0560455;
0.21066284;-0.05807495;10.147888;1.0881805;
0.21569823;-0.09140015;10.007446;1.0691376;
0.22073364;-0.035461426;9.950317;1.0417633;
0.22573853;-0.08306885;9.90033;1.21315;
0.23080444;-0.050933838;9.799164;1.097702;
0.23583983;-0.035461426;9.781311;1.0881805;
0.24087524;0.020477295;9.602783;1.046524;
0.24588013;0.010955811;9.530182;1.129837;
0.25094604;0.038330078;9.467102;1.2393341;
0.25598145;0.024047852;9.393311;1.2298126;
0.26101685;0.084747314;9.342133;1.1405487;
0.26605225;0.10498047;9.311188;1.0548553;
0.27108765;0.13830566;9.302856;0.9905853;
0.27612305;0.10021973;9.19693;0.88227844;
0.28115842;0.116882324;9.175507;0.93226624;
0.28619385;0.065704346;9.13504;0.88941956;
0.29122925;0.065704346;9.1683655;0.8287201;
0.29626462;0.07284546;9.188599;0.88108826;
0.30130005;0.063323975;9.251678;0.83229065;
0.30633545;0.11212158;9.39093;0.83229065;
0.31137085;0.16210938;9.575409;0.802536;
