unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
0.0;-0.035294;0.078705;0.007065;
0.005035401;-0.027817;0.070160;-0.007889;
0.010131836;-0.020340;0.062683;-0.015366;
0.0151062;-0.013931;0.058411;-0.020706;
0.02017212;-0.006454;0.056274;-0.024979;
0.025146483;-0.003250;0.054138;-0.026047;
0.030273438;0.001022;0.052002;-0.026047;
0.035247803;0.007431;0.048798;-0.024979;
0.040283203;0.006363;0.042389;-0.020706;
0.045288086;0.007431;0.031708;-0.015366;
0.05041504;0.011703;0.015686;-0.011093;
0.0553894;0.012772;-0.001404;-0.007889;
0.0604248;0.010635;-0.022766;-0.002548;
0.065460205;0.009567;-0.047333;0.002792;
0.07055664;0.005295;-0.064423;0.007065;
0.075531006;0.003159;-0.079376;0.010269;
0.080566406;-0.002182;-0.094330;0.013474;
0.08560181;-0.084336;-0.988967;0.121786;
0.090698235;-0.160581;-0.984076;0.076215;
0.09567261;-0.239821;-0.970684;0.016102;
0.10070801;-0.305596;-0.949193;-0.075127;
0.10574341;-0.376340;-0.890806;-0.254623;
0.11083984;-0.456338;-0.790710;-0.408085;
0.1158142;-0.509844;-0.632417;-0.583188;
0.12088013;-0.558788;-0.435142;-0.705980;
0.12585449;-0.579530;-0.259093;-0.772668;
0.13098145;-0.599752;-0.069791;-0.797136;
0.13595581;-0.591820;0.097608;-0.800139;
0.14099121;-0.595253;0.202453;-0.777616;
0.1460266;-0.580375;0.274813;-0.766579;
0.15112303;-0.575357;0.313963;-0.755243;
0.1560974;-0.567050;0.315539;-0.760848;
0.16113281;-0.558013;0.316644;-0.767045;
0.1661682;-0.544916;0.311144;-0.778625;
0.17126465;-0.524228;0.306874;-0.794363;
0.176239;-0.532785;0.274034;-0.800653;
0.18127441;-0.530523;0.251465;-0.809512;
0.1862793;-0.527928;0.219079;-0.820546;
0.19140625;-0.546503;0.202205;-0.812679;
0.1963806;-0.555131;0.187418;-0.810373;
0.20141602;-0.558254;0.332243;-0.760241;
0.20645142;-0.551162;0.437730;-0.710361;
0.21154785;-0.056656;0.046661;-0.067703;
0.21652222;-0.045975;0.041321;-0.054886;
0.22158812;-0.037430;0.028503;-0.043137;
0.22656249;-0.024612;0.022095;-0.031387;
0.23168945;-0.006454;0.022095;-0.017502;
0.23666382;0.003159;0.009277;-0.012161;
0.2416992;0.004227;-0.001404;-0.011093;
0.24670409;0.002090;-0.006744;-0.006821;
0.25183105;0.004227;-0.008881;-0.006821;
0.25680542;0.011703;-0.002472;0.001724;
0.26184082;0.013840;0.000732;0.012405;
0.26687622;0.015976;0.002869;0.015610;
