unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;0.71673584;9.542084;1.283371;
0.005035401;0.74172974;9.496857;1.4083405;
0.010070801;0.66674805;9.536133;1.5023651;
0.015106201;0.61795044;9.5789795;1.4380951;
0.020141602;0.63223267;9.656342;1.2952728;
0.025177002;0.60961914;9.77655;1.2821808;
0.030212402;0.6369934;9.853912;1.2417145;
0.035247803;0.621521;9.83725;1.1548309;
0.040283203;0.6560364;9.883667;1.1726837;
0.045318604;0.60009766;9.83963;1.0001068;
0.050323486;0.5120239;9.849152;1.0370026;
0.0553894;0.46322632;9.830109;1.0858002;
0.0604248;0.5036926;9.861053;1.0346222;
0.065460205;0.47869873;9.90271;0.99653625;
0.070495605;0.5203552;9.949127;0.8120575;
0.075531006;0.45965576;9.945557;0.8180084;
0.080566406;0.38705444;10.0217285;0.9513092;
0.08560181;0.3894348;9.950317;0.99772644;
0.09063721;0.35849;10.027679;0.9013214;
0.09567261;0.36325073;10.012207;1.1393585;
0.10070801;0.30493164;9.96698;1.219101;
0.10574341;0.4156189;9.875336;1.200058;
0.1107788;0.41918945;9.845581;1.2750397;
0.1158142;0.39300537;9.83963;1.2667084;
0.1208496;0.4394226;9.832489;1.2155304;
0.12588501;0.4239502;9.802734;1.2917023;
0.13092041;0.4060974;9.814636;1.2559967;
0.13595581;0.40966797;9.792023;1.2286224;
0.14099121;0.42514038;9.7777405;1.2476654;
0.1460266;0.40252686;9.820587;1.2678986;
0.15103148;0.46322632;9.83606;1.2155304;
0.1560974;0.4156189;9.852722;1.1143646;
0.16113281;0.3918152;9.862244;1.181015;
0.1661682;0.40371704;9.956268;1.1334076;
0.17120361;0.45965576;9.947937;1.1405487;
0.176239;0.42156982;9.926514;1.0953217;
0.18127441;0.46084595;9.927704;1.1345978;
0.1863098;0.42990112;9.914612;1.1750641;
0.19134521;0.3656311;9.858673;1.0965118;
0.1963806;0.35849;9.918182;1.1500702;
0.20141602;0.37277222;9.891998;1.1464996;
0.20645142;0.32992554;9.876526;1.1595917;
0.21148682;0.35491943;9.870575;1.1691132;
0.21652222;0.30136108;9.7908325;1.1893463;
0.2215576;0.36444092;9.857483;1.2012482;
0.22659302;0.3739624;9.889618;1.2024384;
0.2315979;0.37277222;9.831299;1.200058;
0.23666382;0.3751526;9.858673;1.2048187;
0.2416992;0.43585205;9.907471;1.1548309;
0.24673462;0.3739624;9.919373;1.1845856;
0.2517395;0.4060974;9.914612;1.1345978;
0.25680542;0.3739624;9.926514;1.0703278;
0.26184082;0.40371704;9.868195;1.1107941;
0.26687622;0.44418335;9.824158;1.1215057;
0.27191162;0.48464966;9.871765;1.0405731;
0.276947;0.5393982;9.827728;1.0310516;
0.28198242;0.5977173;9.877716;1.0905609;
0.28701782;0.5810547;9.861053;1.1274567;
0.2920227;0.5620117;9.865814;1.0858002;
0.29706454;0.51083374;9.799164;1.0834198;
0.3020999;0.51678467;9.83606;1.0917511;
0.30713534;0.55963135;9.801544;1.1072235;
0.31214023;0.5132141;9.834869;1.1429291;
0.31720614;0.59176636;9.852722;1.1524506;
0.32224151;0.6143799;9.886047;1.2405243;
0.32727695;0.62509155;9.896759;1.1798248;
0.33228183;0.65008545;9.894379;1.1429291;
0.33734775;0.54177856;9.886047;1.1060333;
0.34238312;0.5489197;9.914612;1.1643524;
0.34741855;0.538208;9.953888;1.1322174;
0.3524234;0.5286865;10.025299;1.103653;
0.35748935;0.4310913;9.951508;1.1703033;
0.36252472;0.44418335;9.971741;1.0560455;
0.36756015;0.3989563;9.974121;1.1762543;
0.37259555;0.41085815;9.9253235;1.1893463;
0.37763092;0.4239502;9.880096;1.1607819;
0.38266635;0.40014648;9.827728;1.1548309;
0.38770175;0.42752075;9.832489;1.2310028;
0.39273715;0.4560852;9.761078;1.2583771;
0.39777252;0.41799927;9.701569;1.2333832;
0.40280795;0.39657593;9.623016;1.186966;
0.40784335;0.3822937;9.571838;1.1464996;
0.41287875;0.3751526;9.596832;1.2631378;
0.41791412;0.37634277;9.565887;1.2274323;
0.42294955;0.4489441;9.58493;1.0917511;
0.42798495;0.3989563;9.558746;1.0881805;
0.43302035;0.38467407;9.625397;1.0572357;
0.43805572;0.3323059;9.692047;1.0608063;
0.44309115;0.42514038;9.813446;1.0239105;
0.44812655;0.38467407;9.875336;1.0036774;
0.45313144;0.42990112;9.963409;0.9441681;
