unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
8.2397496E-4;-0.067337;0.021027;-0.023911;
0.005859375;-0.041702;0.054138;-0.021774;
0.010894775;-0.016068;0.068024;-0.016434;
0.015991211;-0.001114;0.074432;-0.008957;
0.020965576;0.011703;0.079773;-0.005753;
0.026000975;0.015976;0.088318;-0.004684;
0.031036375;0.012772;0.091522;-0.005753;
0.036132813;0.124245;0.983870;-0.128699;
0.041107174;0.064961;0.985258;-0.158262;
0.046173096;-0.008411;0.973402;-0.228948;
0.051147457;-0.022594;0.970392;-0.240476;
0.056274414;-0.027310;0.970626;-0.239038;
0.06124878;-0.018712;0.975857;-0.217609;
0.06628418;-0.017752;0.978297;-0.206444;
0.07131958;-0.006148;0.976707;-0.214491;
0.076416016;0.006187;0.980501;-0.196414;
0.08139038;0.021980;0.978816;-0.203557;
0.08642578;0.051600;0.976074;-0.211227;
0.09146118;0.084416;0.972678;-0.216268;
0.09655761;0.014908;0.094727;-0.017502;
0.10153198;0.019180;0.086182;-0.014297;
0.10656738;0.026657;0.084045;-0.007889;
0.11160278;0.029861;0.085114;-0.003616;
0.11669921;0.033066;0.084045;0.000656;
0.121673584;0.037338;0.079773;0.002792;
0.12670898;0.036270;0.074432;0.003860;
0.13174438;0.037338;0.062683;0.001724;
0.1368408;0.035202;0.053070;-0.000412;
0.14181519;0.035202;0.041321;-0.001480;
0.1468811;0.034134;0.030640;-0.003616;
0.15185547;0.030930;0.023163;-0.005753;
0.1569824;0.028793;0.014618;-0.010025;
0.16195677;0.027725;0.013550;-0.013229;
0.16699219;0.024521;0.009277;-0.016434;
0.17202757;0.018112;0.005005;-0.021774;
0.17712402;0.012772;0.008209;-0.022842;
0.18209837;0.007431;0.010345;-0.024979;
0.18713379;0.003159;0.012482;-0.022842;
0.19216917;-0.002182;0.017822;-0.021774;
0.19726563;-0.006454;0.021027;-0.017502;
0.20223998;-0.008591;0.023163;-0.014297;
0.20727539;-0.007523;0.025299;-0.008957;
0.21231078;-0.009659;0.028503;-0.003616;
0.21740723;-0.009659;0.029572;-0.001480;
0.22238159;-0.009659;0.031708;0.002792;
0.22741699;-0.009659;0.034912;0.003860;
0.23242186;-0.006454;0.034912;0.005997;
0.23754883;-0.002182;0.033844;0.004929;
0.2425232;-0.001114;0.029572;0.002792;
