unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;0.3156433;9.715851;1.3333588;
0.005035401;0.36206055;9.811066;1.2107697;
0.010070801;0.27160645;9.871765;1.2012482;
0.0151062;0.20257568;9.9253235;1.1226959;
0.020141602;0.1847229;9.938416;1.1226959;
0.025177002;0.19067383;9.867004;1.0560455;
0.030212402;0.24304199;9.887238;1.1655426;
0.035247803;0.1109314;9.844391;1.0108185;
0.040283203;0.074035645;9.886047;0.982254;
0.045318604;-0.005706787;9.761078;1.0477142;
0.050354004;-0.07711792;9.792023;1.014389;
0.0553894;-0.067596436;9.761078;1.001297;
0.0604248;-0.046173096;9.753937;1.0131989;
0.065460205;-0.06878662;9.7099;1.0215302;
0.070495605;-0.018798828;9.7265625;1.0001068;
0.075531006;-0.048553467;9.788452;1.033432;
0.08053589;-0.067596436;9.803925;1.0560455;
0.08560181;-0.027130127;9.796783;0.9191742;
0.09063721;-0.028320313;9.893188;1.0179596;
0.09567261;-0.016418457;9.909851;0.9941559;
0.10070801;0.052612305;9.908661;1.0131989;
0.10574341;0.039520264;9.921753;1.052475;
0.1107788;0.12997437;9.944366;1.0370026;
0.1158142;0.119262695;9.9646;1.0810394;
0.1208496;0.15258789;9.938416;1.1143646;
0.12588501;0.22756958;9.96698;1.1691132;
0.13092041;0.17520142;9.932465;1.1881561;
0.13595581;0.17044067;9.895569;1.2071991;
0.14099121;0.20376587;9.922943;1.2952728;
0.1460266;0.17758179;9.851532;1.1131744;
0.15106201;0.21090698;9.834869;1.1060333;
0.1560974;0.16210938;9.805115;1.0905609;
0.16113281;0.21923828;9.731323;1.1845856;
0.1661682;0.2013855;9.83606;1.1262665;
0.17120361;0.18829346;9.780121;1.0869904;
0.176239;0.20614624;9.8098755;1.071518;
0.1812439;0.21090698;9.77417;1.0643768;
0.1863098;0.17758179;9.811066;1.0881805;
0.19134521;0.17044067;9.856293;1.0322418;
0.1963806;0.13949585;9.861053;1.0929413;
0.20141602;0.17520142;9.852722;1.0810394;
0.20645142;0.17401123;9.876526;1.0834198;
0.21148682;0.15853882;9.962219;1.0489044;
0.21652222;0.13949585;10.006256;1.0120087;
0.2215576;0.11331177;9.96817;1.1464996;
0.22659302;0.08236694;10.002686;1.0274811;
0.2316284;0.15615845;10.03125;1.1536407;
0.23666382;0.17758179;10.068146;1.0167694;
0.2416992;0.1930542;10.063385;1.1441193;
0.24673462;0.14663696;10.050293;1.1786346;
0.25177002;0.2347107;10.034821;1.14888;
0.25680542;0.21209717;9.970551;1.1310272;
0.26184082;0.16091919;9.991974;1.135788;
0.26687622;0.13116455;9.928894;1.1238861;
0.27191162;0.11807251;9.872955;1.1131744;
0.276947;0.046661377;9.808685;1.1322174;
0.2819519;0.041900635;9.783691;1.1286469;
0.28701782;0.059753418;9.734894;1.033432;
0.2920532;-0.039031982;9.696808;1.0869904;
0.2970886;-0.11639404;9.696808;1.0262909;
0.30212402;-0.12234497;9.677765;1.065567;
0.30715942;-0.13186646;9.681335;1.0631866;
0.3121948;-0.07949829;9.637299;1.0072479;
0.31723022;-0.07235718;9.745605;0.98939514;
0.3222351;-0.07354736;9.682526;0.9203644;
0.32730103;-0.010467529;9.699188;1.0251007;
0.3323364;0.005004883;9.7586975;1.0453339;
0.33737183;-0.019989014;9.814636;1.0251007;
0.34240723;0.13235474;9.9039;0.9774933;
0.34744263;0.054992676;9.940796;1.0131989;
0.352478;0.065704346;10.034821;1.1024628;
0.35751343;0.05618286;10.083618;0.96559143;
0.36254883;0.013336182;10.138367;1.02034;
0.3675842;0.04547119;10.15979;0.9453583;
0.3726196;0.04309082;10.15979;0.97987366;
0.37765503;0.008575439;10.1883545;0.9251251;
0.38265988;-0.046173096;10.130035;0.9703522;
0.3877258;-0.13900757;10.080048;0.937027;
0.3927612;-0.18066406;9.999115;0.88108826;
0.39779663;-0.24255371;9.938416;0.98939514;
0.40283203;-0.18661499;9.807495;0.9917755;
0.4078674;-0.20089722;9.671814;1.0988922;
0.41290283;-0.17352295;9.64444;1.1203156;
0.41793823;-0.09259033;9.627777;1.1655426;
0.4229431;0.0038146973;9.556366;1.1476898;
0.428009;-0.011657715;9.603973;1.1369781;
0.43304443;0.07046509;9.633728;1.1822052;
0.43807983;0.08236694;9.831299;1.1143646;
0.4430847;0.13830566;9.934845;1.0417633;
0.4481506;0.19424438;10.083618;1.0643768;
