unit -> radians/second and measure the Angular speed around the X, Y and Z axis
Timestamp;x-axis;y-axis;z-axis;
8.2397496E-4;-0.480704;0.832690;0.274865;
0.0059204097;-0.344028;0.871299;0.349977;
0.010894775;-0.017136;0.077637;0.038040;
0.015930176;-0.008591;0.070160;0.035904;
0.020965576;-0.001114;0.062683;0.034836;
0.026062012;0.004227;0.057343;0.029495;
0.031036375;0.006363;0.060547;0.020950;
0.036071774;0.007431;0.069092;0.015610;
0.041107174;0.009567;0.055206;0.010269;
0.04620361;0.009567;0.033844;0.015610;
0.05117798;0.010635;0.017822;0.017746;
0.05621338;0.012772;0.009277;0.025223;
0.06124878;0.013840;-0.000336;0.032700;
0.066345215;0.012772;-0.000336;0.035904;
0.07131958;0.011703;0.003937;0.043381;
0.07638549;0.009567;0.013550;0.054062;
0.08135986;0.007431;0.015686;0.060471;
0.08648682;0.006363;0.021027;0.065811;
0.09146118;0.006363;0.021027;0.065811;
0.09649658;0.007431;0.013550;0.063675;
0.10153198;0.008499;0.003937;0.064743;
0.10662841;0.011703;-0.004608;0.061539;
0.11160278;0.013840;-0.007812;0.051926;
0.11663818;0.014908;-0.013153;0.041245;
0.121673584;0.017044;-0.015289;0.032700;
0.12677002;0.020248;-0.021698;0.023087;
0.13174438;0.020248;-0.018494;0.014542;
0.13677979;0.025589;-0.018494;0.009201;
0.14181519;0.029861;-0.014221;0.009201;
0.1469116;0.034134;-0.009949;0.014542;
0.15188599;0.036270;-0.002472;0.017746;
0.15692139;0.037338;0.007141;0.018814;
0.16195677;0.036270;0.011414;0.022018;
0.16705321;0.035202;0.021027;0.022018;
0.17202757;0.034134;0.027435;0.020950;
0.1770935;0.029861;0.031708;0.018814;
0.18206787;0.024521;0.037048;0.014542;
0.18719481;0.017044;0.039185;0.007065;
0.19216917;0.012772;0.043457;0.002792;
0.19720459;0.006363;0.045593;-0.000412;
0.20223998;0.003159;0.052002;-0.004684;
0.20733643;0.001022;0.056274;-0.007889;
0.21231078;-0.001114;0.059479;-0.008957;
0.21734619;-0.000046;0.059479;-0.004684;
0.22238159;-0.000046;0.056274;-0.002548;
0.22747803;0.002090;0.057343;0.002792;
0.2324524;0.003159;0.058411;0.007065;
0.23748778;0.005295;0.060547;0.013474;
0.2425232;0.008499;0.060547;0.016678;
0.24761963;0.008499;0.060547;0.020950;
0.252594;0.009567;0.061615;0.025223;
0.2576294;0.011703;0.062683;0.027359;
0.2626648;0.012772;0.070160;0.029495;
0.26776123;0.011703;0.073364;0.032700;
0.27273557;0.011703;0.079773;0.032700;
0.27780148;0.008499;0.087250;0.032700;
0.28277585;0.070189;0.945170;0.318948;
0.28790283;0.035755;0.954925;0.294687;
0.29287717;0.008139;0.958241;0.285845;
0.2979126;-0.016833;0.953253;0.301703;
0.302948;-0.032791;0.946409;0.321302;
0.30804443;-0.048453;0.935606;0.349707;
0.31301877;-0.056378;0.926059;0.373145;
0.3180542;-0.085941;0.912958;0.398900;
0.32305905;-0.097179;0.887188;0.451059;
0.32818604;-0.012863;0.084045;0.045517;
0.3331604;-0.011795;0.073364;0.039108;
0.3381958;-0.012863;0.088318;0.030563;
0.3432312;-0.074905;0.975127;0.208608;
0.34832764;-0.005386;0.098999;0.009201;
0.353302;0.031549;0.999494;-0.004115;
0.3583374;0.125983;0.987091;-0.098890;
0.3633728;0.187729;0.968961;-0.160846;
