Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:09:59;-79.20806534;43.17346466;70.9000015258789;9.0;0.0;0.0;0.0;0.0;
1.0;19:10:00;-79.20806533;43.17346465;70.9000015258789;9.0;0.0;0.0;0.0;0.0;
2.0;19:10:01;-79.20806534;43.17346464;70.9000015258789;9.0;0.0;0.0;0.0;0.0;
3.0000002;19:10:02;-79.20807952;43.17346887;70.9000015258789;10.0;2.0;7.2;4.47388;3.88768;
4.0;19:10:03;-79.20811922;43.17346837;69.4000015258789;10.0;3.0;10.799999;6.7108197;5.83152;
5.0;19:10:04;-79.20817418;43.17347739;69.0999984741211;9.0;3.75;13.5;8.388525;7.2894;
6.0000005;19:10:05;-79.20820328;43.17348985;68.30000305175781;10.0;3.75;13.5;8.388525;7.2894;
7.0000005;19:10:06;-79.20824735;43.17350587;67.9000015258789;10.0;4.0;14.4;8.94776;7.77536;
8.0;19:10:07;-79.20829197;43.17350922;67.5999984741211;10.0;3.75;13.5;8.388525;7.2894;
9.0;19:10:08;-79.2083417;43.1735065;67.4000015258789;10.0;4.0;14.4;8.94776;7.77536;
10.0;19:10:09;-79.20839035;43.1735046;67.30000305175781;10.0;4.0;14.4;8.94776;7.77536;
11.000001;19:10:10;-79.20843782;43.17350281;66.5;9.0;3.75;13.5;8.388525;7.2894;
12.000001;19:10:11;-79.20848575;43.17349908;66.5999984741211;10.0;3.75;13.5;8.388525;7.2894;
13.000001;19:10:12;-79.20853122;43.17349373;66.0;10.0;3.75;13.5;8.388525;7.2894;
14.000001;19:10:13;-79.20856477;43.17349483;67.4000015258789;9.0;3.5;12.599999;7.8292894;6.80344;
15.000001;19:10:14;-79.20857131;43.17350767;67.19999694824219;9.0;2.25;8.099999;5.033115;4.37364;
16.0;19:10:15;-79.208517;43.17351654;67.0;10.0;2.5;9.0;5.59235;4.8596;
17.0;19:10:16;-79.20846606;43.17352008;67.0999984741211;10.0;2.75;9.9;6.1515846;5.34556;
18.0;19:10:17;-79.20841612;43.17352325;67.19999694824219;10.0;2.75;9.9;6.1515846;5.34556;
19.0;19:10:18;-79.2083579;43.17352433;67.0999984741211;10.0;3.5;12.599999;7.8292894;6.80344;
20.0;19:10:19;-79.20830064;43.1735256;66.80000305175781;10.0;3.5;12.599999;7.8292894;6.80344;
21.000002;19:10:20;-79.20824142;43.173527;66.5999984741211;10.0;3.75;13.5;8.388525;7.2894;
22.000002;19:10:21;-79.20818193;43.17352967;66.30000305175781;10.0;3.75;13.5;8.388525;7.2894;
23.000002;19:10:22;-79.20812248;43.17353451;65.69999694824219;10.0;4.0;14.4;8.94776;7.77536;
24.000002;19:10:23;-79.20806357;43.17353833;65.9000015258789;10.0;4.0;14.4;8.94776;7.77536;
25.000002;19:10:24;-79.20800952;43.17353913;64.5999984741211;9.0;3.75;13.5;8.388525;7.2894;
26.000002;19:10:25;-79.2079627;43.17352892;63.099998474121094;9.0;3.5;12.599999;7.8292894;6.80344;
27.000002;19:10:26;-79.20792894;43.1735101;62.099998474121094;10.0;3.25;11.7;7.270055;6.31748;
