unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.2397496E-4;20.687988;-84.41313;0.64446074;
0.0059204097;20.655823;-84.397484;0.6539194;
0.010894775;20.620605;-84.38753;0.6635788;
0.015930176;20.597382;-84.38215;0.67292744;
0.020965576;20.576965;-84.379135;0.68183714;
0.026062012;20.557373;-84.378555;0.69015014;
0.031036375;20.53003;-84.37801;0.6968297;
0.036071774;20.511658;-84.37937;0.70015025;
0.041107174;20.494995;-84.38151;0.701653;
0.04620361;20.486511;-84.3833;0.7029312;
0.05117798;20.476257;-84.38559;0.7050393;
0.05621338;20.477966;-84.388504;0.7090122;
0.06124878;20.481598;-84.39179;0.7155834;
0.066345215;20.487305;-84.395004;0.7237179;
0.07131958;20.481781;-84.39804;0.73352945;
0.07638549;20.48407;-84.40037;0.74566084;
0.08135986;20.485382;-84.40181;0.7595957;
0.08648682;20.482635;-84.40413;0.7759904;
0.09146118;20.471558;-84.405365;0.7924809;
0.09649658;20.469818;-84.40703;0.8090773;
0.10153198;20.46872;-84.40886;0.82639533;
0.10662841;20.471191;-84.411;0.84372365;
0.11160278;20.463593;-84.414024;0.8597952;
0.11663818;20.467499;-84.41718;0.8731454;
0.121673584;20.472198;-84.42046;0.8841433;
0.12677002;20.476807;-84.4241;0.8934557;
0.13174438;20.474854;-84.42787;0.8995225;
0.13677979;20.482147;-84.43224;0.90357673;
0.14181519;20.488861;-84.437164;0.9071118;
0.1469116;20.493164;-84.44508;0.9110934;
0.15188599;20.485687;-84.45369;0.9163517;
0.15692139;20.485962;-84.46295;0.92156637;
0.16195677;20.483582;-84.4712;0.92775357;
0.16705321;20.479004;-84.47987;0.93408;
0.17202757;20.462952;-84.48826;0.939772;
0.1770935;20.453949;-84.49619;0.945108;
0.18206787;20.443665;-84.502594;0.9493612;
0.18719481;20.43338;-84.50712;0.9515796;
0.19216917;20.413513;-84.51037;0.9519075;
0.19720459;20.403046;-84.51152;0.95078033;
0.20223998;20.390259;-84.51138;0.948807;
0.20733643;20.375885;-84.51045;0.94556475;
0.21231078;20.352325;-84.5093;0.9415396;
0.21734619;20.336731;-84.50838;0.93769705;
0.22238159;20.323822;-84.5063;0.934577;
0.22747803;20.310486;-84.5057;0.93224496;
0.2324524;20.287811;-84.50438;0.93198717;
0.23748778;20.270569;-84.50486;0.9334149;
0.2425232;20.253876;-84.504875;0.9363359;
0.24761963;20.238678;-84.505035;0.93992746;
0.252594;20.212036;-84.50556;0.94546324;
0.2576294;20.19397;-84.506676;0.95173335;
0.2626648;20.17627;-84.508194;0.95799404;
0.26776123;20.157532;-84.509796;0.9646732;
0.27273557;20.130096;-84.51116;0.97138137;
0.27780148;20.11084;-84.511856;0.9773433;
0.28277585;20.089294;-84.511856;0.9829995;
0.28790283;20.061584;-84.51208;0.98899215;
0.29287717;20.027924;-84.51074;0.99385005;
0.2979126;20.001617;-84.50905;0.99850726;
