unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;0.32040405;9.727753;0.90608215;
0.005004883;0.36444092;9.686096;0.80729675;
0.010070801;0.29541016;9.731323;0.8132477;
0.015106201;0.27755737;9.787262;0.79063416;
0.020141602;0.22518921;9.813446;0.7787323;
0.025177002;0.17282104;9.744415;0.75968933;
0.030212402;0.1763916;9.789642;0.80015564;
0.035247803;0.17044067;9.806305;0.6716156;
0.040283203;0.16091919;9.732513;0.7108917;
0.045318604;0.21447754;9.696808;0.71684265;
0.050354004;0.22875977;9.740845;0.7882538;
0.0553894;0.25494385;9.753937;0.8751373;
0.0604248;0.27874756;9.745605;0.9013214;
0.065460205;0.26208496;9.736084;0.937027;
0.070495605;0.30374146;9.693237;0.9846344;
0.075531006;0.30612183;9.703949;0.9774933;
0.080566406;0.35610962;9.699188;0.96559143;
0.08560181;0.33944702;9.817017;0.95487976;
0.09063721;0.32278442;9.7908325;0.9524994;
0.09567261;0.35968018;9.826538;1.0060577;
0.10070801;0.27041626;9.877716;0.9096527;
0.10571288;0.2835083;9.850342;0.92988586;
0.1107788;0.21923828;9.950317;0.94773865;
0.1158142;0.23947144;9.889618;0.86561584;
0.1208496;0.27279663;9.934845;0.8834686;
0.12588501;0.30136108;9.952698;0.88822937;
0.13092041;0.22042847;9.963409;0.87275696;
0.13595581;0.275177;10.027679;0.834671;
0.14099121;0.30255127;10.049103;0.7930145;
0.1460266;0.31326294;10.055054;0.7965851;
0.15106201;0.36444092;10.058624;0.88822937;
0.1560974;0.33825684;10.077667;0.92393494;
0.16113281;0.40133667;10.009827;0.9513092;
0.1661377;0.37753296;9.983643;0.99534607;
0.17120361;0.37753296;9.931274;0.9989166;
0.176239;0.31445313;9.897949;0.99772644;
0.18128076;0.37158203;9.891998;1.0869904;
0.18631618;0.2846985;9.84082;0.98820496;
0.19135156;0.2585144;9.796783;1.0619965;
0.19638696;0.28707886;9.77536;0.9620209;
0.20142236;0.25375366;9.788452;0.99534607;
0.20642725;0.23352051;9.737274;1.0536652;
0.21149316;0.22994995;9.681335;0.9513092;
0.21652856;0.18353271;9.744415;0.9358368;
0.22156397;0.14068604;9.763458;0.9037018;
0.22659937;0.16925049;9.70752;0.91441345;
0.23163477;0.16210938;9.693237;0.90727234;
0.23667017;0.1430664;9.731323;0.9739227;
0.24170557;0.15377808;9.71109;0.98939514;
0.24674097;0.16210938;9.71228;0.9417877;
0.25177637;0.18115234;9.757507;0.9441681;
0.25681177;0.22518921;9.767029;1.0251007;
0.26184717;0.20257568;9.77655;0.9334564;
0.26688257;0.24304199;9.755127;0.95606995;
0.27191797;0.2263794;9.744415;0.99534607;
0.27695337;0.16448975;9.743225;0.9739227;
0.28198877;0.14425659;9.71109;0.95726013;
0.28699365;0.08950806;9.718231;0.83348083;
0.29205957;0.06808472;9.699188;0.8430023;
0.29709497;0.02999878;9.696808;0.84895325;
0.30213037;-0.056884766;9.692047;0.8763275;
0.30713525;-0.07116699;9.719421;0.8191986;
0.31220117;-0.061645508;9.637299;0.6954193;
0.31723657;-0.05331421;9.681335;0.706131;
0.32227197;0.0026245117;9.755127;0.6490021;
0.32730737;0.020477295;9.720612;0.70137024;
0.33234277;-0.07354736;9.7908325;0.62757874;
0.33737817;0.007385254;9.77536;0.6382904;
0.34241354;0.022857666;9.833679;0.66685486;
0.34744897;0.106170654;9.844391;0.7144623;
0.35248438;0.17044067;9.884857;0.6716156;
0.35751978;0.16329956;9.937225;0.738266;
0.36255515;0.15258789;9.859863;0.6954193;
0.36759058;0.20852661;9.831299;0.85609436;
0.37262598;0.23828125;9.780121;0.73469543;
0.37766138;0.2930298;9.8420105;0.8430023;
0.38269675;0.34539795;9.784882;0.8108673;
0.38773218;0.35968018;9.858673;0.8275299;
0.39276758;0.3085022;10.0217285;0.87394714;
0.39780298;0.32278442;10.128845;0.78230286;
0.40283838;0.27874756;10.202637;0.67518616;
0.40787378;0.21566772;10.378784;0.76802063;
0.41290918;0.35491943;10.429962;0.6775665;
0.41794455;0.3989563;10.41806;0.50260925;
0.42297998;0.3989563;10.399017;0.51808167;
0.42801538;0.3989563;10.300232;0.50141907;
0.43305078;0.46322632;10.205017;0.6454315;
0.43808615;0.4477539;10.150269;0.75968933;
0.44312158;0.49179077;10.081238;0.7799225;
0.44815698;0.4406128;10.071716;0.9286957;
0.45319238;0.42156982;9.96698;0.9751129;
0.45822775;0.42037964;10.02887;1.0774689;
0.46326318;0.37158203;9.993164;1.065567;
0.46829858;0.3751526;9.946747;1.1155548;
0.47333398;0.35372925;9.934845;1.1000824;
0.47836936;0.35968018;9.9253235;1.0548553;
0.4834048;0.34777832;9.958649;0.95726013;
0.48840964;0.42871094;9.96698;0.97987366;
0.49347556;0.5370178;9.982452;0.88941956;
0.498511;0.50845337;10.063385;0.7715912;
0.50354636;0.53463745;10.074097;0.8453827;
0.50855124;0.4394226;10.22525;0.8679962;
0.51361716;0.47869873;10.216919;0.9417877;
0.5186526;0.45489502;10.165741;0.7942047;
0.52368796;0.46203613;10.172882;0.7953949;
0.52869284;0.4394226;10.210968;0.7311249;
0.53375876;0.5001221;10.172882;0.80015564;
0.53879416;0.4822693;10.069336;0.79896545;
0.54382956;0.43823242;10.043152;0.72398376;
0.548865;0.4239502;10.022919;0.83229065;
0.5539004;0.46084595;9.9574585;0.79182434;
0.5589358;0.38110352;9.871765;0.7846832;
0.56397116;0.40847778;9.805115;0.6728058;
0.56900656;0.39657593;9.77417;0.687088;
0.57404196;0.3156433;9.674194;0.6728058;
0.57907736;0.27041626;9.617065;0.61091614;
0.58411276;0.25494385;9.58017;0.6656647;
0.5891482;0.24542236;9.500427;0.6561432;
0.5941836;0.13116455;9.432587;0.6216278;
0.59921896;0.17282104;9.4313965;0.71803284;
0.60425436;0.20852661;9.406403;0.69184875;
0.60925925;0.22280884;9.384979;0.70018005;
0.61432517;0.19662476;9.482574;0.6537628;
0.61936057;0.15258789;9.544464;0.64186096;
0.624396;0.12164307;9.620636;0.6799469;
0.6294314;0.13354492;9.749176;0.65852356;
0.6344668;0.16091919;9.77298;0.6299591;
0.63950217;0.13354492;9.919373;0.60020447;
0.64453757;0.10379028;9.953888;0.5478363;
0.64957297;0.16329956;9.990784;0.5799713;
0.65460837;0.17877197;9.911041;0.6156769;
0.65964377;0.14901733;9.851532;0.66804504;
0.6646792;0.19781494;9.853912;0.6311493;
0.6697146;0.26446533;9.8098755;0.6728058;
0.67475;0.3418274;9.828918;0.66804504;
0.6797854;0.307312;9.800354;0.7025604;
0.6848208;0.32635498;9.855103;0.7204132;
0.6898562;0.43466187;9.96817;0.7477875;
0.6948916;0.42633057;10.062195;0.68470764;
0.69992703;0.44418335;10.163361;0.7037506;
0.70496243;0.44537354;10.178833;0.65971375;
0.70996726;0.4906006;10.328796;0.7204132;
0.7150332;0.5393982;10.384735;0.6632843;
0.7200686;0.5453491;10.358551;0.71684265;
0.725104;0.57748413;10.399017;0.76564026;
0.7301394;0.5810547;10.296661;0.89775085;
0.7351748;0.5739136;10.202637;0.94654846;
0.74021024;0.5560608;10.089569;0.9739227;
0.74524564;0.6108093;10.007446;0.9834442;
0.750281;0.538208;9.899139;0.95487976;
0.7553164;0.5632019;9.770599;1.0417633;
0.7603518;0.5465393;9.742035;1.0619965;
0.7653872;0.56915283;9.602783;1.0988922;
0.7704226;0.5405884;9.586121;1.071518;
0.775458;0.45846558;9.52066;1.0596161;
0.78049344;0.46917725;9.496857;1.0738983;
0.78552884;0.5215454;9.536133;1.0036774;
0.7905642;0.506073;9.473053;0.9001312;
0.7955996;0.44537354;9.5159;0.8049164;
0.800635;0.390625;9.551605;0.80729675;
0.8056704;0.46084595;9.556366;0.7454071;
0.8106753;0.35610962;9.530182;0.61091614;
0.81574124;0.26327515;9.506378;0.62519836;
0.82077664;0.18234253;9.51709;0.46809387;
0.825812;0.11450195;9.595642;0.23362732;
0.8308474;0.0061950684;9.542084;0.045578003;
0.8358828;-0.2104187;9.624207;-0.29600525;
0.8409182;-0.45321655;9.607544;-0.42811584;
0.8459536;-0.71029663;9.688477;-0.5245209;
0.850989;-0.97927856;9.636108;-0.49357605;
0.85602444;-1.2875366;9.596832;-0.42930603;
0.86105984;-1.5838928;9.603973;-0.07582092;
0.8660952;-1.7338562;9.64563;0.41334534;
0.8711306;-1.7588501;9.725372;0.8191986;
0.876166;-1.9088135;9.558746;0.8846588;
0.8812014;-2.3146667;9.440918;1.0239105;
0.8862368;-2.649109;9.011261;1.1762543;
0.8912722;-3.0133057;8.449493;1.3976288;
0.89630765;-3.2620544;7.8615417;1.5452118;
0.901343;-3.4155884;7.377136;1.655899;
0.9063784;-3.4024963;6.914154;1.822525;
0.9113833;-3.265625;6.7058716;1.8356171;
0.9164492;-3.0525818;6.6939697;1.7570648;
0.9214846;-2.8585815;7.0081787;1.6261444;
0.92652;-2.739563;7.5509033;1.3000336;
0.93155545;-2.777649;8.137665;0.9429779;
0.93659085;-2.9085693;8.866058;0.46809387;
0.9416262;-2.9752197;9.563507;0.15031433;
0.9466616;-3.123993;10.165741;-0.17817688;
