Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:11:08;-79.20794716;43.17353065;66.30000305175781;9.0;0.0;0.0;0.0;0.0;
1.0;19:11:09;-79.20794824;43.17353062;66.4000015258789;9.0;0.0;0.0;0.0;0.0;
2.0;19:11:10;-79.20795638;43.17353419;66.19999694824219;10.0;0.75;2.6999998;1.6777049;1.45788;
3.0000002;19:11:11;-79.20797826;43.17353983;65.5999984741211;10.0;1.5;5.3999996;3.3554099;2.91576;
4.0;19:11:12;-79.20800896;43.17354722;65.69999694824219;10.0;2.0;7.2;4.47388;3.88768;
5.0;19:11:13;-79.20806567;43.17355679;65.0999984741211;10.0;3.75;13.5;8.388525;7.2894;
6.0000005;19:11:14;-79.20813358;43.17356147;65.5999984741211;10.0;4.75;17.1;10.625464;9.23324;
7.0000005;19:11:15;-79.20819661;43.17356054;64.0999984741211;9.0;4.5;16.199999;10.06623;8.74728;
8.0;19:11:16;-79.20825806;43.1735585;63.599998474121094;9.0;4.5;16.199999;10.06623;8.74728;
9.0;19:11:17;-79.20831763;43.17355873;64.5;9.0;4.5;16.199999;10.06623;8.74728;
10.0;19:11:18;-79.20837483;43.17356108;63.599998474121094;10.0;4.25;15.299999;9.506994;8.26132;
11.000001;19:11:19;-79.2084261;43.17356076;63.900001525878906;10.0;3.75;13.5;8.388525;7.2894;
12.000001;19:11:20;-79.2084646;43.17356008;63.70000076293945;10.0;3.0;10.799999;6.7108197;5.83152;
13.000001;19:11:21;-79.20847709;43.17356115;62.29999923706055;9.0;1.5;5.3999996;3.3554099;2.91576;
14.000001;19:11:22;-79.20843291;43.17356639;62.599998474121094;9.0;2.5;9.0;5.59235;4.8596;
15.000001;19:11:23;-79.20838682;43.17356552;62.29999923706055;10.0;2.75;9.9;6.1515846;5.34556;
16.0;19:11:24;-79.20833699;43.17356459;61.70000076293945;9.0;3.25;11.7;7.270055;6.31748;
17.0;19:11:25;-79.20827785;43.17356336;62.0;10.0;4.0;14.4;8.94776;7.77536;
18.0;19:11:26;-79.20822101;43.1735614;61.900001525878906;10.0;4.0;14.4;8.94776;7.77536;
19.0;19:11:27;-79.20816493;43.17355851;61.900001525878906;10.0;4.0;14.4;8.94776;7.77536;
20.0;19:11:28;-79.20810836;43.17355596;61.79999923706055;10.0;4.25;15.299999;9.506994;8.26132;
21.000002;19:11:29;-79.20805305;43.17355385;62.0;10.0;4.25;15.299999;9.506994;8.26132;
22.000002;19:11:30;-79.20799774;43.17355225;62.099998474121094;10.0;4.25;15.299999;9.506994;8.26132;
23.000002;19:11:31;-79.20794743;43.17355108;63.0;9.0;4.0;14.4;8.94776;7.77536;
24.000002;19:11:32;-79.2079027;43.17354828;62.70000076293945;10.0;3.75;13.5;8.388525;7.2894;
25.000002;19:11:33;-79.20787301;43.17354313;61.0;9.0;3.5;12.599999;7.8292894;6.80344;
