unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.54493E-4;7.879669;-85.59933;1.0804589;
0.005828858;7.888794;-85.60507;1.094348;
0.010955811;7.9001465;-85.613495;1.1088021;
0.015930176;7.9103394;-85.6237;1.1230935;
0.020965576;7.9229736;-85.63554;1.1361899;
0.026000975;7.936676;-85.648705;1.1470276;
0.03109741;7.951599;-85.662605;1.1561987;
0.036071774;7.9670715;-85.67791;1.163748;
0.041107174;7.988037;-85.69283;1.1692294;
0.046142574;8.008789;-85.70647;1.1727138;
0.051239014;8.029999;-85.71787;1.1741936;
0.05621338;8.049103;-85.726494;1.1734843;
0.06124878;8.069702;-85.73435;1.171005;
0.0663147;8.090698;-85.741745;1.167697;
0.071380615;8.109558;-85.74862;1.1650383;
0.07635498;8.124268;-85.755974;1.1628224;
0.08139038;8.137909;-85.76397;1.1623042;
0.08642578;8.150665;-85.772255;1.1625738;
0.09152222;8.162689;-85.78141;1.1638111;
0.09649658;8.169617;-85.79081;1.167355;
0.10156249;8.178925;-85.80211;1.1713157;
0.10653686;8.186157;-85.81383;1.1761367;
0.11166381;8.194824;-85.82644;1.1811363;
0.11663818;8.1996765;-85.83918;1.1869124;
0.121673584;8.205627;-85.85071;1.1932087;
0.12670898;8.21106;-85.86003;1.1991727;
0.13180542;8.218689;-85.8665;1.2038974;
0.13677979;8.221558;-85.86982;1.2082262;
0.14181519;8.225739;-85.871155;1.211318;
0.14685059;8.229889;-85.87016;1.2123685;
0.15194702;8.233276;-85.86596;1.2120675;
0.15692139;8.236084;-85.85998;1.2109588;
0.16195677;8.238312;-85.85334;1.2101141;
0.16696166;8.240234;-85.84657;1.2089758;
0.17208862;8.239624;-85.83929;1.2077464;
0.17706934;8.236267;-85.83189;1.2061626;
0.18210474;8.227142;-85.823944;1.2062848;
0.18714014;8.213684;-85.81725;1.2070955;
0.19223657;8.193512;-85.80993;1.2094343;
0.19721094;8.16571;-85.803505;1.2142518;
0.20227686;8.132477;-85.79658;1.2206827;
0.20725122;8.096008;-85.78888;1.2281277;
0.21237817;8.054382;-85.781296;1.2364274;
0.21735254;8.013062;-85.7734;1.2438066;
0.22238794;7.9714355;-85.76481;1.250471;
0.22742334;7.929199;-85.75517;1.2571189;
0.23251978;7.887787;-85.74493;1.2632277;
0.23749414;7.850586;-85.734;1.2681729;
0.24252954;7.813263;-85.7227;1.2730619;
0.24756494;7.7771606;-85.71176;1.2776825;
0.25266138;7.741577;-85.70091;1.2821741;
0.25763574;7.7076416;-85.68942;1.2869171;
0.26267114;7.6742554;-85.67844;1.2914008;
0.26770654;7.6394653;-85.66723;1.295791;
0.27280298;7.6050415;-85.65554;1.2995944;
0.27777734;7.574829;-85.64432;1.3032246;
0.2828127;7.5459595;-85.63333;1.3077554;
0.28781763;7.520233;-85.62395;1.3129107;
0.29294458;7.4967957;-85.61478;1.3197498;
0.29791895;7.480072;-85.60664;1.3282324;
0.30298486;7.4696655;-85.599014;1.3384056;
0.30795923;7.46286;-85.593346;1.3502352;
0.31308618;7.4575195;-85.59045;1.3645548;
0.31806055;7.457794;-85.58938;1.3801721;
0.32309595;7.4624023;-85.59059;1.3981043;
0.32813135;7.473236;-85.59282;1.4177678;
0.33322775;7.4934387;-85.59739;1.438321;
0.33820215;7.515747;-85.6031;1.4600687;
