unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.0;0.52630615;9.7099;1.2762299;
0.005004882;0.54415894;9.745605;1.232193;
0.0100708;0.54177856;9.813446;1.2726593;
0.0151062;0.48345947;9.912231;1.1750641;
0.0201416;0.5155945;9.912231;1.2024384;
0.025146483;0.44180298;9.950317;1.2179108;
0.0302124;0.44299316;10.083618;1.2143402;
0.0352478;0.45132446;10.074097;1.1774445;
0.040283203;0.40847778;10.076477;1.1655426;
0.045318604;0.44299316;10.140747;1.1952972;
0.050354004;0.5036926;10.150269;1.2179108;
0.0553894;0.6286621;10.107422;1.181015;
0.0604248;0.65841675;10.09433;1.0584259;
0.065460205;0.6929321;10.087189;1.1524506;
0.070495605;0.62628174;10.051483;1.2060089;
0.075531006;0.6060486;10.041962;1.2798004;
0.080566406;0.61557007;9.996735;1.2619476;
0.08557129;0.6274719;9.931274;1.3393097;
0.09063721;0.6108093;9.931274;1.2976532;
0.09567261;0.6060486;9.859863;1.2571869;
0.10070801;0.62509155;9.895569;1.2940826;
0.10571288;0.5548706;9.830109;1.2583771;
0.1107788;0.4822693;9.799164;1.3214569;
0.1158142;0.506073;9.77298;1.3036041;
0.1208496;0.49179077;9.734894;1.232193;
0.12588501;0.5072632;9.77179;1.302414;
0.13092041;0.5310669;9.750366;1.2762299;
0.13595581;0.5632019;9.730133;1.2595673;
0.14099121;0.54415894;9.64682;1.3369293;
0.1460266;0.6227112;9.624207;1.2940826;
0.15106201;0.64294434;9.574219;1.2226715;
0.1560974;0.60723877;9.563507;1.315506;
0.16113281;0.6715088;9.506378;1.3119354;
0.1661682;0.6060486;9.51947;1.3488312;
0.17120361;0.65722656;9.606354;1.3619232;
0.176239;0.64294434;9.621826;1.3393097;
0.18127441;0.71554565;9.706329;1.3785858;
0.1863098;0.7036438;9.751556;1.3262177;
0.19134521;0.64175415;9.826538;1.360733;
0.1963806;0.56796265;9.890808;1.2714691;
0.20141602;0.48583984;9.887238;1.2298126;
0.20642088;0.46084595;9.880096;1.2405243;
0.21148682;0.33825684;9.937225;1.2738495;
0.2165222;0.3751526;9.916992;1.2417145;
0.2215576;0.32159424;9.999115;1.1726837;
0.22656249;0.35849;10.034821;1.1512604;
0.2316284;0.38586426;10.0729065;1.2429047;
