unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.5449195E-4;19.648376;-83.65587;2.346327;
0.005828857;19.607697;-83.63906;2.3604836;
0.01095581;19.571503;-83.62562;2.3747265;
0.015930174;19.532745;-83.616776;2.3864555;
0.020965576;19.505066;-83.61035;2.3963482;
0.026000975;19.483124;-83.60626;2.4030757;
0.03109741;19.465973;-83.60518;2.4081995;
0.036071774;19.445831;-83.60741;2.4126816;
0.041107174;19.439575;-83.61212;2.41621;
0.046142574;19.43689;-83.618645;2.4202085;
0.05123901;19.436584;-83.62692;2.4251158;
0.05621338;19.427124;-83.63647;2.4302526;
0.06124878;19.426178;-83.64785;2.4338632;
0.06628418;19.42804;-83.65813;2.4348552;
0.071380615;19.43573;-83.667625;2.4320915;
0.07635497;19.438965;-83.676384;2.4271677;
0.08139038;19.449402;-83.686455;2.4207294;
0.08639526;19.45932;-83.698044;2.413931;
0.09152222;19.467682;-83.712616;2.4073424;
0.09649658;19.464294;-83.72867;2.4017377;
0.10156249;19.466522;-83.74585;2.3969932;
0.10653686;19.469147;-83.76302;2.3928103;
0.11166381;19.47345;-83.7799;2.3888736;
0.11663818;19.466736;-83.79593;2.3860435;
0.121673584;19.466095;-83.811966;2.3839421;
0.12670898;19.463806;-83.82619;2.382692;
0.13180542;19.459106;-83.83934;2.3826058;
0.13677979;19.445038;-83.85041;2.3837373;
0.14181519;19.43988;-83.85895;2.3852932;
0.14685059;19.431366;-83.866295;2.388184;
0.15194702;19.420105;-83.872925;2.3916287;
0.15692139;19.400543;-83.877426;2.3942726;
0.16195677;19.38379;-83.88094;2.3970788;
0.16699219;19.366455;-83.88275;2.3990731;
0.17208862;19.344238;-83.8835;2.4011712;
0.17706299;19.310394;-83.88316;2.402711;
0.18209837;19.27771;-83.88129;2.4035902;
0.18713379;19.240417;-83.879166;2.4021633;
0.19223022;19.202118;-83.87589;2.397241;
0.19720459;19.155731;-83.872406;2.3889704;
0.20227051;19.117767;-83.86801;2.3772616;
0.20724487;19.078796;-83.86208;2.3634522;
0.21237181;19.040924;-83.85432;2.3465655;
0.21734619;18.994568;-83.84584;2.3304405;
0.22238158;18.95819;-83.837;2.3141756;
0.22738647;18.921295;-83.82835;2.2987516;
0.23251341;18.885284;-83.81878;2.2834277;
0.23748778;18.839966;-83.80992;2.2683058;
0.2425232;18.796265;-83.80118;2.252638;
0.24752808;18.754211;-83.79414;2.2356622;
0.25265503;18.719543;-83.78814;2.2187421;
0.2576294;18.682861;-83.784386;2.2042615;
0.2626648;18.658203;-83.782936;2.1913402;
0.26766968;18.636871;-83.78195;2.1810021;
0.27279663;18.61731;-83.781624;2.1726787;
0.277771;18.59143;-83.78157;2.1667366;
0.2828064;18.57669;-83.78193;2.1620245;
0.2878418;18.56363;-83.78244;2.1593838;
0.29293823;18.549286;-83.78325;2.1596265;
0.2979126;18.529602;-83.78423;2.1619673;
0.30297852;18.519135;-83.785324;2.1674156;
0.30795288;18.5094;-83.78682;2.1762142;
