Timestamp;Time;Longitude;Latitude;Altitude;Accuracy;Speed (m/s);Speed (km/h);Speed (mph);Speed (kts);
0.0;19:11:41;-79.20795311;43.17353144;60.400001525878906;9.0;0.0;0.0;0.0;0.0;
1.0;19:11:42;-79.2079541;43.17353137;60.400001525878906;9.0;0.0;0.0;0.0;0.0;
2.0;19:11:43;-79.20795703;43.17353176;60.400001525878906;10.0;0.25;0.9;0.559235;0.48596;
3.0000002;19:11:44;-79.20796717;43.17353938;60.70000076293945;10.0;0.75;2.6999998;1.6777049;1.45788;
4.0;19:11:45;-79.20799682;43.17354644;61.20000076293945;10.0;1.5;5.3999996;3.3554099;2.91576;
5.0;19:11:46;-79.20806032;43.17355658;60.29999923706055;10.0;4.0;14.4;8.94776;7.77536;
6.0000005;19:11:47;-79.20812811;43.17356032;60.599998474121094;10.0;4.5;16.199999;10.06623;8.74728;
7.0000005;19:11:48;-79.20819532;43.17356149;61.20000076293945;10.0;4.5;16.199999;10.06623;8.74728;
8.0;19:11:49;-79.20826166;43.17356196;61.20000076293945;10.0;4.5;16.199999;10.06623;8.74728;
9.0;19:11:50;-79.20832797;43.1735601;62.29999923706055;10.0;4.5;16.199999;10.06623;8.74728;
10.0;19:11:51;-79.20839381;43.17355957;63.0;10.0;4.5;16.199999;10.06623;8.74728;
11.000001;19:11:52;-79.20845559;43.17355661;62.0;9.0;4.5;16.199999;10.06623;8.74728;
12.000001;19:11:53;-79.20851053;43.17355254;63.20000076293945;10.0;4.25;15.299999;9.506994;8.26132;
13.000001;19:11:54;-79.20855304;43.1735564;62.79999923706055;10.0;3.75;13.5;8.388525;7.2894;
14.000001;19:11:55;-79.20855104;43.17356853;63.20000076293945;10.0;2.0;7.2;4.47388;3.88768;
15.000001;19:11:56;-79.20850452;43.17358078;63.599998474121094;10.0;2.5;9.0;5.59235;4.8596;
16.0;19:11:57;-79.20844647;43.17358237;63.599998474121094;10.0;2.75;9.9;6.1515846;5.34556;
17.0;19:11:58;-79.20838482;43.1735811;64.0;10.0;3.25;11.7;7.270055;6.31748;
18.0;19:11:59;-79.20831368;43.17357932;64.30000305175781;10.0;4.0;14.4;8.94776;7.77536;
19.0;19:12:00;-79.20824254;43.17357655;62.900001525878906;9.0;4.25;15.299999;9.506994;8.26132;
20.0;19:12:01;-79.20817232;43.17357445;63.20000076293945;10.0;4.25;15.299999;9.506994;8.26132;
21.000002;19:12:02;-79.2081026;43.17357232;62.599998474121094;10.0;4.25;15.299999;9.506994;8.26132;
22.000002;19:12:03;-79.20803727;43.17356888;63.29999923706055;9.0;4.25;15.299999;9.506994;8.26132;
23.000002;19:12:04;-79.20797556;43.17356496;63.0;10.0;4.25;15.299999;9.506994;8.26132;
24.000002;19:12:05;-79.20792359;43.17356348;62.79999923706055;10.0;4.0;14.4;8.94776;7.77536;
25.000002;19:12:06;-79.20792437;43.17356151;63.0;9.0;0.5;1.8;1.11847;0.97192;
