unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
8.8501E-4;19.076996;-83.7363;5.6667128;
0.005859375;19.114288;-83.731766;5.678034;
0.010925293;19.160767;-83.729454;5.692024;
0.015899658;19.198639;-83.729614;5.7101755;
0.021026611;19.226746;-83.73165;5.733742;
0.026000975;19.235443;-83.73208;5.758698;
0.031036375;19.238922;-83.73306;5.7837954;
0.036071774;19.237427;-83.73337;5.8078375;
0.04116821;19.238556;-83.73376;5.830206;
0.046142574;19.22821;-83.73275;5.850322;
0.05117798;19.228058;-83.73135;5.867056;
0.05621338;19.224243;-83.72961;5.8802752;
0.061309814;19.213684;-83.72647;5.8906665;
0.06628418;19.184235;-83.72208;5.8989305;
0.07131958;19.15506;-83.71461;5.9059896;
0.07635498;19.105774;-83.706825;5.912573;
0.081451416;19.036926;-83.69723;5.91932;
0.08642578;18.945038;-83.68779;5.9278107;
0.09146118;18.851532;-83.6798;5.9386144;
0.09649658;18.746948;-83.67228;5.9522514;
0.10159301;18.644104;-83.66382;5.964593;
0.10656738;18.53543;-83.6543;5.9754686;
0.1116333;18.43866;-83.64386;5.9840527;
0.11660766;18.347412;-83.63418;5.9898615;
0.12173461;18.254639;-83.62534;5.9946637;
0.12670898;18.15625;-83.618324;5.9994464;
0.13174438;18.072754;-83.610344;6.003137;
0.13677979;17.995544;-83.602745;6.0063148;
0.14187622;17.920258;-83.596634;6.011075;
0.14685059;17.845459;-83.59156;6.017481;
0.15188599;17.787506;-83.5869;6.024993;
0.15692139;17.73648;-83.582466;6.0340014;
0.16201782;17.69806;-83.57596;6.0439205;
0.16699219;17.659668;-83.570496;6.055802;
0.17202757;17.636383;-83.56744;6.069372;
0.17706299;17.619843;-83.56532;6.0853696;
0.18215942;17.608978;-83.563896;6.1042643;
0.18713379;17.59259;-83.56348;6.125536;
0.19216917;17.586243;-83.56382;6.1491413;
0.19720459;17.583374;-83.56462;6.1735916;
0.20230103;17.584229;-83.56707;6.1975904;
0.20727539;17.577698;-83.57104;6.2204585;
0.21234131;17.578156;-83.576065;6.242968;
0.21731567;17.580078;-83.58196;6.2627163;
0.22244261;17.575653;-83.58786;6.2819405;
0.22741699;17.558624;-83.59334;6.297961;
0.2324524;17.544403;-83.598045;6.3112583;
0.23748778;17.52945;-83.60073;6.321594;
0.24258421;17.510193;-83.60155;6.3310595;
0.24755858;17.476868;-83.601456;6.3408537;
0.252594;17.44809;-83.598434;6.3512096;
0.2576294;17.413757;-83.5935;6.361739;
0.26272583;17.373718;-83.58636;6.3715878;
0.2677002;17.32248;-83.57848;6.3803144;
0.27273557;17.275238;-83.570564;6.388306;
0.277771;17.2305;-83.56221;6.3948183;
0.2828674;17.184998;-83.55354;6.4011135;
0.2878418;17.133118;-83.546196;6.4057913;
0.29287717;17.091766;-83.54031;6.408577;
0.2979126;17.05191;-83.535934;6.4098754;
0.303009;17.01651;-83.53183;6.4089613;
0.30798337;16.977234;-83.52932;6.405869;
0.31304932;16.946686;-83.52772;6.401198;
0.31802368;16.920929;-83.52775;6.394741;
0.3231506;16.8974;-83.527985;6.3869433;
0.32812497;16.87024;-83.52934;6.378423;
0.3331604;16.851349;-83.531235;6.370422;
0.3381958;16.833374;-83.533745;6.362917;
0.3432922;16.817932;-83.53675;6.355746;
0.34826657;16.79364;-83.5404;6.350403;
0.353302;16.778503;-83.54474;6.3461523;
0.3583374;16.763641;-83.549576;6.3433;
0.3634338;16.747528;-83.55451;6.342265;
0.36840817;16.723297;-83.560745;6.3422604;
0.3734436;16.707764;-83.56625;6.342999;
0.378479;16.692505;-83.57131;6.3433447;
0.3835754;16.67575;-83.57691;6.3430915;
0.38854977;16.648804;-83.58202;6.342917;
0.3935852;16.63144;-83.58598;6.3427076;
0.39859006;16.612518;-83.58768;6.3426013;
0.40371704;16.591919;-83.58805;6.3414836;
0.40869138;16.565552;-83.58724;6.339345;
0.4137573;16.548218;-83.5854;6.3365865;
0.41873166;16.528381;-83.584206;6.333528;
0.42385864;16.509033;-83.58309;6.329662;
0.428833;16.483032;-83.582504;6.3257065;
0.4338684;16.465698;-83.58316;6.3219748;
0.4389038;16.45343;-83.58545;6.3175335;
0.44400024;16.440552;-83.589615;6.313236;
0.4489746;16.422241;-83.59446;6.308298;
0.45401;16.412323;-83.599915;6.3028;
0.45904538;16.404083;-83.60415;6.2964954;
0.46414185;16.39682;-83.60861;6.289762;
0.4691162;16.383148;-83.61369;6.282971;
0.4741516;16.3779;-83.618004;6.2776957;
0.47918698;16.370941;-83.62131;6.274901;
0.48428345;16.361633;-83.622665;6.2750525;
0.4892578;16.338379;-83.62316;6.27837;
0.4942932;16.319183;-83.62166;6.284663;
0.49932858;16.297852;-83.619606;6.292861;
0.50442505;16.27243;-83.61752;6.3037896;
0.5093994;16.238281;-83.61522;6.3166213;
0.51446533;16.215942;-83.61324;6.330111;
0.5194397;16.194519;-83.61254;6.3437304;
0.52456665;16.175446;-83.61356;6.3572073;
0.529541;16.150482;-83.61456;6.3701096;
0.5345764;16.137177;-83.61617;6.3830414;
0.5396118;16.129639;-83.618126;6.3951883;
0.5447082;16.12503;-83.62041;6.406997;
0.5496826;16.117981;-83.62396;6.417174;
0.554718;16.123535;-83.62853;6.4266405;
0.5597534;16.131805;-83.63389;6.4357285;
0.56484985;16.141693;-83.64052;6.443816;
0.56982416;16.142395;-83.64826;6.4505715;
0.5748596;16.15213;-83.657486;6.4562984;
0.5798645;16.162659;-83.6669;6.461021;
0.5849914;16.171295;-83.67626;6.465981;
0.5899658;16.169647;-83.68518;6.470067;
0.5950012;16.17688;-83.69198;6.4725966;
0.60000604;16.180023;-83.69727;6.4746885;
0.60513306;16.182007;-83.69917;6.476654;
0.61010736;16.172668;-83.699684;6.4780364;
0.6151733;16.16806;-83.699;6.479562;
0.6201477;16.164215;-83.697296;6.4804363;
0.62527466;16.16217;-83.69539;6.480915;
0.630249;16.150421;-83.69519;6.4822125;
